Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 5
173.0,2017-11-11 00:00:00,dem. Aktion,"Freiheit für Öcalan, Frieden für Kurdistan",Kaiser-Joseph-Straße vor RP,
174.0,2017-11-11 00:00:00,dem. Aktion,"Umwelt, Weltklimagipfel",Platz der Alten Synagoge,
175.0,2017-11-20 00:00:00,dem. Aktion,Transgender Day of Rememberance,Platz der Alten Synagoge,
176.0,21.11. und 22.11.2017,dem. Aktion,Gegen Pelz in der Mode,Kafo vor Breuninger,
177.0,2017-11-30 00:00:00,dem. Aktion,Anti-Todesstrafe (Cities für Life Day),Augustinerplatz,
178.0,2017-11-22 00:00:00,dem. Aktion,Protest wegen Glyphosat,"Eisenbahnstraße 64, vor der Kreisgeschäftsstelle der CDU",
179.0,2017-11-24 00:00:00,dem. Aktion,Mahnwache für Frieden am Siegesdenkmal,KaJo zwischen den Anwesen 168/145,
180.0,2017-11-25 00:00:00,dem.Aktion,Aufmerksamkeit und Information zum Thema Intergeschlechtlichkeit,Bertoldsbrunnen,
181.0,2017-12-02 00:00:00,dem. Aktion,Veganismus,Bertoldsbrunnen,
182.0,01.12. - 15.01.2018,dem. Aktion,Recherche ,vor dem Anwesen Sedanstraße 6,
183.0,2017-12-09 00:00:00,dem. Aktion mit Aufzug,Gegen die Diktatur in Togo,Konrad-Adenauer-Platz – Bismarckallee – Eisenbahnstraße – Colom-bistraße – Friedrichstraße – Friedrichring – Auf der Zinnen – Herren-straße – Oberlinden – Schwabentorplatz – Greiffeneggring – Wallstraße – Holzmarkt – Rempartstraße – Werthmannstraße – Platz der Universität – Platz der Alten Synagoge ,
184.0,2017-12-10 00:00:00,dem. Aktion mit Aufzug,Abschlussveranstaltung 16 Tage Stopp gegen Gewalt an Frauen unter dem Motto „Frauen wollen in Würde und Sicherheit leben. Ohne Gewalt. Hier und weltweit.“,"Platz der Alten Synagoge (Kundgebung) – Bertoldstraße – Kaiser-Joseph-Straße – Siegesdenkmal - … 

Am Siegesdenkmal trennt sich der Aufzug in Fuß- und Rad-Tour.

Rad-Tour ab Siegesdenkmal:
… - Auf der Zinnen – Leopoldring – Schlossbergring – Greiffenegg – Dreisamstraße – Günterstalstraße – Basler Straße (Kundgebung vor Basler Straße 8, vor FrauenMädchenProjektehaus) – Schwimm-badstraße – Lorettostraße (Kundgebung Lorettostraße 42, vor „Süd-wind“) -  Merzhauser Straße – Basler Straße  (Kundgebung bei Basler Straße 61, vor „pro Familia“) – Heinrich-von-Stephan-Straße – Schnewlinstraße – Faulerstraße (Ende Parkplatz)

Fuß-Tour ab Siegesdenkmal:
… - Friedrichring – Rotteckring – Werthmannstraße – Belfortstraße – Adlerstraße – Faulerstraße (Ende Feministisches Zentrum Freiburg e. V., Faulerstraße 20) ",
185.0,2017-12-06 00:00:00,dem. Aktion,Mehr Personal für der Uniklinik,Bertoldsbrunnen,
186.0,2017-12-06 00:00:00,dem. Aktion,Schule ohne Noten,Kaiser-Joseph-Straße vor RP,
187.0,2017-12-09 00:00:00,dem. Aktion,Tierschutz / gegen Massentierhaltung,"Schleife entlang der KaJo, zwischen Siegesdenkmal und Martinstor",
188.0,2017-12-06 00:00:00,dem. Aktion,Fight Repression - United we stand,Bertoldsbrunnen,
189.0,2017-12-16 00:00:00,dem. Aktion,Verbesserung der Arbeitsbedingungen in der Pflege,Bertoldsbrunnen,
190.0,2017-12-18 00:00:00,dem. Aktion,Verbesserung der Arbeitsbedingungen im Einzelhandel,Bertoldsbrunnen,
191.0,2017-12-15 00:00:00,dem. Aktion,Veganismus,Bahnhofshalle,
192.0,2017-12-11 00:00:00,dem. Aktion,Das Leid der Nutztiere / Tiertransporte,Bertoldsbrunnen,
193.0,15.12.2017 und 17.12.2017,dem. Aktion,Veganismus,Ecke Kajo / Marktgasse,
194.0,2017-12-09 00:00:00,dem. Aktion,Frieden in Palästina,Augustinerplatz,
195.0,2017-12-14 00:00:00,dem. Aktion ,Personalnot Uniklinik,"Hugstetter Str. 55, Klinikgelände,Kilianstraße, Breisacher Straße, Zur Unterführung, Friedrichstraße, Friedrichring, Rotteckring, Platz der alten Synagoge",
196.0,2017-12-11 00:00:00,dem. Aktion,"Freiheit für Öcalan, Frieden in Kurdistan","Kaiser-Joseph-Straße, Höhe RP",
197.0,2017-12-16 00:00:00,dem. Aktion,Protest gegen die Zustände in der Massentierhaltung,"Schleife entlang der KaJo, zwischen Siegesdenkmal und Martinstor",
198.0,2017-12-16 00:00:00,dem. Aktion,Teirleid beenden!,Platz der Alten Synagoge,
199.0,2017-12-31 00:00:00,dem. Aktion,Anti-Knast-Kundgebung an Silvester,Hermann-Herder-Straße 8,
200.0,2017-12-20 00:00:00,dem. Aktion,Pflegenotstand,Bertoldsbrunnen,
