Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
71.0,2020-03-14 00:00:00,Nach Hanau: Stoppt die Medien-Hetze gegen die demokratische Oppositionspartei AfD - Volksbegehren gegen die Zwangsfinanzierung der öffentlich-rechtlichen Medien durch freie Bürger,,,,
72.0,2020-03-14 00:00:00,Gegendemo zur AfD,SWR Gelände (Kartäuserstr) bis zum Bertoldbrunnen,,,
73.0,2020-04-03 00:00:00,Klimagerechtigkeit ,Platz der alten Synagoge - Rempartstraße – Martinstor – KAJO/Bertoldsbrunnen -  Salzstraße - Schlossbergring  - Bahnhof/Bismarck- Allee – Willhelmstraße – Sedanstraße – Platz der alten Synagoge,,,
74.0,2020-03-12 00:00:00,Seebrücke,Platz der Alten Synagoge,,,
75.0,2020-03-14 00:00:00,Schwärmen fürs Klima,"Rathausplatz, Kreuzung Habsburgerstraße/ Europaplatz",,,
76.0,2020-03-14 00:00:00,"Spontanversammlung gegen ""Rechte Aktivitäten""","SWR Gelände, Kartäuserstraße",,,
77.0,2020-03-28 00:00:00,"Europäischer Aktionstag gegen den ""Mietenwahnsinn""",Fritz-Schieler-Platz,,,
78.0,2020-03-24 00:00:00,Ampelaktion zum Thema Tierrechte,Kreuzung Bismarckallee/ Friedrichstraße,,,
79.0,2020-03-17 00:00:00,Für eine Gesellschaft ohne Knäste,Tennenbacher Straße / Gießenstraße,,,
80.0,2020-03-19 00:00:00,"Jeder Mensch hat das Recht, Rechte zu haben",Lörracher Straße vor der LEA,bis hierhin 1. Quartal,,
81.0,2020-05-01 00:00:00,1. Mai,Seepark,,,
82.0,04.04.2020 oder 05.04.2020,„#LeaveNoOneBehind – bundesweiter Aktionstag am 05. April zur Evakuierung der griechischen Lager“ ,Nicht bekannt.,,,
83.0,2020-04-17 00:00:00,"""Tschüss Pius - Für das Recht auf körperliche und sexuelle Selbstbestimmung. Aufruf zum kreativen Protest gegen die fundamentalistiche Piusbrüderschaft""",Kartoffelmarkt,,,
84.0,2020-04-18 00:00:00,"Grundgesetz, Wahrung der Grundrechte",Münsterplatz und Platz der Alten Synagoge,,,
85.0,2020-04-19 00:00:00,Asylpolitik,Bismarckallee/ Wiwillibrücke,,,
