Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke
224.0,2021-05-21 00:00:00,Kundgebung gegen Kriminalisierung Kurden,Platz der Alten Synagoge
225.0,2021-04-30 00:00:00,"""Take back the night""",Augustinerplatz - Salzstr - Herrenstr - Karlsplatz - Leopoldring - Friedrichring - Rotteckring - PdAS - Sedanstr - Wiwilibrücke - Stühlingerplatz
226.0,2021-04-29 00:00:00,unbekannt,Martinstor - Kajo - Bertoldsbrunnen - Bertoldstr - Moltkestr - Belfortstr - Adlerstr - Grethergelände
227.0,2021-05-25 00:00:00,"Für Selbstbestimmung, Frieden und Freiheit","Suwonallee, Madisonallee, Hermann- Mitschstr, Kaiserstuhlstr, Friedhofstr., Eschholzstr, Haslacherste,
Markgrafenstr,
Opfingerstr., Binzengrün, Buggingerstr, Binzengrün, Haslacherstr, Markgrafenstr., Staufenerstr., Feldbergstr,
Belchenstr., Uffhauserstr, Baslerlandstr, Malteserordenstr, Obergasse, Andreashoferstr,
Wiesentalstr,Merzhauserstr, Baslerstr, Kronenstr, Lessingstr, Schillerstr, Schwabentorring,
Habsburgerstr., Zähringerstr. Tullastr, Engesserstr, Madisonalle, Suwonallee"
228.0,2021-05-28 00:00:00,Mit Menschlichkeit für die Menschenrechte,Rathausplatz
229.0,2021-05-29 00:00:00,Einwohnerantrag zu 5G in Freiburg,Augustinerplatz
230.0,2021-05-29 00:00:00,"Mütter, Großmütter und Tanten","Holzmarkt - Kaiser-Joseph-Straße - Friedrichring -  Merianstraße - Rathausplatz - Rathausgasse - Schusterstraße - Eisenstraße,
Münsterplatz - (Kundgebung vor dem Historischen Kaufhaus)
"
231.0,2021-05-27 00:00:00,Wie schützen wir unsere Kinder vor Krankheit u. Isolation,"Beim EKZ, Krozinger Straße"
232.0,2021-05-26 00:00:00,Wie schützen wir unsere Kinder vor Krankheit u. Isolation,Vor dem Zentrum Oberwiehre Littenweiler
233.0,2021-05-29 00:00:00,Wo ist die rote Linie? Mut statt Angst.,"Stadtgarten, befestigte Fläche bei der ""Muschel"""
234.0,2021-05-28 00:00:00,Wie schützen wir unsere Kinder vor Krankheit u. Isolation,Platz der Alten Synagoge
235.0,2021-05-29 00:00:00,Wie schützen wir unsere Kinder vor Krankheit u. Isolation,Münsterplatz
236.0,2021-05-29 00:00:00,Nachhaltigkeit- Umwelt schützen- Massentierhaltung,"Günterstalstr. 54a, Engelbergerstraße 19"
237.0,2021-05-28 00:00:00,"Kultur ist essenziell, Kultur ist systemrelevant",Platz der Alten Synagoge
238.0,2021-05-29 00:00:00,"""Gartenstr. 19""","Lederleplatz – Guntramstraße - Lehener Str. - Kreuzstr. - Colmarer Str. - Wentzingerstr. -Wiwilibrücke
- Konrad Adenauer Platz"
239.0,2021-06-05 00:00:00,vegane Ernährung,Rathausplatz
240.0,2021-06-12 00:00:00,Mahnwache für die Menschen in Myanmar,Platz der Alten Synagoge
241.0,2021-06-03 00:00:00,Pop-Up-Bikelane zum Thema „Straße zurückerobern“ und umwelt-freundlichen Alternativverkehr fördern. Verkehrswende jetzt!,rechte Fahrspur des Schwabentorrings nördlich der Kartäuserstraße sowie auf der rechten Fahrspur des Schlossbergrings bis vor die Einmündung zur Mozartstraße 
242.0,2021-06-10 00:00:00,Tierschutz Ampelaktion,Kreuzung Bismarckallee / Stefan-Meier-St. / Breisacher Str. 
243.0,2021-06-01 00:00:00,"Für freie Impfentscheidung und Rückgabe der 
Grundrechte auch an ungeimpfte!","Suwonallee - Madisonallee – Berliner Allee - Binzengrün - 
Opfinger Str. – Uffhauser Str. – Basler Landstr. – Basler Str. 
- Schallstadt: Kirchstr. – Steingasse – Wiesenstr. – 
Scheuerleweg – Basler Str. -  weiter Richtung Norsingen:
B3 nach Bad Krozingen: Freiburger Str. -  Basler Str. –
Südring - St.-Georg-Str. - In den Mühlenmatten –
Schwarzwaldstr. - In der Breige – Schmiedeweg – 
Staufener Str. – Kirchhofener Str. - K4982 - Ehrenkirchen: 
Krozinger Str. – Lazarus-Schwendi-Str. – Batzenbergstr. - 
Lairenstr. - L125 – Ebringen: K4953 – Tiroler Weg - 
Im Tirol – Dammenweg – Friedhofstr. – Schönbergstr. – 
Ebringer Str. – Basler Str. – Basler Landstr. – 
Guildfordallee - Basler Str. – Eschholzstr. – 
Hohenzollernstr. – Heiliggeiststr. – Friedhofstr. – 
Kaiserstuhlstr. -  Hermann-Mitsch-Str. – 
Emmy-Noether-Straße - Madisonallee, Suwonallee"
244.0,2021-06-05 00:00:00,Glaube,Europaplatz  
245.0,2021-06-08 00:00:00,Tarifverhandlungen Stiftungsverwaltung ,Adelhauser Klosterplatz / Stiftungsverwaltung Freiburg
246.0,2021-06-11 00:00:00,Was bedeutet das neue Polizeigesetz in NRW für uns,Sternwaldwiese
247.0,2021-05-25 00:00:00,"""Gartenstr. 19""",Gartenstraße 19 79098 Freiburg
248.0,2021-06-19 00:00:00,Fahrraddemo Palästina und Kolumbien,"Konzerthaus, Bismarckallee, Leopoldring,  Schlossbergring, Wallstraße, Holzmarkt, Rempartstraße, Belfortstraße, Wilhelmstraße, Wiwili-Brücke, Wentzingerstraße, Engelbergerstraße, Stühlingerpark"
249.0,2021-06-05 00:00:00,Einwohnerantrag zu 5G in Freiburg,Augustinerplatz
250.0,2021-06-12 00:00:00,5vor12,Rathausplatz
251.0,2021-06-05 00:00:00,Wie schützen wir unsere Kinder vor Krankheit u. Isolation,Platz der Alten Synagoge
252.0,2021-06-12 00:00:00,Falun Dafa und die Verfolgung durch die Kommunistische Partei Chinas,Platz der Alten Synagoge
253.0,2021-06-12 00:00:00,Aufklärung zum Thema Gesundheit und Klimawandel in Bezug auf die Bundestagswahlen,Platz der Alten Synagoge
254.0,2021-06-13 00:00:00,"Pop-Up-Boulevard: Straßen und Parkplätze für menschliches, umweltfreundliches und gefahrloses Zusammenleben zurückerobern. Öffentlicher Raum ist viel zu wertvoll, als es der Dominanz der fahrenden und parkenden Autos zu überlassen.",Lorettostraße zwischen der Schwimmbadstraße und der Goethestraße
255.0,2021-06-07 00:00:00,Dietenbach,Dietenbach (Langenmattenwäldchen)
256.0,2021-06-08 00:00:00,Für den bedingungslosen Rückerhalt aller Grundrechte!,"Suwonallee – Madisonallee - Berlinerallee, Breisacher Str. – Friedrichstr. - Friedrichring – Leopoldring – Schlossbergring - Schwarzwaldstr. – Hansjakobstr. – Lindenmattenstr. – Alemannenstr. – Kappler Str. – Großtalstr. – Im Schulerdobel – Peterbergstr. – Großtalstr. – Bahnhofstr. – Kirchzartner Str. – Freiburger Str. – Kirchzarten; Dr.-Gremmelsbacher-Str. – Dietenbacher Str. - L126 bis Obertal Oberried; dann weiter auf Hauptstr. - L126 nach Kirchzarten; Oberrieder Str. – Hauptstr. – Schwarzwaldstr. – Feldbergstr. – Ringstr. – Höfener Str. – Zartener Str. – Bahnhofstr. – Stegener Str. – Unterbirken – Oberbirken – Schulstr. – Reichlegasse – Hauptstr. – Kirchzartner Str. – Weilerstr. – Zartner Str. - St.-Peter-Str. – Bundesstr. – Wittental Str. - L133 Richtung Ebnet; Schwarzwaldstr. – Hurstbrunnenstr. – Bruggastr. - Unteres Grün – Hirschenhofweg – Schwarzwaldstr. – Schwabentorring – Leopoldring – Habsburgerstr. – Zähringer Str. – Komturstr. - 
Renneweg – Waldkircher Str. – Friedhofstr. - Kaiserstuhlstr, Hermann-Mitsch-Str. -  Maddisonallee - Suwonallee
"
257.0,2021-06-08 00:00:00,Warnstreik im Rahmen der Tarifauseinandersetzung im KFZ-Handwerk in Baden-Württemberg,"Autokorso: Bötzinger Straße – Munzinger Straße – Besanconallee – Guildfordallee – Basler Straße - Heinrich-von-Stephan-Straße – Schnewlinstraße – Eisenbahnstraße (eine Hälfte des Autokorsos fährt in die Rotteckgarage die andere in das Parkhaus Hauptbahnhof)

Kundgebung: Platz der Alten Synagoge"
258.0,2021-06-10 00:00:00,Corona und die Folgen der Maßnahmen für Kinder und Eltern,Platz der Alten Synagoge
259.0,2021-06-19 00:00:00,Glaube,Augustinerplatz
260.0,2021-06-12 00:00:00,vegane Ernährung,Seeparkgelände
262.0,2021-06-19 00:00:00,Mahnwache für Frieden und Abrüstung,Rathausplatz
263.0,2021-06-12 00:00:00,Kaffe trinken und Kuchen essen für ein menschenwürdiges Leben,Stadtgarten
264.0,2021-06-19 00:00:00,vegane Ernährung,Rathausplatz
265.0,2021-06-16 00:00:00,Gesundheitspolitik,PdAS
266.0,2021-06-12 00:00:00,Einwohnerantrag 5G-Moratorium Unterschriftensammlung,Augustinerplatz
267.0,2021-06-12 00:00:00,Wie schützen wir unsere Kinder vor Krankheit u. Isolation,Augustinerplatz
268.0,2021-06-12 00:00:00,Nein zur türkischen Invasion in Südkurdistan (Nordirak),Platz der Alten Synagoge
269.0,2021-06-22 00:00:00,"Lautstark ein Zeichen gegen Ruhestörung, Krach, Radau, Lärmbelästigung Rabatz und andere akustische Verschmutzungen der Innenstadt setzen.","Auftaktkundgebung: Lederleplatz, dann Aufzug Egonstraße - Wenzingerstraße - Engelbergerstraße – Eschholzstraße - Kranzniederlegung am Bis Späti - Lehener Str. - Guntramstraße - Lederleplatz, dann Abschlusskundgebung am Lederleplatz"
270.0,2021-06-14 00:00:00,Stellungnahme der Friedensdelegation nach Südkurdistan,Platz der Alten Synagoge
271.0,2021-06-12 00:00:00,Rebellion of one,"Rempartstraße, Kartäuserstraße, Wasserstraße"
272.0,2021-06-26 00:00:00,Tag zur Unterstützung der Opfer von Folter,Platz der Alten Synagoge
273.0,2021-06-15 00:00:00,Schützt die Kinder!,"Freiburg: Suwonallee - Madisonallee - Engesserstraße - Tulllastraße – Zähringer Straße - B3 / Isfahahnallee 
Denzlingen: Unterdorf / Türleacker - Kronenstraße - Hauptstraße - Ro-senstraße - Schwarzwaldstraße - Vörstetter Straße - Kirchstraße/L110 
Sexau: Denzlinger Straße - Emmendinger Straße/L186 
Kollmarsreute: Hauptstraße 
Emmendingen: Kollmarsreuter Straße - Wiesenstraße - Schillerstraße - Fritz-Boehle-Straße - Kollmarsreuter Straße - Weinstockstraße - Hoch-burger Straße - Hebelstraße - Karl-Friedrich-Straße/B3 - B3 - L114 / Emmendinger Straße 
Teningen: Emmendinger Straße - Friedrich-Meyer-Straße - Hans-Sachs-Straße - Feldbergstraße - Neudorfstraße - Emmendinger Straße - Tscheulinstraße
Köndringen: Bahnhofstraße - Hauptstraße - B3 
Emmendingen: Kaiserstuhlstraße - Freiburger Straße - B3 Richtung Freiburg
"
274.0,2021-06-20 00:00:00,Späti geht wir bleiben,Lederleplatz  
275.0,2021-06-18 00:00:00,Wir fordern die sofortige Ausrufung des Klimanotstandes durch den Gemeinderat der Stadt Freiburg!,Platz der Alten Synagoge – Rotteckring (nach Norden) – Leopoldring – Schlossbergring – Greifeneckring – Schwarzwaldstraße (nach Osten) – Wilhelm-Eschle-Platz – Seminarstraße – Schwarzwaldstraße – Leo-Wohleb-Straße – Dreisamstraße – B31a (bis Berliner Allee) – Berliner Allee (nach Norden) – Breisacherstraße – Bismarckallee – Wilhelm-straße - Konrad-Adenauer-Platz.
276.0,2021-06-17 00:00:00,Corona und die Folgen der Maßnahmen für Kinder und Eltern,Platz der Alten Synagoge
277.0,2021-06-19 00:00:00,Demo gegen den brasilianischen Präsidenten und für Demokratie in Brasilien,Platz der Alten Synagoge
278.0,2021-06-18 00:00:00,"Pinera a la Corte Internacional de la Haya/
Pinera vor dem Internationalen Gerichtshof in Den Haag
",Augustinerplatz
279.0,2021-06-20 00:00:00,Weltgeflüchtetentag,PdAS
280.0,2021-06-18 00:00:00,Fahrrad-Demo zur IMK in Rust,"Platz der Alten Synagoge – Rotteckring – 
Habsburgerstraße – Zähringer Straße – 
Gundelfinger Straße – Gundelfingen – 
Alte Bundesstraße – Vörstetter Straße – 
Basler Straße – Marchstraße – Emmendingen – Radweg an der Elz – Brücke Schützenstraße – Karl-Bautz-Straße – Bahnhofsstraße – Marktplatz – Bahnhofstraße – Kirchstraße – Lammstraße - Emmendinger Tor   – Karl-Friedrich-Straße – Bundesstraße – Köndringen – Hauptstraße – Malterdingen – Hecklinger Straße – Kenzingen – Freiburger Straße – Hauptstraße – Offenburger Straße – Herbolzheim – Hauptstraße – Bundesstraße – Ringsheim - Hauptstraße bis Bahnhof"
281.0,2021-06-19 00:00:00,Einwohnerantrag Moratorium 5G in Freiburg - Unterschriftensammlung,Augustinerplatz - Gerberau – Kaiser-Joseph-Str. - Martinstor – Löwenstr. - Niemensstr. - Platz der Alten Synagoge - Rotteckring – Am Predigertor – Unterlinden - Merianstr. - Rathausplatz - Universitätsstr. - Niemensstr. – Löwenstr. – Kaiser-Joseph-Str. - Grünwälderstr. - Augustinerplatz.
282.0,2021-06-19 00:00:00,"Billigfleisch aus Haltungsstufe 1, Klimawandel",Edeka Weber-Wasser-Straße 2 und Habsburgerstraße 
283.0,2021-06-18 00:00:00,Bewaffneter Anschlag auf HDP-Zentrale in Izmir: Eine Tote,Rathausplatz
284.0,2021-06-19 00:00:00,„Keine Corona-Impfung für unsere Kinder!“,"Karlsplatz - Auf der Zinnen – Leopoldring – Europaplatz - Kaiser-Joseph-Straße - 
Rempartstraße – Belforstraße – Bismarckallee – Friedrichstraße - Kaiser-Joseph-Straße – Bertoldstraße - Platz der Alten Synagoge, dort Abschlusskundgebung 
"
285.0,2021-06-19 00:00:00,Wie schützen wir unsere Kinder vor Krankheit u. Isolation,PdAS
286.0,2021-06-22 00:00:00,Ende der pandemischen Lage nationaler Tragweite Jetzt!,Lehener Str. – Berliner Allee – Sundgauallee – Hofackerstr. – Elsässer Str. – Berliner Allee – Breisacher Str. – Eschholzstr. – Lehener Str. – Kreuzstr. – Breisacher Str. – Friedrichstr. – Friedrichring – Habsburgerstr. – Zähringer Str. – Lameystr. – Wackerstr. – Zähringer Str. – Reutebachgasse – Rötebuckweg – Sonnhalde – Maisenbergweg – Schubertstr. – Richard-Wagner-Str. – Schlüsselstr. -  Hauptstr. – Urbanstr. – Stadtstr. – Mozartstr. – Schlossbergring – Schwabentorring – Dreisamstr. – Werthmannstr. -  Lessingstr. – Schillerstr. - Schwabentorring - Schlossbergring fahrende Auflösung
287.0,2021-06-22 00:00:00,Schluss mit dem Impfschwindel,"Sautierstr Höhe Finanzamt – Tennenbacher Str. – Emmendinger Str. – Komturstr. -  Zähringer Str. – Reutebachgasse – Rötebuckweg – Eichhalde – Wintererstr. – Mozartstr. – Stadtstr. – Jacobistr. – Lerchenstr. – Okenstr. – Brahmsstr. - Johann-
Sebastian-Bach-Str. – Schubertstr. – Schänzlestr. – Habsburgerstr. – Leopoldring - 
Schlossbergring – Greiffeneggring – Hildastr. – Zasiusstr. – Günterstalstr. – Maximilianstr. – Beethovenstr. – Hans-Thoma-Str. – Schauinslandstr. -  Kybfelsenstr. – Weilersbachweg – Horbener Str. – Leimeweg – Schauinslandstr. – Günterstalstr. – Silberbachstr. – Holbeinstr. – Schwaighofstr. - Maximilianstr. – Goethestr. – Lorettostr. – Johann-von-Weerth-Str. - Christoph-Mang-Str. – Merzhauser Str. – Basler Str. – Kronenstr. – Lessingstr. - Auflösung ohne Aussteigen und ohne weitere Kundgebung.
"
288.0,2021-06-22 00:00:00,Gebt den Kindern ihre Freiheit zurück! Jetzt!,"Parkplatz SV Kappel - Großtalstr. - Hagenmattenstr. – Erzwäscherei - Großtalstr. – Bahnhofstr. - Kirchzartenerstr. - Alemannenstr. - Am Hagmättle – Frankenweg - Im Oberfeld – Frankenweg - Höllentalstr. - Lindenmattenstr. - Littenweilerstr. – Kunzenweg - Lindenmattenstr. - Ekkebertstr. - Keltenstr. – Kappler Str. - Heinrich-Heine-Str. - Schwarzwaldstr. - Karl-Berner Str. - Hansjakobstr. - Adolf-Schmitthenner Str. - Schwarzwaldstr. - Jahnstr. - Hansjakobstr. - Wilhelm-Dürr-Str. – Sandfangweg - Kartäuserstr. - Fabrikstr. – Oberau - Lücke in der Anmeldung wahrscheinlich Mühlenstr. - Kartäuserstr. – Schwabentorring - Schlossbergring, Mozartstr. - Stadtstr. – Jacob-Burckhardt-Str. – Leopoldring – Schlossbergring – Greiffeneggring - Schwarzwaldstr. - fahrende
Auflösung
"
289.0,2021-06-22 00:00:00,Vorwand Corona: Digitale Überwachung und Kontrolle Nein Danke !,"Gerhard-Hauptmann-Str. – Hofackerstr. – Elsässerstr. – Wirthstr. – Auwaldstr. - Richtung See, Wende – Auwaldstr. - bis auf Höhe Eulenweg, Wende Elsässerstr. – Neunlindenstr. – Paul-Ehrlich-Str. – Ellen-Gottlieb-Str. – Eugen- Martin-Str. – Zita-Kaiser-Str. – Ingeborg-Krummer-Schroth-Str. – Isfahanallee – Kandelstr. – Rennweg – Habsburgerstr. – Leopoldring – Schlossbergring - Schwabentorring – Dreisamstr. – Kronenbrücke – Lessingstr. – Schillerstr. fahrende Auflösung"
290.0,2021-06-22 00:00:00,Für eine Polizei mit Gewissen in der Gesundheitsdiktatur,"P & R Geschwister-Scholl-Platz – Walter-Benjamin-Str. – Ingeborg-Drewitz-Allee, Maxim-Gorkij-Strasse – Cornelia-Schlosser-Allee – Erika-Sinauer-Str. – Rieselfeldallee – Max-Josef-Metzgerstr. – Willy-Brandt-Allee – Adelheid-Steinmann-Str. – Besançonallee – Sundgauallee – Hofackerstr. – Elsässerstrasse – Auwaldstr. – Elsässerstraße - Berliner Allee – Lehenerstr. – Fehrenbachallee – Breisacherstr. – Eschholzstr. – Lehenerstr. – Kreuzstr. – Breisacherstr. – Stephan-Meier-Straße – Rennweg – Habsburgerstr. – Leopoldring – Schlossbergring – Dreisamstr. B31, fahrende Auflösung"
291.0,2021-06-22 00:00:00,Stoppt den Betrug Schluss mit den Lügen des RKI,"P&R Parkplatz Lehen: Breisgauerstr. – Gescheidstr. – Sundgauallee – Fasanenstr. - Auf der Bleiche – Bundschuhstr. – Lindenstr. – Waldallee – Wasenweg – Humbergweg – Kirchbergstr. – Breisgauerstr. – Ziegelhofstr. Wende an der Bus Endhaltestelle - Breisgauerstr,. – Sundgauallee – Dietenbachstr. – Tränkestr. -
Sudermannstr. – Wichertstr. – Angelus-Silesius-Str. – Sundgauallee – Fehrenbachallee – Engelbergerstr. – Eschholzstr. - B31a, Lessingstr. – Schillerstr. – Schwabentorring – Schlossbergring – Leopoldring - Friedrichring fahrende Auflösung
"
292.0,2021-06-22 00:00:00,Schluss mit dem quälen unserer Kinder durch Masken,P&R Munzingerstr. - St. Georgenerstr. – Rankackerweg – Opfingerstr. – Binzengrün – Haslacherstr. – Eschholzstr. – Lörracherstr. – Andreas-Hofer-Str. – Obergasse – Malteserordensstr. – Hartkirchweg – Mettackerweg – Bozenerstr. – Andres-Hofer-Str. – Wiesentalstr. – Merzhauserstr. – Baslerstr. – Kronenstr. –Lessingstr. – Schillerstr. – Schwabentorring - Schlossbergring fahrende Auflösung
293.0,2021-06-22 00:00:00,Stoppt den „Corona“ Betrug am laufenden Band,"Robert Ruh Weg – Berliner Allee – Binzengrün – Buggingerstr. – Binzengrün – Opfingerstr. – Markgrafenstr. – Staufenerstr. – Feldbergstr. – Belchenstr. – Uffhauserstr. – Basler Landstr. – Malteserordenstr. – Hartkichweg -
Mettackerweg – Bozenerstr. - Andreas Hofer Str. – Lörracherstr. – Wiesentalstr. – Merzhauserstr. – Lorettostr. – Günterstalstr. – Erwinstr. – Bürgerwehrstr. – Zasiusstr. – Günterstalstr. – Schillerstr. – Schwabentorring – Schlossbergring –Loepoldring – Habsburgerstr. – Zähringerstr. - fahrende Auflösung Höhe HEM Tankstelle
"
294.0,2021-06-22 00:00:00,Kinder schützen vor der Impfung,"Parkplatz Uffhauserstr. Friedhof - Uffhauserstr. – Markgrafenstr. – Staufenerstr. - Carl-Kistner-Str. – Opfingerstr. – Rankackerweg - Auf der Haid - Am Lindenwäldle – Hurstweg – Rankackerweg - St. Georgenerstr. - Carl-Mez-Str. – Bettackerstr. – Uffhauserstr. - B3, Baslerstr. – Talstr. – Schwarzwaldstr. – Heinrich-Heine-Str. – Schwarzwaldstr. – Sandfangweg – Kartäuserstr. – Wallstr. - Holzmarkt – Kaiser- Joseph-Str. – Dreisamstr. – Kronenbrücke – Lessingstr. – Schillerstr. – Schwabentorring - Schlossbergring – Friedrichring - Bismarckallee fahrende Auflösung"
295.0,2021-06-22 00:00:00,Behörden Willkür beenden! Ende der Pandemischen Lage,Suwonallee – Granadaallee – Elsässer Str. – Berliner Allee – Binzengrün – Opfinger Str. - Walter-Benjamin-Str. – Ingeborg-Drewitz-Allee - Maxim-Gorkij-Str. – Cornelia-Schlosser-Allee – Erica-Sinauer-Str – Rieselfeldallee – Max-Josef-Metzger-Str. – Willy-Brandt-Allee - Adelheid-Steinmann-Str. – Besanconallee – Opfinger Str. - Carl-Kistner-Str. – Eschholstr. – Breisacher Str. – Bismarckallee – Schnewlinstr. - B31a – Lessingstr. – Schillerstr. – Schwabentorring – Schlossbergring - Leopoldring fahrende Auflösung
296.0,2021-07-03 00:00:00,vegane Ernährung,PdAS
297.0,2021-07-17 00:00:00,vegane Ernährung,Rathausplatz
298.0,2021-06-20 00:00:00,Späti geht wir bleiben,Lederleplatz
299.0,2021-06-19 00:00:00,Kein Angriff ohne Anwort,Lorettostr. - Merzhauser Str. - Weddigenstr. - Matthias-Erzberger-Str. - Skagerrakstr. - Langemarckstr.
300.0,2021-06-19 00:00:00,Kundgebung zu der derzeitigen Lagen in Kolumbien,Sühlinger Kirchplatz
301.0,2021-06-24 00:00:00,Gedenken an Präsenzlehre,PdAS
302.0,2021-06-22 00:00:00,Folgen der Corona-Maßnahmen für Kinder und Eltern,Kaiser-Joseph-Straße Ecke Schiffstraße
303.0,2021-06-24 00:00:00,Corona und Folgen der Impfung für Erwachsene und Kinder,Rathausplatz
304.0,2021-07-03 00:00:00,Weltfrieden durch inneren Frieden,Seeparkgelände
305.0,2021-06-23 00:00:00,"für Menschenrechte, Liebe für alle, gegen Homo",PdAS
306.0,2021-06-26 00:00:00,Gallery Walk zum 150. Jahrestag des § 218,Beginn Treppe Theater
307.0,2021-06-26 00:00:00,gemeinsam mit Kaffee und Kuchen für ein menschenwürdiges Leben,PdAS
308.0,2021-07-02 00:00:00,"Bundestagswahl, bezahlbarer Wohnraum",PdAS
309.0,2021-06-26 00:00:00,Einwohnerantrag 5G-Moratorium Unterschriftensammlung,Augustinerplatz
310.0,2021-06-27 00:00:00,Was ist in Kolumbien los ,Augustinerplatz
311.0,2021-07-03 00:00:00,Falun Dafa und die Verfolgung durch die Kommunistische Partei Chinas,Augustinerplatz
312.0,2021-07-24 00:00:00,Kein Angriff ohne Anwort,vor Rathaus im Stühlinger
313.0,2021-07-02 00:00:00,Mahnwache für Frieden (Kirchlicher Aktionstag gegen Atomwaffen und Aufrüstung),Rathausplatz
314.0,02.+ 03.07.2021,"Informationsstand der politischer Jugendorganisationen des Rings Politischer Jugend (Junge Liberale, Junge Union, Jusos, Grüne Jugend, Linksjugend Solid, Junges Freiburg) bei dem die auf dem Platz anwesenden Jugendlichen nach Forderungen und Verbesserungsvorschlägen an die Stadt Freiburg bezüglich öffentlicher
Plätze und Vermüllung befragt werden",PdAS
315.0,2021-07-03 00:00:00,Klimakrise ist jetzt,Stadtgarten
316.0,2021-07-03 00:00:00,Gegen den brasilianischen Präsidenten und für Demokratie in Brasilien,Konrad-Adenauer-Platz – Bertoldstr. – Zwischenkundgebung am Platz der Alten Synagoge -  Bertoldstr. – Kaiser-Joseph-Str. – Schlusskundgebung am Europaplatz
317.0,2021-07-01 00:00:00,"Thema der Veranstaltung ist eine trauernde und gedenkende 
Mahnwache anlässlich der Schließung des Spätkaufs 'Bis Späti'. ",Lederleplatz
318.0,2021-07-01 00:00:00,Wie schützen wir unsere Kinder vor Krankheit und Isolation?,Rathausplatz
319.0,2021-07-02 00:00:00,"Mahnwache für Frieden (Kirchlicher Aktionstag gegen Atomwaffen
 und Aufrüstung)",Rathausplatz
320.0,2021-07-02 00:00:00,Mahnwache,PdAS
321.0,2021-07-03 00:00:00,Wie schützen wir unsere Kinder vor Krankheit und Isolation?,Europaplatz  
322.0,2021-07-10 00:00:00,5vor12,Rathausplatz
323.0,2021-07-05 00:00:00,Entschädigung für geraubte Kinder,Rathausplatz
324.0,2021-07-06 00:00:00,Wahlkampfveranstalung,Augustinerplatz
325.0,2021-07-06 00:00:00,"Schluss mit Lustig, wie lange soll die Show noch gehen ?",Autokoso
326.0,2021-06-09 00:00:00,Wir fordern: Klimaneutralität bis 2030!,Fahrraddemo: Platz der Alten Synagoge – über die Kronenbrücke – Baslerstraße - B3 bis zur Besanconallee (nach Norden) bis zur Padua-Allee – Sundgauallee -Berliner-Allee – Breisacherstraße – Friedrichstraeß - Rotteckring zum PdAS.
327.0,2021-07-06 00:00:00,Sammlung von Unterstützungsunterschriften für Kandidatin von dieBasis,Rathausplatz
328.0,2021-07-15 00:00:00,"Wir möchten die Mahnwache zur Schließung des Spätis und zum Thema der andauernden schlechten Lage Freiburger Freiräume von letzten Donnerstag, am übernächsten nochmals stattfinden lassen.",Fahrraddemo: Platz der Alten Synagoge – über die Kronenbrücke – Baslerstraße - B3 bis zur Besanconallee (nach Norden) bis zur Padua-Allee – Sundgauallee -Berliner-Allee – Breisacherstraße – Friedrichstraeß - Rotteckring zum PdAS.
329.0,2021-06-17 00:00:00,Christopher Street Day,Sühlinger Kirchplatz
330.0,2021-07-07 00:00:00,Unterstützerunterschriften,Rathausplatz
331.0,2021-07-10 00:00:00,Einwohnerantrag zu 5G / Mobilfunk,Augustinerplatz
332.0,2021-07-08 00:00:00,Die Kinder Impfung und die Corona Maßnahmen.,EKZ Weingarten
333.0,2021-07-10 00:00:00,politischer Wandel,PdAS
334.0,2021-07-11 00:00:00,Gerechtigkeit für Pia Seiler,Amtsgericht
335.0,2021-07-10 00:00:00,Glaube,Rathausplatz
336.0,2021-07-10 00:00:00,5G und unsere Forderungen,Augustinerplatz mit Aufzug
337.0,2021-07-16 00:00:00,Klimagerechtigkeit,Augustinerplatz mit Aufzug
338.0,2021-07-24 00:00:00,vegane Ernährung,Rathausplatz
339.0,2021-07-25 00:00:00,"Fahrraddemo zur Unterstützung des Radweges zwischen Waltershofen
und Gottenheim","Kundgebung zum Beginn an der Sporthalle Breikeweg 5 
- Fahrt entlang Breikeweg - Umkircher Straße - 
Sonnenbrunnenstraße, entlang L187 Richtung Gottenheim
 bis Höhe Gelände Paletten Maier, dort Wende und Rückfahrt 
auf L187, auf dem Parkplatz vom Windhundplatz eine 
Kundgebung mit 3-4 Rednern, danach Auflösung der Versammlung"
340.0,2021-07-24 00:00:00,Freiheit,PdAS
341.0,2021-07-24 00:00:00,Klimagerechtigkeit und Menschenrechte,Eschholzpark
342.0,"02.08., 09.08., 16.08., 23.08., 30.08., 06.09., 13.09., 20.09., 27.09., 04.10., 11.10., 18.10., 25.10., 08.11., 15.11.","Soziale Gerechtigkeit, Umweltschutz, Frieden",Ecke Bertoldstraße / Niemenstraße
343.0, 17.07.2021,KUNST LAND WASSER - Theater Karawane,Haus der Begegnung (Habichtweg 48) - Auwaldstraße (Rewe) - Auwaldstraße (Baustelle) - Spechtweg 33 (AWO) - Haus der Begegnung (Habichtweg 48)
344.0,2021-07-14 00:00:00,Wie schützen wir unsere Kinder vor Krankheit und Isolation? ,ZO 
345.0,2021-07-18 00:00:00,End Impunity in Irak,Rathausplatz
