Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
304.0,"16.11.2019
23.11.2019
30.11.2019","Türkei raus aus Kurdistan, Erdogan vors Kriegsverbrechergericht nach Den Haag, Schluss mit dem verbrecherischen Kriegstreiben der Türkei, Schluss mit der Unterstützung durch die Bundesrepublik.
","16.11.2019:
Platz der Alten Synagoge (Auftaktkundgebung) – Bertoldstraße – Kaiser-Joseph-Straße (Zwischenkundgebung vor dem Regierungspräsidium Freiburg) – Auf der Zinnen – Herrenstraße – Oberlinden – Salzstraße – Bertoldsbrunnen (Zwischenkundgebung) – Kaiser-Joseph-Straße – Rempartstraße – Platz der Alten Synagoge (Abschlusskundgebung, Auflösung)

23.11.2019 und 30.11.2019:
Platz der Alten Synagoge (Auftaktkundgebung) – Bertoldstraße – Kaiser-Joseph-Straße (Zwischenkundgebung vor dem Regierungspräsidium Freiburg) – Auf der Zinnen – Herrenstraße – Oberlinden – Salzstraße – Augustinerplatz – Gerberau – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung, Auflösung)
",,,
305.0,2019-11-21 00:00:00,Unterstützung des Nationalstreiks in Kolumbien,Platz der Alten Synagoge,,,
306.0,"18.11./ 25.11.
02.12./ 16.12.","Soziale Ungerechtigkeit, Umweltschutz, Frieden",Bertoldstraße / Niemensstraße ,,,
307.0,2019-11-25 00:00:00,"Stoppt Gewalt gegen Frauen und Mädchen!
Widerstand von Frauen gegen Gewalt geschichtlich und weltweit!
Gewalt gegen Frauen ist eine Kriegswaffe – Stoppt Kriege und Kriegsproduktion!
Stoppt Gewalt gegen Frauen und Mädchen!
Widerstand von Frauen gegen Gewalt geschichtlich und weltweit!
Gewalt gegen Frauen ist eine Kriegswaffe – Stoppt Kriege und Kriegsproduktion!
",Platz der Alten Synagoge,,,
308.0,2019-11-20 00:00:00,Mahnwache Transgender Day of Remembrance ,Platz der Alten Synagoge,,,
309.0,2019-11-29 00:00:00,Mahnwache für die Tiere,"Tullastraße 73, 79108 Freiburg i. Br.",,,
310.0,2019-11-21 00:00:00,Klimagerechtigkeit,Ecke Kaiser-Joseph-Straße/ Rathausgasse,,,
311.0,2019-12-08 00:00:00,niXmas-Markt,Stühlingerplatz,,,
312.0,2019-11-23 00:00:00,Mahnwache zum Gedenken der Toten im Mittelmeer,Platz der Alten Synagoge,,,
313.0,2019-11-26 00:00:00,Absetzung therapeutischer Leistung der IKK,"vor der Geschäftsstelle IKK, Wilhelmstr. 3a",,,
314.0,2019-11-22 00:00:00,Investitionsgeschäfte der Sparkassengruppe,Vor der Sparkasse in der Kaiser-Joseph-Straße 186,,,
315.0,2019-11-29 00:00:00,Demokratie für Iran,Platz der Alten Synagoge,,,
316.0,2019-11-30 00:00:00,Hochseeschutzabkommen,Platz der Alten Synagoge,,,
317.0,2019-12-04 00:00:00,"Ampelaktion zum Thema ""Tierversuche""",Kreuzung Bismarckallee/ Friedrichstraße,,,
318.0,2019-12-08 00:00:00,Aufwache Maria 2.0,Münsterplatz,,,
319.0,2019-11-29 00:00:00,Klimaschutz/ Fahrradkorso zur Fridays For Future De-mo,Maria-von-Rudloffplatz - Rieselfeldallee - Opfingerstraße - Carl-Kistner-Straße - Eschholzstraße - Stühlinger Straße - Wentzinger Straße - Wiwili Brücke - Konzerthaus Freiburg,,,
320.0,2019-11-29 00:00:00,Klimaschutz/Fahrradkorso zur Fridays For Future Demo,Habsburgerstr. 9 (Gelände Fabrik) – Europaplatz – Friedrichring - Planetarium (Fahrradunterführung) – Wentzingerstraße – Stühlinger Kirchplatz.,,,
321.0,2019-11-29 00:00:00,Zubringerdemo zur Fridays For Future Demo,Haltestelle Reiterstraße – Kronenstraße – Werthmannstraße – Platz der Alten Synagoge,,,
322.0,2019-11-29 00:00:00,Klimastreik,PdAS-Belfortstr.-Wilhelmstr.-Bismarckallee-Friedrichstr.-Friedrichring-Europaplatz-Kajo-Rempartstr.-PdAS,,,
323.0,2019-12-06 00:00:00,Klimagerechtigkeit,"Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen (Zwischenkundgebung) – Kaiser-Joseph-Straße (Richtung Europaplatz, dort Wendung) – Bertoldsbrunnen (Zwischenkundgebung) – Kaiser-Joseph-Straße (bis Holzmarkt) ",,,
324.0,2019-12-06 00:00:00,Investitionsgeschäfte der Sparkassengruppe,Vor der Sparkasse in der Kaiser-Joseph-Straße 186,,,
325.0,2019-12-13 00:00:00,Veganes Backen,Bertoldsbrunnen ,,,
326.0,2019-12-07 00:00:00,"Türkei raus aus Kurdistan, Erdogan vors Kriegsverbre-chergericht nach Den Haag, Schluss mit dem verbre-cherischen Kriegstreiben der Türkei, Schluss mit der Unterstützung durch die Bundesrepublik. ","Platz der Alten Synagoge (Auftaktkundgebung) – Bertoldstraße – Bertoldsbrunnen (Zwischenkundgebung) – Salzstraße – Augustinerplatz – Gerberau – Kaiser-Joseph-Straße - Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung, Auflösung) ",,,
327.0,2019-12-10 00:00:00,Menschenrechtsverletzungen in China,Bertoldsbrunnen,,,
328.0,2019-12-18 00:00:00,Freiheit für die Gefangenen des G20 von Hamburg,Rathausplatz / Weihnachtsmarkt mit anschließendem Abendspaziergang,,,
329.0,2019-12-20 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge – Rempartstraße – Kaiser-Joseph-Straße – Europaplatz – Rotteckring – Platz der Alten Synagoge,,,
330.0,2019-12-20 00:00:00,Mahnwache für die Tiere,"Tullastraße 73, 79108 Freiburg i. Br.",,,
331.0,2019-12-14 00:00:00,Entkriminalisierung von Cannabis ,Platz der Alten Synagoge,,,
332.0,"13.12.2019
14.12.2019",Weltfrieden durch inneren Frieden,Platz der Alten Synagoge – Bertoldstraße – Kaiser-Joseph-Straße – Europaplatz – Kaiser-Joseph-Straße bis Martinstor (diese Strecke auf der Kaiser-Joseph-Straße 3 Mal) – Bertoldstraße – Platz der Alten Synagoge (Fr) ,,,
333.0,2019-12-13 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge,,,
334.0,2019-12-10 00:00:00,"Protestaktion/ Flasmob ""UN VIOLADOR EN TU CAMINO! DER VERGEWALTIGER BIST DU!""",Platz der Alten Synagoge,,,
335.0,2019-12-13 00:00:00,Investitionsgeschäfte der Sparkassengruppe,Vor der Sparkasse in der Kaiser-Joseph-Straße 186,,,
336.0,2019-12-17 00:00:00,Veganismus und CO2 Politik ,Burgdorfer Weg Zähringen,,,
337.0,2019-12-20 00:00:00,Demonstration für Latinoamerica,Platz der Alten Synagoge,,,
338.0,"20.12.2019
21.12.2019",Kindesentführung,Kaiser-Joseph-Straße/ Engelstraße,,,
339.0,2019-12-21 00:00:00,"Umweltschutz, Jugend, Internationale Solidarität",Platz der Alten Synagoge,,,
340.0,2019-12-20 00:00:00,Veganes Backen,Bertoldsbrunnen ,,,
341.0,2019-12-31 00:00:00,Für eine Gesellschaft ohne Knäste,"JVA Freiburg, Hermann-Herder-Str. 8",,,
