Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke
162.0,2016-11-10 00:00:00,dem. Aktion,Gegen das Vorgehen der Stadt am Platz der Alten Synagoge,Privtgelände des Theaters
163.0,2016-12-18 00:00:00,Versammlung,Krach vorm Knast,JVA Freiburg
164.0,2016-11-15 00:00:00,dem. Aktion,Gegen das Vorgehen der Stadt am Platz der Alten Synagoge,Rathausplatz
165.0,2016-11-30 00:00:00,dem. Aktion,Cities for Life Day (Todesstrafe),Bertoldsbrunnen (vor WMF)
166.0,2016-11-15 00:00:00,dem. Aktion,gegen Flächenfraß und Bauwut in Dietenbach,Rathausplatz
167.0,2016-11-19 00:00:00,dem. Aktion mit Aufzug,Verbot von Waffenexperten,Augustinerplatz - Gerberau - KaJo - Bertoldsbrunnen - Auf der Zinnen - Herrenstraße - Salzstraße - Augustinerplatz
168.0,2016-11-25 00:00:00,dem. Aktion,"Demo für den Erhalt von landwirtschaftlichen Flächen und gegen Bauwut auf Äckern, Wald und Wiesen im Dietenbach","Parkplatz am Friedhof St. Georgen – Basler Landstraße – Heinrich-von-Stephan-Straße – Schnewlinstraße – Bismarckallee – Eisenbahnstraße – Rotteckring (wenn möglich zunächst in Fahrtrichtung Süd bis zur Bertoldstraße, dort Kopfwende nach Nord) – Friedrichring – Leopoldring – Schlossbergring – Greiffeneggring – Wallstraße – Holzmarkt – Rempartstraße – Belfortstraße – Wilhelmstraße – Bismarckallee – zur Unterführung – Breisacher Straße – Berliner Allee – Binzengrün – Opfinger Straße – Bettina-von-Arnim-Straße – Rieselfeld – landwirtschaftliche Wege zum Mundenhof"
169.0,2016-11-19 00:00:00,dem. Aktion,Mikroplastik und Meere,Ecke Kajo / Wasserstraße
170.0,2016-11-19 00:00:00,dem. Aktion,Angorawolle,"KaJo, vor Galeria Kaufhof"
171.0,2016-11-19 00:00:00,dem. Aktion,Queer und Flucht,Vorplatz Johanneskirche
172.0,2016-11-19 00:00:00,dem. Aktion,AfD stppen,Bertoldsbrunnen
173.0,2016-11-25 00:00:00,dem. Aktion,Nutztierhaltung,Bertoldsbrunnen
174.0,2016-12-10 00:00:00,Mahnwache,Mahnwache für Menschenrechte,Bertoldsbrunnen
175.0,2016-11-23 00:00:00,dem. Aktion,Pelz,Bertoldsbrunnen (vor WMF)
176.0,2016-11-26 00:00:00,dem. Aktion,Bewusstsin für die tiefere Gemeinsamkeit unserer Realität mit Lachen und Stille,Augustinerplatz
177.0,2016-11-26 00:00:00,dem. Aktion,gegen Angorawolle,Kaiser-Joseph-Straße Bereich Galeria Kaufhof
178.0,2016-11-26 00:00:00,dem. Aktion,keine Studiengebühren! Für Niemanden,"Wegstrecke:  Platz der Universität, dort Auftaktkundgebung - Rempartstraße – Kaiser-Joseph-Straße – Gerberau – Augustinerplatz, dort Zwi-schenkundgebung – Salzstraße – Bertoldsbrunnen, Zwischenkundgebung – Kaiser-Joseph-Straße – Siegesdenkmal – Friedrichring – Fahnenbergplatz, Zwischenkundgebung – Rotteckring, dort Abschlusskundgebung"
179.0,2016-12-10 00:00:00,dem. Aktion,Verfolgung von Falun Dafa in China und Organraub,Bertoldsbrunnen
180.0,2016-11-25 00:00:00,dem. Aktion,Stadtrundgang an Erinnerungsorte von Gewalt gg. Frauen,Augustinerplatz mit Aufzug
181.0,2016-11-26 00:00:00,dem. Aktion,Forderung der Jugend an Europa,Konrad-Adenauer-Platz – Bertoldstraße – Kaiser-Joseph-Straße – Martinstor – Gerberau - Augustinerplatz
182.0,2016-12-05 00:00:00,Trauer-/Gedenkfeier,Geburtstag des verstorbenen Königs Bhumibol,Münterplatz
183.0,2016-11-26 00:00:00,dem. Aktion,Bekleidung,Kaiser-Josef-Straße 
184.0,2016-12-09 00:00:00,dem. Aktion,Veganismus,westlicher Geweg der Kaiser-Joseph-Straße im Bereich Drogeriemarkt Müller
185.0,2016-12-03 00:00:00,dem. Aktion,Freiheit für Öcalan,"Aufstellung:  Augustinerplatz, Auftaktkundgebung

Wegstrecke:  Augustinerplatz – Herrenstraße – Auf der Zinnen – Kaiser-Joseph-Straße – Bertoldsbrunnen, dort Zwischenkundgebung  – Martinstor – Gerberau –  Augustinerplatz, dort  Abschlusskundgebung und Auflösung."
186.0,2016-12-04 00:00:00,dem. Aktion,Mahnwache für die verstorbene Maria L. ,Münsterplatz
,2016-12-04 00:00:00,dem. Aktion,"Nazis bekämpfen, gemeinsam und entschlossen !",Oberlinden und Münsterplatz
187.0,2016-12-05 00:00:00,dem. Aktion,Es ist uns keine Ehre !,Nähe Rathausplatz
188.0,2016-12-08 00:00:00,dem. Aktion,Mahnwache von Geflüchteten aus Afghanistan für die ermordete Studentin,Bertoldsbrunnen vor WMF Geschäft
189.0,"10.12.2016, 14.01.2017, 11.02.2017 und 11.03.2017",dem. Aktion,Angorawolle,"KaJo, vor Galeria Kaufhof"
190.0,2016-12-10 00:00:00,dem. Aktion,Ernährung (veganes Weihnachtsesssen),Augustinerplatz
191.0,2016-12-10 00:00:00,Mahnwache,Sofortiger Stopp der Luftangriffe du Schutz der syrschen Zivilbevölkerung,Bertoldsbrunnen
192.0,2016-12-10 00:00:00,dem. Aktion,Soldarität mit der indigenen Bevölkerung North Dakotas,Augustinerplatz
193.0,2016-12-11 00:00:00,dem. Aktion,Raubt ihr uns die Räume-rauben wir euch den Schlaf !,Oberlinden - Bertoldstraße - Rempartstraße - Gartenstraße
194.0,2016-12-17 00:00:00,dem. Aktion,Freiheit für Öcalan - Freiheit für die kurdische Bewegung,"Wegstrecke:  Augustinerplatz – Herrenstraße – Auf der Zinnen – Kaiser-Joseph-Straße – Bertoldsbrunnen, dort Zwischenkundgebung  – Martinstor – Gerberau –  Augustinerplatz, dort  Abschlusskundgebung und Auflösung."
195.0,2016-12-20 00:00:00,dem. Aktion,"Wir nehmen uns die Straße, Wir nehmen uns die Nacht!",Augustinerplatz
196.0,2016-12-17 00:00:00,dem. Aktion,Frieden,"Wendeschleife Rotteckring, Höhe Revier-Nrod - Bertoldstraße – Kaiser-Joseph-Straße – Martinstor - Gerberau – Augustinerplatz"
197.0,2016-12-15 00:00:00,dem. Aktion,gegen Krieg - für Aleppo,Augustinerplatz-Salzstr.-Herrenstr.-Auf der Zinnen-Kajo-Gerberau-Augustinerplatz
198.0,2016-12-17 00:00:00,dem. Aktion,Massaker in Aleppo,Rotteckring
199.0,2106-12-31 00:00:00,dem. Aktion,Anti-Knast-Kundgebung,Hermann-Herder-Str. 8
200.0,2016-12-23 00:00:00,dem. Aktion,Sofortiger Zugang von humanitärer Hilfe in die belagerten Gebiete Syriens & Sicherheitsgewährleistung der Menschen,Bertoldsbrunnen
201.0,2016-12-28 00:00:00,dem. Aktion,Dem Mord in Robezke gedenken,Rathausplatz-Kajo-Gerberau-Augustinerplatz-Salzstr.-Kajo-Rathausgasse-Rathausplatz
