Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke
182.0,2015-11-06 00:00:00,dem. Aktion mit Aufzug,Herr Dündar,Kajo - Auf der Zinnen - Herrenstr. - Salzstr. - Kajo - Schiffstr. - Kartoffelmarkt
183.0,2015-11-08 00:00:00,dem. Aktion,Gegen Korruption in Rumänien,Augustinerplatz
184.0,2015-11-12 00:00:00,dem Aktion ,Friedensprozess in der Türkei,Rathausplatz
185.0,2015-11-13 00:00:00,dem. Aktion mit Aufzug,Tierschutz - gegen Massentiehaltung,Kaiser-Joseph-Straße Bertoldsbrunnen - Kaiser-Joseph-Straße Gerberau - Augustinerplatz zurück bis Bertoldsbrunnen
186.0,2015-11-14 00:00:00,dem. Aktion mit Aufzug,Aktuelle Politik in der Türkei,Karlsplatz - Herrenstraße - Schusterstraße - Kaiser-Joseph-Straße - Auf der Zinnen - Karlsplatz
187.0,2015-11-28 00:00:00,dem. Aktion mit Aufzug,Klimagerechtigtkeit (UN-Klimagipfel in Paris),Sternmarsch zum Platz der Universität - Rotteckring - Eisenbahnstraße - Bismarckallee - Wiwili-Brücke - Stühlinger Kirchplatz
188.0,2015-11-20 00:00:00,dem. Aktion,International Transgender - Rmemberance Day,Bertoldsbrunnen
189.0,2015-11-25 00:00:00,dem. Aktion mit Aufzug,"Internationaler Tag, Nein zur Gewalt an Frauen und Mädchen","Augustinerplatz- Gerberau - KaJo - Regierungspräsidium, Kundegung und wieder zurück - Bertoldstraße - Perterhof, Niemensstraße 10 - Kundgebung und Auflösung"
190.0,2015-11-27 00:00:00,dem. Aktion mit Aufzug,"Für eine starke demokratische Bewegung in Europa, Syrien und der Türkei","Konrad-Adenauer-Platz – kleine Bismarckallee – Eisenbahnstraße – Rotteckring – Fahnenbergplatz – Friedrichring – Kajo, im nördlichen Bereich eine Kundgebung – Bertoldstraße – Werthmannstraße, zwi-schen Theater und Platz der Alten Synagoge, Kundgebung und Auflö-sung

"
191.0,2015-12-05 00:00:00,dem. Akition,gegen Tiertransport/Massentierhaltung,Bertoldsbrunnen
192.0,2015-11-30 00:00:00,dem. Aktion,Cities für Life-Tag gegen die Todesstrafe,Bertoldsbrunnen
193.0,2015-12-04 00:00:00,dem. Aktion,Frieden für Syrien,Bertoldsbrunnen
194.0,2015-12-02 00:00:00,dem. Aktion mit Aufzug,Gedenken an die IS-Opfer von Paris und anderen Ländern,"Lessing Realschule/Vorplatz Johanneskirche, Lessingstr.1 – über die Dreisambrücke (Kaiserbrücke) – Kaiser-Joseph-Straße – Martinstor – Kaiser-Joseph-Straße – Bertoldstraße – Werthmannstraße zwischen Theater und Platz der Alten Synagoge"
195.0,2015-12-03 00:00:00,dem Aktion,nein zum Syrien-Krieg,Bertoldsbrunnen
196.0,2015-12-12 00:00:00,dem Aktion,Verfolgung v. Falun Dafa u. Falun Gong in China,Bertoldsbrunnen
197.0,2015-12-05 00:00:00,dem. Aktion mit Aufzug,"Klimawandel, Anlass COP 21/ Motto: Wir tragen unsere Erde zu Grabe""",Karlsplatz - auf der Zinnen - Kaiser-Joseph-Straße - Bertoldstraße - Werthmannstraße - Platz vor der UB
198.0,2015-12-10 00:00:00,dem. Aktion,Tag der Menschenrechte,Bertoldsbrunnen
199.0,2015-12-12 00:00:00,dem. Aktion,Pflege am Boden,Ecke Kaiser-Joseph-Straße/Schusterstraße
200.0,2015-12-12 00:00:00,dem. Aktion,Mindestsicherung statt Hartz 4,"Fritz-Schieler-Platz, Bereich Krozinger Straße"
201.0,2015-12-12 00:00:00,dem. Aktion,Tierschutz/gegen Massentierhaltung,Gehweg der Kaiser-Joseph-Straße
202.0,2015-12-12 00:00:00,dem. Aktion,Ehebruch ist Sünde,Augustinerplatz
203.0,2015-12-15 00:00:00,dem. Aktion,Staatsterrorismus der Türkei heißt Gefahr erneuter Massaker und Kriegsverbrehcen an der kurdischen Bevölkerung,"Konrad-Adenauer-Platz – kleine Bismarckallee – Eisenbahnstraße – Rotteckring – Fahnenbergplatz – Friedrichring – Kajo, im nördlichen Bereich eine Kundgebung – Bertoldstraße – Werthmannstraße, zwi-schen Theater und Platz der Alten Synagoge, Kundgebung und Auflö-sung

"
204.0,2015-12-17 00:00:00,dem. Aktion mit Aufzug,Für Frieden - gegen den Bundeswehreinsatz in Syrien,Augustinerplatz - Gerberau - KaJo - Martinstor - Bertoldsbrunnen - Bertoldstraße - Werthmannstraße zw. Theatervorplatz u. Platz der Alten Synagoge
205.0,2015-12-31 00:00:00,dem. Aktion,für einen Gesellschaft ohne Knäste,JVA Freiburg
206.0,2015-12-18 00:00:00,dem. Aktion mit Aufzug,"Gegen Gewalttaten durch türkisches Militär und türkischer Polizei an der kurdischen Bevölkerung, für die Selbstverwaltung in kurdi-schen Gebieten

","Konrad-Adenauer-Platz, Kundgebung – kleine Bismarckallee – Eisen-bahnstraße – Rotteckring – Fahnenbergplatz – Friedrichring – Kajo – Bertoldsbrunnen, Kundgebung –  Bertoldstraße – Werthmannstraße, zwischen Theater und Platz der Alten Synagoge, Kundgebung und Auflösung"
207.0,2015-12-19 00:00:00,dem. Aktion ,Human Chain Freiburg (für den Frieden und en Schutz der syrischen Zivilisten),Augustinerplatz
208.0,2015-12-22 00:00:00,dem. Aktion,Anti - Pelz,Kaiser-Joseph-Straße
209.0,2015-12-19 00:00:00,dem. Aktion,Islamisierung stoppen - Alkoholverbot aufheben,Am Bertoldsbrunnen
210.0,2015-12-23 00:00:00,dem. Aktion,"Schluss mit den Gewalttaten an der kurdischen Bevölkerung, stärkt die Selbstverwaltung",Einmündung Ecke Kaiser-Joseph-Straße/Engelstraße
211.0,2015-12-23 00:00:00,dem. Aktion,Die türkische Regierung führt Krieg gegen die kurdische Bevölkerung - die EU schaut zu.Stoppt den Krieg in der Türkei,"

Konrad-Adenauer-Platz – kleine Bismarckallee – Eisenbahnstraße – Rotteckring – Fahnenbergplatz – Friedrichring – Kajo, im nördlichen Bereich eine Kundgebung – Bertoldstraße – Werthmannstraße, zwi-schen Theater und Platz der Alten Synagoge, Kundgebung und Auflö-sung

"
212.0,"30.12.2015, 02.01.2016",dem. Aktion,"Schluss mit den Gewalttaten an der kurdischen Bevölkerung, stärkt die Selbstverwaltung",Ecke Kajo/Engelstraße
