Nr.,Anmeldedat.,Art,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
107,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-25 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
108,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-26 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
109,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-27 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
110,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-28 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
111,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-29 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
112,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-30 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
113,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-07-31 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
114,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-01 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
115,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-02 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
116,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-03 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
117,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-04 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
118,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-05 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
119,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-06 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
120,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-07 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
121,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-08 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
122,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-09 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
123,2018-07-06,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2017,2018-08-10 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5-20
