Nr.,Anmeldedat.,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
316,2016-07-28 00:00:00,Antipegida Kundgebung: Keinen Fußbreit der Pegida DU,2016-09-12,18:00-22:00,"Stadtmitte, Hauptbahnhof, Porthmouth- Platz Bahnhofsplatte, über die Königstrasse, Düsseldorfer, Sonnenwall zurück über die Königstraße, 18:30 - 19:00 DU Hbf Bahnhofvorplatz (wie immer)",100-300
317,2016-07-28 00:00:00,Antipegida Kundgebung: Keinen Fußbreit der Pegida DU,2016-09-19,18:00-22:00,DU-Stadtmitte; Portsmouthplatz,100-300
318,2016-07-28 00:00:00,Antipegida Kundgebung: Keinen Fußbreit der Pegida DU,2016-09-26,18:00-22:00,DU-Stadtmitte; Portsmouthplatz,100-300
319,2016-07-28 00:00:00,Antipegida Kundgebung: Keinen Fußbreit der Pegida DU,2016-10-03,18:00-22:00,DU-Stadtmitte; Portsmouthplatz,100-300
320,2016-07-28 00:00:00,Antipegida Kundgebung: Keinen Fußbreit der Pegida DU,2016-10-10,18:00-22:00,DU-Stadtmitte; Portsmouthplatz,100-300
321,2016-07-28 00:00:00,Antipegida Kundgebung: Keinen Fußbreit der Pegida DU,2016-10-17,18:00-22:00,DU-Stadtmitte; Portsmouthplatz,100-300
322,2016-07-28 00:00:00,Antipegida Kundgebung: Keinen Fußbreit der Pegida DU,2016-10-24,18:00-22:00,DU-Stadtmitte; Portsmouthplatz,100-300
323,2016-08-01 00:00:00,2. Jahrestag der Verschleppung und Ermordung jesidischer Frauen durch den IS,2016-08-03,17:00 - 18:00,Duisburg Innenstadt vor dem Forum,10 - 15
324,2016-08-02 00:00:00,Gegen den Terror in der Weld - für unsere Kinder und Enkelkinder,2016-08-06,17:00  - 20:00,"Duisburg Rheinhausen, zwischen Moerser Str. und Margarethenstr.",20 - 50
325,2016-08-02 00:00:00,Zirkus mit Tieren ist Tierquälerei,2016-08-06,15:00-16:00,"Duisburg-Wanheim, Am Honnenpfad vor Zirkus Traber",25
