Nr.,Anzeigedat.,Art,Thema,"Wochen-
tag",Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
85,2022-03-01 00:00:00,K,Für den Frieden in der Ukraine - gegen Putins Krieg,2022-03-05 00:00:00,2022-03-05,,Dellplatz,800-1000
86,2022-03-01 00:00:00,A (K),Friedendemo,2022-03-03 00:00:00,2022-03-03,18:00 - 20:00,Burgplatz - Oberstraße - Stapeltor - Kardinal-Galen-Straße - Moselstraße - König-Heinrich-Platz,1000+
87,2022-02-26 00:00:00,K,Tierrechte Veganismus,2022-03-11 00:00:00,2022-03-11,17:00 - 20:00,"Königstraße 48, vor dem Forum Duisburg",10-25
88,2022-02-26 00:00:00,K,Tierrechte Veganismus,2022-03-26 00:00:00,2022-03-26,14:00 - 17:00,"Königstraße 48, vor dem Forum Duisburg",10-25
89,2022-03-04 00:00:00,K,Gegen die Tierhaltung des Circus Probst,2022-03-27 00:00:00,2022-03-27,14:30 - 16:00,gegenüber der Kasse des Circus Probst (Alfrediplatz/Vorplatz MSV-Arena) in 47055 Duisburg ,< 10
90,2022-03-04 00:00:00,A (K),Friedensmarsch,2022-03-09 00:00:00,2022-03-09,12:00 - 14:00,Schulhof Gesamtschule Walsum - Kometenplatz unterer Teil,ca. 1.300
91,2022-03-06 00:00:00,K,Gegen jede imperialistische Agression - Kampf der Weltkrieggefahr,2022-03-14 00:00:00,2022-03-14,17:30 - 19:30,Forum König Heinrichplatz. / Königstrasse,50-100
92,2022-03-06 00:00:00,K,Gegen jede imperialistische Agression - Kampf der Weltkrieggefahr,2022-03-21 00:00:00,2022-03-21,17:30 - 19:30,Forum König Heinrichplatz. / Königstrasse,50-100
93,2022-03-06 00:00:00,K,Gegen jede imperialistische Agression - Kampf der Weltkrieggefahr,2022-03-28 00:00:00,2022-03-28,17:30 - 19:30,Forum König Heinrichplatz. / Königstrasse,50-100
94,2022-03-07 00:00:00,A (K),Friedenkundgebung anlsässlich der Russland-Ukraine-Krise,2022-03-10 00:00:00,2022-03-10,12:00 - 13:00,"Schulhof der Heinrich-Keine-Gesamtschule / Schulhof des Krupp-Gymnasiums; Menschenkette Flutweg, Kreuzacker, in den Pesche,; Anschlusskundgebung Heinrich-Keine-Gesamtschule / Schulhof des Krupp-Gymnasiums",1.750
95,2022-03-08 00:00:00,A (K),Frieden für die Ukraine,2022-03-14 00:00:00,2022-03-14,12:30 - 14:30,Portsmouthplatz - Mercatorstraße - Saarstraße - Landfermannstraße - König-Heinrich-Platz,1.200
96,2022-03-08 00:00:00,M,In Gedenken an den Krieg zwischen der Russischen Förderation und der Ukraine,2022-03-11 00:00:00,2022-03-11,16:00 - 18:00,"König-Heinrich-Platz, Königstraße, Innenstadt Duisburg (vor den Forum)",10
97,2022-03-08 00:00:00,A (K),"KIDICAL MASS, ""Kinder aufs Rad""
Fahrraddemo für und mit Kindern und Jugendlichen",2022-09-25 00:00:00,2022-09-25,15:00 - 17:00,"Portsmouthplatz - Friedrich-Wilhelm-Straße - Steinsche Gasse -  Poststraße - Burgplatz - Poststraße - Gutenbergstraße - Köhnenstraße, Friedrich-Albert-Lange-Platz - Opernplatz - König-Heinrich-Platz -Königstraße - Tonhallenstraße - Kantpark",300
98,2022-03-10 00:00:00,A (K),Friedensdemo Duisburg Ukraine Krieg,2022-03-12 00:00:00,2022-03-12,14:00 - 17:30,Ludgerinplatz - Oststraße - Bismarckstraße -  Memelstraße - Mühlheimer Str. - Landfermann Tunnel - Landfermannstr. - Königstraße - Gutenbergstraße - Burgplatz am Rathaus,1000 - 4000
99,2022-03-10 00:00:00,M,15 Minuten für den Frieden; Anlass: Ukraine-Konflikt,2022-03-16 00:00:00,2022-03-16,18:00 - 18:15,"Walsum, Kometenplatz",200
100,2022-03-13 00:00:00,K,PKK von der EU-Terrorliste streichen,2022-03-16 00:00:00,2022-03-16,15:00 - 18:00,vor den Schwebenden Gärten,20
101,2022-03-15 00:00:00,K,Kurdische Neujahrsfest Newroz,2022-03-21 00:00:00,2022-03-21,16:00 - 20:00,August-Bebel-Platz vor Media-Markt,200
102,2022-03-14 00:00:00,A (K),Keine zusätzliche Auskiesung in Duisburg Homberg Streichung aus dem Regionalplan Entwurf!,2022-03-20 00:00:00,2022-03-20,14:00 - 15:30,"Beginn Kreizung Dammstraße hinter dem PCC Stadion (siehe Anhang zur E-Mail) Laufweg: Auf dem Damm bis zur Hubbrücke 
ggf. auch auf dem Deich in Richtung Parkplatz Rheindeich an den bereits vorhandenen Auskiesungen vorbei, bei denen bisher keine Renaturierung vorgenommen wurde",20-25
103,2022-03-15 00:00:00,A (K),Demonstration für den Weltfrieden - Reaktion auf den völkerrechtswidrigen Angriff auf die Ukraine,2022-03-25 00:00:00,2022-03-25,18:00 - 20.30,Rheinhauser Markt - Duisburger Straße - Moerser Straße,500 - 1.000
104,2022-04-26 00:00:00,K,“Von hier an Zukunft” Kundgebung zur Landtagswahl NRW 2022 mit der GRÜNEN Spitzenkandidatin Mona Neubaur,2022-05-11 00:00:00,2022-05-11,14:00 - 19:00,"König-Heinrich-Platz, 47051 Duisburg
Vor dem Amtsgericht.",250
105,2022-03-17 00:00:00,M,Titel: 15 Minuten für den Frieden; Anlass: Ukraine-Konflikt,2022-03-23 00:00:00,2022-03-23,18:00 - 18:15,"Walsum, Kometenplatz",200
106,2022-03-17 00:00:00,K,"Wir machen aufmerksam auf Hausverbote gegen Mitmenschen mit med. gültiger Maskenbefreieung, sowie deren Ausschluß vom Lebensmitteleinkauf",2022-03-26 00:00:00,2022-03-26,12:00 - 13:00,"Vor dem Eingang, Forum Duisburg, Königstraße 48, 47051 Duisburg",10
107,2022-03-18 00:00:00,K,Tag der Sichtbarkeit von transgeschlechtlichen Personen,2022-03-31 00:00:00,2022-03-31,16:30 - 18:00,auf der Königstraße vor dem Forum/ vor den Wiesen auf Höhe von Starbucks in der Duisburger Innenstadt,10-15
108,2022-03-18 00:00:00,A,"Friedenslauf ""European Peace Run"" mit Demo - Frieden für die Ukraine",2022-04-01 00:00:00,2022-04-01,10:30 - 13:30,Sammelplatz auf dem Schulhofsgelände; Umzug über die Dahlmannstraße (beginnend vor dem Berufskolleg!) bis zur Roonstraße (nur der Teil der Sackgasse); am Ende über den Schulhof und wieder über die Dahlmannstraße; ca. 500 m,1.500
109,2022-03-18 00:00:00,K,Keine Osttangente! Für eine echte Verkehrswende!,2022-03-30 00:00:00,2022-03-30,17:00 - 18:30,Duisburg Rheinhausen auf dem Hochemmericher Markt (Autoverkehrsfreie Fläche),200
110,2022-03-22 00:00:00,K,BassGegenHass Gegen Krieg und für Frieden auf der Welt,2022-04-02 00:00:00,2022-04-02,14:00 - 21:00,Rheinpark Duisburg Hochfeld/ alternativ: Meiderich Stadtpark,150
111,2022-03-21 00:00:00,A (K),Elly against War,2022-04-07 00:00:00,2022-04-07,10:00 - 12:30,Startt: Schulhof des Elly-Heuss-Knapp-Gymnasiums,1000
112,2022-03-23 00:00:00,K,Gegen die wachsende Kriegsgefahr die die Welt an den Abgrund führt! Stoppt die „Querdenker“ und den fahrlässigen Umgang mit der Gesundheit aller! ,2022-03-28 00:00:00,2022-03-28,17:30 bis 19:00,"Königstraße, Lifesaver Brunnen (Duisburg Zentrum)",30-40
113,2022-03-23 00:00:00,K,Gegen die wachsende Kriegsgefahr die die Welt an den Abgrund führt! Stoppt die „Querdenker“ und den fahrlässigen Umgang mit der Gesundheit aller! ,2022-04-04 00:00:00,2022-04-04,17:30 bis 19:00,"Königstraße, Lifesaver Brunnen (Duisburg Zentrum)",30 - 40
114,2022-04-07 00:00:00,K,Gegen die wachsende Kriegsgefahr die die Welt an den Abgrund führt! Stoppt die „Querdenker“ und den fahrlässigen Umgang mit der Gesundheit aller!,2022-04-11 00:00:00,2022-04-11,17:30 - 19:00,"Königstraße, Lifesaver Brunnen (Duisburg Zentrum)",30-40
115,2022-03-23 00:00:00,K,Gegen die wachsende Kriegsgefahr die die Welt an den Abgrund führt! Stoppt die „Querdenker“ und den fahrlässigen Umgang mit der Gesundheit aller!,2022-04-18 00:00:00,2022-04-18,17:30 bis 19:00,"Königstraße, Lifesaver Brunnen (Duisburg Zentrum)",30-40
116,2022-04-07 00:00:00,K,Gegen die wachsende Kriegsgefahr die die Welt an den Abgrund führt! Stoppt die „Querdenker“ und den fahrlässigen Umgang mit der Gesundheit aller!,2022-04-25 00:00:00,2022-04-25,17:30 bis 19:00,"Königstraße, Lifesaver Brunnen (Duisburg Zentrum)",30-40
117,2022-03-23 00:00:00,K,Kritik an Missständen in der Massentierhaltung,2022-03-28 00:00:00,2022-03-28,18:00 bis 19:30,"Kreuzung Sternbuschweg, Koloniestraße (Duisburg-Neudorf)",10
118,2022-03-24 00:00:00,K,PKK von der EU-Terrorliste streichen,2022-03-26 00:00:00,2022-03-26,12:00 - 15:00,"vor den ""Schwebenden Gärten""",15
119,2022-03-23 00:00:00,A (K),Freilassung von Abdullah Öcalan,2022-04-02 00:00:00,2022-04-02,15:00 - 19:30,Portsmouthplatz / HBF-Vorplatz (Auftaktkundgebung) - Fr-Wilhelm-Str. - Fr.-Wilhelm-Platz - Steinsche Gasse - Poststr. - Gutenbergstr. - Köhnenstr. - Landfermannstr. - Saarstr. - Mercatortstr. - Portsmouthplatz (Abschlusskundgebung),40 - 60
120,2022-03-24 00:00:00,K,Gegen die Osttangente,2022-03-31 00:00:00,2022-03-31,14:30 - 15:00,vor der Mercatorhalle,4-10
121,2022-03-24 00:00:00,M,15 Minuten für den Frieden; Anlass: Ukraine-Konflikt,2022-03-30 00:00:00,2022-03-30,18:00 - 18:15,"Walsum, Kometenplatz",150
122,2022-03-25 00:00:00,M,15 Minuten für den Frieden; Anlass: Ukraine-Konflikt,2022-04-06 00:00:00,2022-04-06,18:00 - 18:15,"Walsum, Kometenplatz",150
123,2022-03-25 00:00:00,M,15 Minuten für den Frieden; Anlass: Ukraine-Konflikt,2022-04-13 00:00:00,2022-04-13,18:00 - 18:15,"Walsum, Kometenplatz",150
124,2022-03-25 00:00:00,M,15 Minuten für den Frieden; Anlass: Ukraine-Konflikt,2022-04-20 00:00:00,2022-04-20,18:00 - 18:15,"Walsum, Kometenplatz",150
125,2022-03-25 00:00:00,M,15 Minuten für den Frieden; Anlass: Ukraine-Konflikt,2022-04-27 00:00:00,2022-04-27,18:00 - 18:15,"Walsum, Kometenplatz",150
126,2022-03-25 00:00:00,K,Baustelle Bildung,2022-04-28 00:00:00,2022-04-28,15:30 - 16:30,"Lifesaver-Brunnen, Königstraße 13, 47051 Duisburg",50
127,2022-03-26 00:00:00,K,Ratssitzung Rat der Stadt Duisburg u.a. Protest gegen die geplante Osttangente,2022-03-31 00:00:00,2022-03-31,14:00 - 15:30,"Philharmonie - Mercatorhalle Duisburg, Landfermannstraße 6, 47051 Duisburg/ Eingang am König-Heinrich-Platz",20 - 50
128,2022-03-26 00:00:00,K,Wo sind die Wurzeln unserer christlichen Grundwerte?,2022-04-09 00:00:00,2022-04-09,11:00 - 15:00,Portsmouthplatz / Hbf-Vorplatz ,20
129,2022-03-26 00:00:00,M (K),Unsere Solidarität gegen ihre Repressionen,2022-04-01 00:00:00,2022-04-01,08:30 - 14:00,"Platz vor dem Amtsgericht, König-Heinricht-Platz 1, 47058 Duisburg",40
130,2022-03-25 00:00:00,A (K),Freie Impfentscheidung,2022-04-06 00:00:00,2022-04-06,16:30 - 19:00,Rheinhausen Markt Hochemmerich - Duisburger Straße - Krefelder Straße - Friedrich-Alfred-Straße - Günterstraße - Hildegardstraße - Krefelderstraße - Friedrich-Ebert-Straße - Schwarzenberger Straße - Schillerstraße - Bürgerhaus Rheinhausen - Schillerstraße - Schwarzenberger Str. - Paulstraße - Schulstraße - Elisabethstraße - Friedrich-Alfred-Straße - Schwarzenberger Str. - Atroper Str. - Gillhausenstraße - Marktplatz Hochemmerich,10 - 30
131,2022-03-28 00:00:00,,Gedenkveranstaltung zum Volkstrauertag 2022,2022-11-13 00:00:00,2022-11-13,14:00:00,"Waldfriedhof Duisburg-Wanheimerort, Düsseldorfer Straße 601, 47055 Duisburg",
132,2022-03-28 00:00:00,K,Tierrechte Veganismus,2022-04-01 00:00:00,2022-04-01,17:00 - 20:00,"Königstraße 48, vor dem Forum Duisburg",10 - 25
133,2022-03-28 00:00:00,K,Tierrechte Veganismus,2022-04-08 00:00:00,2022-04-08,17:00 - 20:00,Königstraße / Düsseldorfer Straße (Life Saver Brunnen) ,10 - 25
134,2022-03-28 00:00:00,K,Tierrechte Veganismus,2022-04-23 00:00:00,2022-04-23,15:00 - 18:00,"Königstraße 48, vor dem Forum Duisburg",10 - 25
135,2022-03-29 00:00:00,M,Freilassung von Julian Assange,2022-04-02 00:00:00,2022-04-02,15:00 - 17:00,"Altstadtpark, Garten der Erinnerung/ Innenhafen Höhe Ludwig Forum, 47051 Duisburg",10
136,2022-03-29 00:00:00,K,Frieden im Herzen/ Gegen Hass und Gewalt für Frieden und Nächstenliebe,2022-04-07 00:00:00,2022-04-07,14:00 - 18:00,"August-Bebel-Platz, Duisburg-Marxloh",20
137,2022-03-31 00:00:00,A (K),Demo anlässlich der anstehenden Landtagswahlen,2022-05-06 00:00:00,2022-05-06,16:00 - 19:00,Königstr. (Sammelort) - Königstr. - Kuhtor - Kuhstr. - Poststr. -Gutenbergstr. - Köhnenstr. - Landfermannstr. - Saarstr. - Mercatorstr. - Friedrich-Wilhelm-Str. - Friedrich-Wilhelm-Platz - Sonnenwall - Kuhtor - Königstr. - Königsstraße (Ende),500
138,2022-03-31 00:00:00,A (K),Demo anlässlich der Public Climate School,2022-05-20 00:00:00,2022-05-20,17:00 - 19:30,Auftaktkundgebung: Königstr. (vor dem Forum) - Königstr. - Kuhtor - Kuhstr. - Poststr. - Gutenbergstr. - Köhnenstr. - Landfermannstr. - Mühlheimer Str. - Lotharstr. - Abschlusskundgebung: vor der Universitätsbibliothek,200
139,2022-04-04 00:00:00,A (K),Tarifrunde öffentlicher Dienst,2022-04-07 00:00:00,2022-04-07,09:00 -12:30,Ludgeriplatz – Klöcknerstraße – Neudorfer Straße – Mülheimer Straße – Landfermannstraße – Friedrich-Albert-Lange-Platz – Köhnenstraße – Gutenbergstraße – Obermauerstraße – Kuhtor – Kuhstraße – Kuhstraße Höhe Hausnummer 6 – Kuhstraße – Kuhtor – Obermauerstraße – Gutenbergstraße – Poststraße – Oberstraße – Stapeltor – Stapeltor Höhe Hausnummer 17,350-400
140,2022-04-05 00:00:00,K,"Hoffnung durch Glaube, Gegen Hass und Gewalt für Freiden und Nächstenliebe",2022-04-29 00:00:00,2022-04-29,15:00 - 20:00,"Duisburg-Marxloh, August-Bebel-Platz",ca. 10
141,2022-04-05 00:00:00,K,"Hoffnung durch Glaube, Gegen Hass und Gewalt für Freiden und Nächstenliebe",2022-04-30 00:00:00,2022-04-30,15:00 - 20:00,"Duisburg-Marxloh, August-Bebel-Platz",ca. 10
142,2022-04-05 00:00:00,K,"Hoffnung durch Glaube, Gegen Hass und Gewalt für Freiden und Nächstenliebe",2022-05-02 00:00:00,2022-05-02,15:00 - 20:00,"Duisburg-Marxloh, August-Bebel-Platz",ca. 10
143,2022-04-05 00:00:00,K,"Hoffnung durch Glaube, Gegen Hass und Gewalt für Freiden und Nächstenliebe",2022-05-03 00:00:00,2022-05-03,15:00 - 20:00,"Duisburg-Marxloh, August-Bebel-Platz",ca. 10
144,2022-04-05 00:00:00,K,"Hoffnung durch Glaube, Gegen Hass und Gewalt für Freiden und Nächstenliebe",2022-05-04 00:00:00,2022-05-04,14:00 - 19:00,"Duisburg-Marxloh, August-Bebel-Platz",ca. 10
145,2022-04-04 00:00:00,A (K),Ride of Silence,2022-05-18 00:00:00,2022-05-18,19:00 - 21:00,"Duisburg, Königsstr., Life-Saver-Brunnen
Königstr., Kuhstr., Schwanenstr., Schwanentor, Ruhrorter Str., Hafenstr. bis Verteilerkreis und zurück bis Königstr.",50
146,2022-03-28 00:00:00,A (K),Arbeiter:innenrechte,2022-04-30 00:00:00,2022-04-30,18:00 - 22:00,Ludgeriplatz Ludgeristraße Mülheimer Straße Landfermannstraße Saarstraße Mercatorstraße Friedrich-Wilhelm-Straße Friedrich Wilhelm Platz Sonnenwall Musfeldstraße Friedenstraße Heerstraße Wanheimer Straße Karl Jarres Straße links in den Böninger Park im Eingangsbereich Abschlusskundgebung ,50-150
147,2022-04-04 00:00:00,A (K),Ostermarsch,2022-04-16 00:00:00,2022-04-16,13:00 - 14:30,Treffen an der Liebfrauenkriche - Aufzug durch die Fußgängerzone - Steinsche Gasse - zurück zum Bahnhof - Rückkehr zum Forum,120-150
148,2022-04-05 00:00:00,A (K),Gedenken an Internationalist:innen,2022-06-18 00:00:00,2022-06-18,13:00 - 14:30,"
Portsmouthplatz - Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz -  Steinsche Gasse - Poststraße - Flachsmarkt - Platz zwischen der Karmel Kirche und dem Kultur-und Stadthistorischen Museum (ohne Abschlusskundgebung)",150-200
149,2022-04-06 00:00:00,K,"Krieg in der Ukraine, Solidaritätsveranstaltung durch Stellen eines Peace-Zeichens",2022-04-08 00:00:00,2022-04-08,10:15 - 11:00,"47179 Duisburg-Walsum, Waldstraße, nur Wendehammer am Ende",ca. 250
150,2022-04-06 00:00:00,A (K),Elly against War,2022-04-26 00:00:00,2022-04-26,10:00 - 12:30,Startt: Schulhof des Elly-Heuss-Knapp-Gymnasiums,1000
151,2022-04-07 00:00:00,K,Gegen die wachsende Kriegsgefahr die die Welt an den Abgrund führt! Stoppt die „Querdenker“ und den fahrlässigen Umgang mit der Gesundheit aller!,2022-05-09 00:00:00,2022-05-09,17:30 - 19:00,"Königstraße, Lifesaver Brunnen (Duisburg Zentrum)",30-40
152,2022-04-08 00:00:00,K,Zentrale Landtagswahlkundgebung Duisburg,2022-04-20 00:00:00,2022-04-20,15:30 - 19:30,"am Schiffsmaskenbrunnen; Königstraße(Kuhlenwall/Sonnenwall, Innenstadt",ca. 100-200
153,2022-04-08 00:00:00,K,"Kundgebung zum Thema ""Steigende Mieten""",2022-05-05 00:00:00,2022-05-05,14:30 - 18:30,"Portsmouthplatz, Haupteingang Höhe McDonalds und IBIS Hotel",ca. 10-20
154,2022-04-08 00:00:00,A (K),Dyke* Mach: Aktion zum Tag der Lesbischen Sichtbarkeit,2022-04-23 00:00:00,2022-04-23,15:00 -17:30,Auftaktkundgebung Portsmouthplatz - Friedrich-Wilhelm-Str. - Sonnenwall - Königsstraße - Am Burgacker - Junkernstr. - Fuldastr. - Neckarstr. - Kardinal-Galen-Str. - Mainstr. - Landfermannstr. - König-Heinrich-Platz - Endkundgebung auf KH Platz vor Forum,50
155,2022-04-08 00:00:00,A (K),Osterprozession,2022-04-22 00:00:00,2022-04-22,19:30 - 20:30,Johanniterstraße,400 - 600
156,2022-04-12 00:00:00,A (K),8. Mai Tag der Befreiung vom Faschismus,2022-05-08 00:00:00,2022-05-08,14:00 - 17:00,"Ludgeriplatz, Kettenstraße, Bismarckstraße, Kammerstraße, Landfermannstraße, Königstraße 48 (König Heinrich Platz",ca. 100
157,2022-04-13 00:00:00,K,Krieg in der Ukraine. ,2022-04-21 00:00:00,2022-04-21,15:00 - 17:00,auf der Von-der-Mark-Straße vor dem dm-Drogeriemarkt (Von-der-Mark-Str. 79) in Duisburg Meiderich,10-15
158,2022-04-19 00:00:00,K,Bombardierung von Kurdistan durch die türkische Armee und ihre Verbündeten,2022-04-21 00:00:00,2022-04-21,16:00 - 18:00,vor dem Hauptbahnhof,40
159,2022-04-20 00:00:00,K,"Corona Information
Bildergalerie in der Fusgängerzone",2022-05-03 00:00:00,2022-05-03,09:00 - 18:00,"47051 Duisburg Königstr 46, Platz zwischen den Bäumen, siehe Bild",10_30
160,2022-04-22 00:00:00,K,Gegen Krieg - Jürgen Todenhöfer berichtet über den Ukraine-Krieg und bezieht Stellung,2022-04-29 00:00:00,2022-04-29,15:00 - 22:00,"Kuhtor/Kuhlenwall, am Schiffsmaskenbrunnen",200
161,2022-04-24 00:00:00,M,Der Angriffskrieg der Türkei gegen die kurd. Freiheitsbewegung in Südkurdistan. (Nordirak),2022-04-28 00:00:00,2022-04-28,17:00 - 20:00,"Königstraße, ""Schwebende Gärten""",ca. 20
162,2022-04-23 00:00:00,K,"1. Mai 2022 -Stoppt die
imperialistischen Kriege - weltweit!",2022-05-01 00:00:00,2022-05-01,14:00 - 15:30,"Duisburg
Zentrum, Königstr. / Kuhtor",50-70
163,2022-04-12 00:00:00,A (K),"KIDICAL MASS, Kinder aus Rad. Fahrraddemo mit und für Kinder und Jugendliche",2022-05-15 00:00:00,2022-05-15,15:00 - 17:00,Portsmouthplatz - Friedrich-Wilhelm-Straße - Steinsche Gasse -Poststraße - Gutenbergstraße - Köhnenstraße - Landfermannstraße - Saarstraße - Mercatorstraße - Friedrich-Wilhelm-Straße - Düsseldorfer Straße - Realschulstraße - Kantpark,400
164,2022-04-12 00:00:00,A (K),"KIDICAL MASS, Fahrrad-Demo mit und für Kinder und Jugendliche",2022-05-15 00:00:00,2022-05-15,15:00 - 16:30,"Alfred-Hitz-Platz, Steinacker,Lange Strasse, Grabenacker, Flutweg, Jakobstrasse, Auf dem Berg, Buschstrasse, Jägerstrasse, Beekstrasse, Park bis Spielplatz",50
165,2022-04-12 00:00:00,A (K),"KIDICAL MASS, Fahrrad-Demo mit und für Kinder und Jugendliche",2022-05-15 00:00:00,2022-05-15,15:00 - 16:30,"Spielplatz Franz-Lenze-Platz, Bahnhofstraße, Überqueren der Friedrich-Ebert-Straße, Stauffenbergstraße, Goerdelerstraße, Canarisstraße, Friedrich-Ebert-Straße, Elisabethstraße, Oswaldstraße, Im Bremmenkamp, Feldstraße, Hermannstraße, Franz-Lenze-Straße, Franz-Lenze-Platz/Spielplatz",50
166,2022-04-12 00:00:00,A (K),"KIDICAL MASS, Fahrrad-Demo mit und für Kinder und Jugendliche",2022-05-15 00:00:00,2022-05-15,15:00 - 17:30,"Sammelplatz 1: GGS Am See. Tour1, Start 15.10
Am See, Masurenallee, Wedauer Brücke, Bissingheimer Straße, Präsident-Marx-Platz, Kurt-Heintze-Straße, Zum Ellenberg, Hermann-Grothestraße, Finkenschlag, Märchenweg, Hermann-Grothe-Straße. An der Grundschule  (Sammelplatz 2) Zusammentreffen mit den Teilnehmer*innen aus Bissingheim. Gemeinsam weiter, Tour 2, Start 15.30 Am Brunnen, Bissingheimer Straße, Wedauer Brücke, Masurenalle, Wedauer Straße, Rüsternstraße, An den Platanen. Wedauer Markt. Verabschiedung der Wedauer Teilnehmer*innen, kleine Pause // Nur die Bissigheimer Teilnehmer*innen weiter Tour 3, Start 16.30 Zu den Eichen, Am See,....Strecke wie Tour 1 bis Grundschule Bissingheim (17.00) Uhr",50
167,2022-04-27 00:00:00,K,Mai 1945 - Mai 2022 Jahrestag der Befreiung vom Hitlerfaschismus,2022-05-07 00:00:00,2022-05-07,15:00 - 16:00,Informationsstand Königstraße 24; Gedenkrundgang: 16:00 - 17:00 Uhr: Kuhlenwall 44 - Junkerstraße (alte Synagoge) - Fuldastraße 6 - Pulverweg 52 - Stapeltor - Kardinal-Galen-Straße 33 - Mainstraße 15 - Landfermannstraße - König-Heinrich-Platz - Königstraße,ca. 30
168,2022-04-02 00:00:00,A (K),"Christopher-Street-Day 2022 
Demonstration für Akzeptanz und Toleranz",2022-07-30 00:00:00,2022-07-30,12:00 - 13:30,"Burgplatz (Rathaus, Auftaktkundgebung) - Poststraße - Steinsche Gasse, Plessingstraße - Kremerstraße - Krummacherstraße - Düsseldorfer Straße - Eingang Lehmbruckmuseum (Zwischenkundgebung) - Friedrich-Wilhelm-Straße - Mercatorstraße - Portsmouthplatz - Mercatorstraße - Königstraße - König-Heinrich-Platz",500
169,2022-05-01 00:00:00,M,Hochfeld solidarisch – Gegen Zwangsräumungen und Verdrängung,2022-05-04 00:00:00,2022-05-04,08:00 - 16:00,Gravelottestraße 48,ca. 20
170,2022-05-02 00:00:00,A (K),Tarifrunde Sozial- und Erziehungsdienste,2022-05-04 00:00:00,2022-05-04,10:00 - 13:00,Portsmouthplatz - Königstraße - Kuhlenwall (ZK) - Jugendamt - Rathaus (ZK) - Poststraße - Oberstraße - Stapeltor - DGB Haus,350-400
171,2022-05-02 00:00:00,K,"Landtagswahl
Krieg in der Ukraine",2022-05-06 00:00:00,2022-05-06,17:00 - 19:00,"Hochemmericher Markt
vor Marktforum",50
172,2022-05-03 00:00:00,M,15 Minuten für den Frieden; Anlass: Ukraine-Konflikt,2022-05-04 00:00:00,2022-05-04,18:00 - 18:15,"Walsum, Kometenplatz",70
173,2022-05-03 00:00:00,M,15 Minuten für den Frieden; Anlass: Ukraine-Konflikt,2022-05-11 00:00:00,2022-05-11,18:00 - 18:15,"Walsum, Kometenplatz",70
174,2022-05-03 00:00:00,K,Empty the Tanks 2022,2022-05-07 00:00:00,2022-05-07,11:00 - 15:00,"Duisburger Zoo, Haupteingang, Mülheimer Straße 273, 47058 Duisburg",10
175,2022-05-03 00:00:00,K,Wir sprechen über Jesus,2022-05-07 00:00:00,2022-05-07,14:00 - 16:00,Duisburg HBf Hauptseite,3
176,2022-05-04 00:00:00,K,Gegen die Tierhaltung des Circus Traber,2022-05-06 00:00:00,2022-05-06,15:30 - 17:00,gegenüber der Kasse des Circus Traber (Fuchsplatz/Gerlingstr.) in 47167 Duisburg,< 10
177,2022-05-05 00:00:00,K,Situation von Frauen im Krieg,2022-05-07 00:00:00,2022-05-07,11:30 - 13:30 ,auf der Von-der-Mark-Straße vor dem dm-Drogeriemarkt (Von-der-Mark-Str. 79) in Duisburg Meiderich.,10-15
178,2022-04-25 00:00:00,K,Tierrechte Veganismus,2022-05-06 00:00:00,2022-05-06,17:00 - 20:00,"Königstraße 48, vor dem Forum Duisburg",10 - 25
179,2022-04-25 00:00:00,K,Tierrechte Veganismus,2022-05-13 00:00:00,2022-05-13,17:00 - 20:00,"Königstraße 48, vor dem Forum Duisburg",10 - 25
180,2022-04-25 00:00:00,K,Tierrechte Veganismus,2022-05-27 00:00:00,2022-05-27,17:00 - 20:00,"Königstraße 48, vor dem Forum Duisburg",10 - 25
181,2022-04-19 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-05-16 00:00:00,2022-05-16,18:00 - 22:00,Alter Markt (AK) - Burgplatz - Poststraße - Steinsche Gasse - Kuhstraße - Kuhtor - Königstraße - Königstraße/Düsseldorfer Straße am Lifesaver-Brunnen (1. ZK) - Königstraße/ Höhe Forum im Bereich der Schwebenden Gärten (2. ZK) - Königstraße - Mercatorstraße - Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz - Steinsche Gasse - Poststraße - Alter Markt (AK),80
182,2022-05-11 00:00:00,K,Wir sprechen über Jesus,2022-05-14 00:00:00,2022-05-14,14:00 - 16:00,Duisburg HBf Hauptseite,3-4
183,2022-04-19 00:00:00,A (K),Freie Impfentscheidung. Freies Leben ohne Maßnahmen. Für Normalität unserer Kinder,2022-05-23 00:00:00,2022-05-23,18:00 - 22:00,Alter Markt (AK) - Burgplatz - Poststraße - Steinsche Gasse - Kuhstraße - Kuhtor - Königstraße - Königstraße/Düsseldorfer Straße am Lifesaver-Brunnen (1. ZK) - Königstraße/ Höhe Forum im Bereich der Schwebenden Gärten (2. ZK) - Königstraße - Mercatorstraße - Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz - Steinsche Gasse - Poststraße - Alter Markt (AK),80
184,2022-05-12 00:00:00,M,"Informationen anlässlich Seenotrettung und der gerichtlichen Vorverhandlugnen gegen die Crew des Rettungsschiffes ""Juventa""",2022-05-21 00:00:00,2022-05-21,13:00 - 14:30,"Königstraße, am Lifesaver-Brunnen",30
