Nr.,Anmeldedat.,Art,Thema,"Wochen-
tag",Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
79,2020-05-04 00:00:00,K,"""Nein zur Gewalt gegen Frauen"" ",2020-05-06 00:00:00,2020-05-06 00:00:00,17:00-18:30,Averdunkplatz,20
80,2020-05-04 00:00:00,K,"""den 8.mai zum Gedenktag machen/ Tag der Befreiung""",2020-05-08 00:00:00,2020-05-08 00:00:00,15:00-17:00,"auf der vordersten der ""hängenden wiesen"" (vom Forum aus gesehen)
NEU: Averdunkplatz",30
81,2020-05-04 00:00:00,M,"""08. Mai - 75. Jahrestaf der Befreiunf vom Hitlerfaschismus""",2020-05-08 00:00:00,2020-05-08 00:00:00,15:00-18:00,Saarstraße/Königstraße; Mahnmal für die deportierten jüdischen Kinder,20-30
82,2020-05-02 00:00:00,M,8.Mai - 75. Jahrestag der Befreiung von der faschistischen Hitlerdiktatur und Ende des Weltkriegs,2020-05-08 00:00:00,2020-05-08 00:00:00,16:30-18:00,Königstr. gegenüber Eingang FORUM,15
83,2020-05-04 00:00:00,K,Tag der Befreiung vom Hitler-Faschismus ,2020-05-08 00:00:00,2020-05-08 00:00:00,17:00-19:00,"Lifesaver-Brunnen in DU-Mitte
NEU: Schiffsmaskenbrunnen","75
neu: 50"
84,2020-04-29 00:00:00,A (K),Ride of Silence,2020-05-20 00:00:00,2020-05-20 00:00:00,19:00-22:00,"3 Geisterrädern Ruhrorter Kreise, Karl-Lehr-Brücke und Huckingen",je 1-2
85,2020-04-29 00:00:00,A (K),"""Protected Bike Lane"" ",2020-05-23 00:00:00,2020-05-23 00:00:00,10:00-13:00,Höhe Luherplatz ,2-3
86,2020-05-05 00:00:00,M,"„Mahnwache für das
Ende der Corona-Krise""",2020-05-09 00:00:00,2020-05-09 00:00:00,15:00-20:00,Königstraße / Ecke Düsseldorfer Straße,15
87,2020-05-05 00:00:00,K,75. Jahrestag der Befreiung vom Hitlerfaschismus,2020-05-08 00:00:00,2020-05-08 00:00:00,17:00-19:00,"Kometenplatz, Duisburg-Walsum",20
88,2020-05-08 00:00:00,K,Jüngste Angriffe der türkischen Luftwaffebzw. Armee auf Flüchtlingslager Maxmur in Kurdistan (Irak),2020-05-09 00:00:00,2020-05-09 00:00:00,14:00-16:00,Königstraße oder Hauptbahnhof,30
89,2020-05-01 00:00:00,M (K),Fridays for future - Gemeinsam gegen die Klimakrise,2020-05-22 00:00:00,2020-05-22 00:00:00,13:30-15:30,"Königsstraße, gegenüber des Forums, neben dem U-Bahnaufgang",20-30
90,2020-05-10 00:00:00,K,"Grundgesetz – Erhalt aller Grundrechte, Ende der Einschränkungen, Ende des Shutdowns",2020-05-16 00:00:00,2020-05-16 00:00:00,ab 13:00,"Duisburg, vor dem Stadttheater",50
91,2020-05-10 00:00:00,K,Solidarität mit Antifaschisten,2020-05-25 00:00:00,2020-05-25 00:00:00,09:30-12:30,vor dem Amtsgericht Duisburg auf dem König-Heinrich-Platz ,50
92,2020-05-08 00:00:00,K,Jüngste Angriffe der türkischen Luftwaffebzw. Armee auf Flüchtlingslager Maxmur in Kurdistan (Irak),2020-05-16 00:00:00,2020-05-16 00:00:00,14:00-16:00,Königstraße oder Hauptbahnhof,30
93,2020-04-08 00:00:00,K,Montagsdemo,2020-05-25 00:00:00,2020-05-25 00:00:00,"(18:00)
17:30-19:30","Lifesaver - Forum Königstraße - Lifesaver
in Absprache mit den Beamten vor Ort",30-40
94,2020-05-14 00:00:00,K,„Gewalt gegen Frauen / Gegen Frauenmord“,2020-05-15 00:00:00,2020-05-15 00:00:00,17:00-18:00, Averdunkplatz in Duisburg-Innenstadt,max. 50
95,2020-05-14 00:00:00,K,"""Rechte Verschwörungstheoretiker und Corona-Leugner stoppen!""",2020-05-16 00:00:00,2020-05-16 00:00:00,12:30-15:30,vor dem Amtsgericht Duisburg auf dem König-Heinrich-Platz ,"200
neu: 50"
96,2020-05-14 00:00:00,K,./.,2020-05-20 00:00:00,2020-05-20 00:00:00,16:00-20:00,vor dem AfD-Kreisverbandsbüro auf der Hochstraße 17 in Duisburg-Rheinhausen,"200
neu: 50"
97,2020-05-15 00:00:00,M,"Grundgesetz – Erhalt aller Grundrechte, Ende der Einschränkungen, Beendigung des Shutdowns",2020-05-18 00:00:00,2020-05-18 00:00:00,19:00-20:30,"Duisburg, vor dem Stadttheater",50
98,2020-05-15 00:00:00,M,"Grundgesetz – Erhalt aller Grundrechte, Ende der Einschränkungen, Beendigung des Shutdowns",2020-05-25 00:00:00,2020-05-25 00:00:00,19:00-20:30,"Duisburg, vor dem Stadttheater",50
99,2020-05-15 00:00:00,M,"Grundgesetz – Erhalt aller Grundrechte, Ende der Einschränkungen, Beendigung des Shutdowns",2020-06-01 00:00:00,2020-06-01 00:00:00,19:00-20:30,"Duisburg, vor dem Stadttheater",50
100,2020-05-15 00:00:00,M,"Grundgesetz – Erhalt aller Grundrechte, Ende der Einschränkungen, Beendigung des Shutdowns",2020-06-08 00:00:00,2020-06-08 00:00:00,19:00-20:30,"Duisburg, vor dem Stadttheater",50
101,2020-05-18 00:00:00,K,„Gewalt gegen Frauen / Gegen Frauenmord“,2020-05-20 00:00:00,2020-05-20 00:00:00,17:00-18:00, Averdunkplatz in Duisburg-Innenstadt,30
102,2020-05-18 00:00:00,K,„Gewalt gegen Frauen / Gegen Frauenmord“,2020-05-27 00:00:00,2020-05-27 00:00:00,17:00-18:00, Averdunkplatz in Duisburg-Innenstadt,30
103,2020-05-18 00:00:00,K,„Gewalt gegen Frauen / Gegen Frauenmord“,2020-06-03 00:00:00,2020-06-03 00:00:00,17:00-18:00, Averdunkplatz in Duisburg-Innenstadt,30
104,2020-05-18 00:00:00,K,„Gewalt gegen Frauen / Gegen Frauenmord“,2020-06-10 00:00:00,2020-06-10 00:00:00,17:00-18:00, Averdunkplatz in Duisburg-Innenstadt,30
105,2020-05-16 00:00:00,K,"""Rechte Verschwörungstheoretiker und Corona-Leugner stoppen!""",2020-05-18 00:00:00,2020-05-18 00:00:00,19:00-21:00,vor dem Amtsgericht Duisburg auf dem König-Heinrich-Platz ,50
106,2020-05-17 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierende in China, Falun Dafa ist Gut",2020-05-23 00:00:00,2020-05-23 00:00:00,11:00-17:30,König Straße gegenüber vom Forum in Duisburg Stadtmitte ,6
107,2020-05-18 00:00:00,K,Erziehereinsatz in der Coronakrise,2020-05-26 00:00:00,2020-05-26 00:00:00,11:00-12:00,vor dem Duisburger Rathaus (Burgplatz),20-30
108,2020-05-19 00:00:00,A (K),"Festnahme eines jungen Mitgliedes der türkischen Partei CHP am ""Tag der Jugend""",2020-05-19 00:00:00,2020-05-19 00:00:00,12:00-13:00,Landschaftspark Duisburg Nord Emscherstraße bis Emscherstraße 215 in 47166 Duisburg,40-50
109,2020-05-20 00:00:00,K,Jüngste Angriffe der türkischen Luftwaffebzw. Armee auf Flüchtlingslager Maxmur in Kurdistan (Irak),2020-05-23 00:00:00,2020-05-23 00:00:00,14:00-16:00,"Duisburg-Hauptbahnhof, Portsmouthplatz",30
110,2020-05-20 00:00:00,K,Jüngste Angriffe der türkischen Luftwaffebzw. Armee auf Flüchtlingslager Maxmur in Kurdistan (Irak),2020-05-30 00:00:00,2020-05-30 00:00:00,14:00-16:00,"Duisburg-Hauptbahnhof, Portsmouthplatz",30
111,2020-05-20 00:00:00,K,Jüngste Angriffe der türkischen Luftwaffebzw. Armee auf Flüchtlingslager Maxmur in Kurdistan (Irak),2020-06-06 00:00:00,2020-06-06 00:00:00,14:00-16:00,"Duisburg-Hauptbahnhof, Portsmouthplatz",30
112,2020-05-22 00:00:00,K,Todesfasten gegen den türkischen Faschismus,2020-05-23 00:00:00,2020-05-23 00:00:00,18:00-20:00,"Duisburg-Hauptbahnhof, Portsmouthplatz",50-70
