Nr.,Anmeldedat.,Art,Thema,"Wochen-
tag",Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
335,2020-10-09 00:00:00,K,???,2020-11-14 00:00:00,2020-11-14 00:00:00,13:00-19:00,"Paul-Esch-Str. 9A, 47053 Duisburg",50+
336,2020-10-13 00:00:00,K,Gegen Islamisierung und Parallelgesellschaften,2020-11-29 00:00:00,2020-11-29 00:00:00,13:00-17:00,Portmouthplatz,150
337,2020-10-13 00:00:00,K,Tag der freien Kinder Meinung zum aktuellen Weltgeschehen (Corona),2020-10-24 00:00:00,2020-10-24 00:00:00,14:00-18:00,Portsmouthplatz,"1000
400-500
140"
338,2020-10-14 00:00:00,K,#Nicht auf unserem Rücken! Als Klasse gegen ihre Krise kämpfen,2020-11-07 00:00:00,2020-11-07 00:00:00,14:00-17:00,König-Heinrich-Platz,50
339,2020-10-16 00:00:00,K,Aufklärung zum Thema Corona Fakten,2020-10-19 00:00:00,2020-10-19 00:00:00,18:00-20:00,"Burgplatz, dortiger Parkplatz",200-500
340,2020-10-16 00:00:00,K,Bildung einer Menschenkette anlässlich Tarifrunde im öffentlichen Dienst,2020-10-20 00:00:00,2020-10-20 00:00:00,08:30-10:00,vor dem Haupteingang des Jobcenters Duisburg auf der Friedrich-Wilhelm-Straße 103 in 47051 Duisburg ,30
341,2020-10-16 00:00:00,K,Tarifrunde 2020,2020-10-20 00:00:00,2020-10-20 00:00:00,10:00-11:00,"Königstraße 58, 47051 Duisburg",10-15
342,2020-10-19 00:00:00,"A
K","Totenzug mit einem Sarg, Satirezug für härtere Maßnahmen",2020-10-24 00:00:00,2020-10-24 00:00:00,13:00-14:00,"Sammelplatz, König-Heinrich-Platz von dort laufen wir auf die Königstr. Richtung Königsgallerie und die Steinische Gasse dann Richtung Poststr. aufdie Gutenberg / KöhnensÜ. bis zum König-Heinrich-Platz
Kundgebung König-Heinrich-Platz (vor dem Stadttheater)",30
343,2020-10-23 00:00:00,K,Briefmarathon - Unterschriftenaktion,2020-12-12 00:00:00,2020-12-12 00:00:00,10:30-15:30,"König-Heinrich-Platz; zwischen den ""Schwebenden Gärten"" Höhe Amtsgericht",ca. 8
344,2020-10-23 00:00:00,K,Briefmarathon - Unterschriftenaktion,2020-12-19 00:00:00,2020-12-19 00:00:00,max. 6 Std.,"Porstmouthplatz, alternativ: vor dem Forum  oder auf dem Averdunk-Platz",ca. 8
345,2020-10-27 00:00:00,M,Statt Klatschen – für gute Bezahlung,2020-10-31 00:00:00,2020-10-31 00:00:00,11:00-14:00,"Zoo Zojac, Konrad-Adenauer-Ring 6, 47167 Duisburg",5-7
346,2020-10-28 00:00:00,K,Keine Abwälzung der Krisenlasten auf den Rücken der Ärmsten,2020-11-02 00:00:00,2020-11-02 00:00:00,17:30-19:30,Lifesaver-Brunnen Königstraße,30-40
347,2020-11-04 00:00:00,K,Islamistische Terroranschläge in Nizza und Wien,2020-11-07 00:00:00,2020-11-07 00:00:00,15:00-17:30,"Königstraße / 47051 Duisburg
neu: Portsmouthplatz",ca. 150
348,2020-11-03 00:00:00,K,Umweltkampftag ,2020-11-14 00:00:00,2020-11-14 00:00:00,10:00-13:00,"Hamborn, Altmarkt - vor Askania",60
349,2020-11-05 00:00:00,M,Gedenkstunde am Stolperstein für Harro Schulze-Boysen & Frau,2020-12-22 00:00:00,2020-12-22 00:00:00,18:30-19:15,"47053 Dellviertel, vor Haus Karl-Lehr-Str. 9","35 
neu: unter 10"
350,2020-11-06 00:00:00,A (K),Gedenspaziergang für die Opfer der Reichspogromnacht 1938,2020-11-09 00:00:00,2020-11-09 00:00:00,17:00-18:00,"Sammelplatz Amtsgerichtstr Ecke Landwehrstr, Friedrichsplatz, Harmoniestraße Stopp Hausnr. 38, Weinhagenstr., links Fabrikstraße Stopp Hausnr. 26, links Dr. Hammacherstr Stopp Hausnr. 13, Landwehrstraße Stopp Hausnr. 19 und 16, Ende Amtsgerichtstr.",10-15
351,2020-11-06 00:00:00,M,Fridays for future - Gemeinsam gegen die Klimakrise,2020-11-13 00:00:00,2020-11-13 00:00:00,15:30-18:00,"Königsstraße, Höhe Kö-Cafe Doppelstein, in der Mitte bei den Bäumen",2
352,2020-11-08 00:00:00,K,"Tierrechte, Veganismus",2020-11-27 00:00:00,2020-11-27 00:00:00,16:45-20:00,"vor dem Forum, Stadtmitte Duisburg",10-25
353,2020-11-08 00:00:00,K,"Tierrechte, Veganismus",2020-12-12 00:00:00,2020-12-12 00:00:00,14:45-18:00,"vor dem Forum, Stadtmitte Duisburg
neu: Lifesaver-Brunnen",10-25
354,2020-12-08 00:00:00,K,"Tierrechte, Veganismus",2020-12-23 00:00:00,2020-12-23 00:00:00,14:45-18:00,"vor dem Forum, Stadtmitte Duisburg",10-25
355,2020-11-08 00:00:00,K,25. November Internationaler Tag gegen Gewalt an Frauen,2020-11-25 00:00:00,2020-11-25 00:00:00,16:00-18:00,"vor dem Forum, Stadtmitte Duisburg",30
356,2020-11-09 00:00:00,K,Drucksache 19/23944 – IFSG 3. Fassung verhindern!,2020-11-09 00:00:00,2020-11-09 00:00:00,17:00-18:30,"5 Arcs, Duisburg-Innenstadt",ca. 20
357,2020-11-09 00:00:00,M,"Zu mehr Wertschätzung und Dankbarkeit dem gegenüber, was wir haben, weil wir in Krisenzeiten sehen, wie schnell sich unser Leben ändern kann",2020-11-13 00:00:00,2020-11-13 00:00:00,09:00-19:00,"Am Lifesaver-Brunnen, Innenstadt, Königstraße (siehe Lageplan)
neu: Averdunkplatz",10
358,2020-11-10 00:00:00,K (M),"Kultur-Manifestation mit Musik, Tanz, Lyrik für eine vielfältige, tolerante, solidarische Stadtgesellschaft - gegen den Aufzug von Pegida u.a. rassistischer rechter Kräfte in Duisburg am  29. November 2020 auf der Bahnhofsplatte Duisburg",2020-11-29 00:00:00,2020-11-29 00:00:00,13:00-15:00,Auf der Platte vor dem Haupteingang des Duisburger Hauptbahnhofs   ,200
359,2020-11-09 00:00:00,A (K),„Gegen Diskriminierung - Für Menschenrechte“,2020-11-22 00:00:00,2020-11-22 00:00:00,"10:00
12:00-16:00","A40 von Duisburg bis Dortmund
Aufzugsstrecke: Mülheimer Straße - Saarstr. - links Richtung Innenstadt - Mercatorstr. - Königstr. - Steinische Gasse -
- Burgplatz 
Alternative (wenn Königstraße tabu!): weiter über Mercatorstr. - Friedrich-Wilhelm-Str. - Friedrich-Wilhelm-Platz - Steirischen Gasse - Burgplatz","15000
5000"
360,2020-11-13 00:00:00,"A 
K",Schluß mit der Corona-Diktatur,2020-11-21 00:00:00,2020-11-21 00:00:00,13:00-18:30,"Demozug vom Portsmouthplatz beginnend über Friedrich-Wilhelm-Straße, Friedrich-Wilhelm-Platz, Steinsche Gasse, Schwanenstraße zum Alter Markt und zurück zum Bahnhof über Salvatorstraße, Gutenbergstraße, Köhnenstraße, Friedrich-Albert-Lange-Platz, Landfermannstraße, Saarstraße, Mercatorstraße zurück zum Portsmouthplatz",100-200
361,2020-11-16 00:00:00,A (K),Internationaler Tag gegen Gewalt an Frauen,2020-11-25 00:00:00,2020-11-25 00:00:00,18:00 - 19:30,Vorplatz Pauluskirche - Wanheimerstraße - links in die Fröbelstraße -  links auf Trautenaustraße - links auf Gravelottestraße - rechts auf  Wanheimerstraße - Kreuzung links auf Rheinhauserstr - rechts auf Gerokstraße - rechts auf Eigenstraße - links auf Wanheimerstraße - geradeaus auf Heerstraße - Steinsche Gasse - rechts auf Sonnenwall - auf dem kleinen Platz Abschlusskundgebung (10 Minuten) ,15-20
362,2020-11-16 00:00:00,M,"Zu mehr Wertschätzung und Dankbarkeit dem gegenüber, was wir haben, weil wir in Krisenzeiten sehen, wie schnell sich unser Leben ändern kann",2020-12-02 00:00:00,2020-12-02 00:00:00,09:00-19:00,Stilles Mahnmal zum Aktionszeitraum des internationalen Tag gegen Gewalt an Frauen,10
363,2020-11-17 00:00:00,K,PKK-Verbot in Deutschland,2020-11-21 00:00:00,2020-11-21 00:00:00,15:00-16:30,Königstraße oder Hauptbahnhof (47051),ca. 50
364,2020-11-18 00:00:00,K,Internationaler Tag gegen Gewalt an Frauen,2020-11-25 00:00:00,2020-11-25 00:00:00,16:00-18:00,"Hochemmericher Markt vor dem Forum, Rheinhausen-Hochemmerich",50
365,2020-11-22 00:00:00,M,Mahnwache zum bundesweiten Aktionstag für Abrüstung statt Aufrüstung,2020-12-05 00:00:00,2020-12-05 00:00:00,11:00-15:00,"Life-Saver-Brunnen, Königstraße, Innenstadt Duisburg",10
366,2020-11-24 00:00:00,A (K),Kein Platz für PEGIDA in Duisburg,2020-11-29 00:00:00,2020-11-29 00:00:00,13:30-16:00,"Sammelplatz: Brückenplatz - Friedensstr.- Musfeldstr. - Realschulstr. - Kölnerstr. - Tonhallenstr. - Abschlusskundgebung: Bereich am Kantpark: Tonhallenstr. Ecke Friedrich-Willhelm Str.
",100
367,2020-11-29 00:00:00,K,Die Folgen der Corona-Pandemie für die Bevölkerung,2020-12-07 00:00:00,2020-12-07 00:00:00,17:30-19:30,Lifesaver Brunnen Königstraße,30-40
368,2020-11-27 00:00:00,M,Klimawandel als Fluchtursache - Solidarität mit Geflüchteten,2020-12-04 00:00:00,2020-12-04 00:00:00,15:30-20:00,"Münzstr. 9-11, vor Rossmann, Duisburg Innenstadt",2
369,2020-11-26 00:00:00,K,Solidarität mit den G20 - Angeklagt*innen,2020-12-05 00:00:00,2020-12-05 00:00:00,12:00-17:00,"in der Königstrasse vor Lifesaver
neu: Averdunkplatz","5-15
12-17
max. 15"
370,2020-12-01 00:00:00,M,Klimawandel als Fluchtursache - Solidarität mit Geflüchteten,2020-12-04 00:00:00,2020-12-04 00:00:00,15:30-18:30,"Von-der-Mark-Str. 56, vor Rossmann, Duisburg Meiderich",3
371,2020-12-01 00:00:00,M,Klimawandel als Fluchtursache - Solidarität mit Geflüchteten,2020-12-19 00:00:00,2020-12-19 00:00:00,14:00-18:00,"Münzstr. 9-11, vor Rossmann, Duisburg Innenstadt",2
372,2020-12-06 00:00:00,K,200. Geburtstag von Friedrich Engels und seine aktuelle Bedeutung,2020-12-13 00:00:00,2020-12-13 00:00:00,11:00-12:00,Ecke Friedrich-Engels-Straße/Karl-Marx-Straße/August-Bebel-Platz; dortiger Unterstand,30-40
373,2020-12-05 00:00:00,K,Solidarität mit dem Widerstand im Danni!,2020-12-12 00:00:00,2020-12-12 00:00:00,14:00-17:00,Averdunkplatz,30
374,2020-12-06 00:00:00,M,Klimawandel als Fluchtursache - Solidarität mit Geflüchteten,2020-12-11 00:00:00,2020-12-11 00:00:00,15:00-18:00,"Von-der-Mark-Str. 56, vor Rossmann, Duisburg Meiderich",2
375,2020-12-06 00:00:00,M,Klimawandel als Fluchtursache - Solidarität mit Geflüchteten,2020-12-18 00:00:00,2020-12-18 00:00:00,15:00-18:00,"Von-der-Mark-Str. 56, vor Rossmann, Duisburg Meiderich",2
376,2020-12-07 00:00:00,"A 
K",10. Monat Hanau - Fight Racism (Migrantifa Duisburg),2020-12-19 00:00:00,2020-12-19 00:00:00,14:00-16:00,Hamborn Rathaus bis Hamborn Altmarkt (Endkundgebung vor dem Altmarkt Trödel),50-70
377,2020-12-01 00:00:00,M,Klimawandel als Fluchtursache - Solidarität mit Geflüchteten,2020-12-12 00:00:00,2020-12-12 00:00:00,14:00-18:00,"Münzstr. 9-11, vor Rossmann, Duisburg Innenstadt",2
378,2020-12-08 00:00:00,K,Freie und unabhängige Lehre statt chinesischer Propaganda,2020-12-10 00:00:00,2020-12-10 00:00:00,13:00-13:45,"Konfuziusinstitut Universität Duisburg-Essen, Bismarckstraße 20, 47057 Duisburg",20
379,2020-12-09 00:00:00,K,Endgeldtarifverhandlungen,2020-12-16 00:00:00,2020-12-16 00:00:00,14:30-16:30,"am Tor 1 Thyssen Krupp Steel, Kaiser-Wilhelm-Straße 47166 Duisburg. Menschenkette in Richtung Verwaltungsgebäude ",80-110
380,2020-12-20 00:00:00,K,Gewalt gegen Frauen; Unterschriften werden gesammelt,2020-12-23 00:00:00,2020-12-23 00:00:00,17:00-19:00,"vor dem Forum, Stadtmitte Duisburg
neu: auf dem Portsmouthplatz",30
381,2020-12-26 00:00:00,K,Festnahmen kurdischer Politiker in der Türkei / Hungerstreik der Ge-fangenen bzgl. der Inhaftierung Öcalans,2020-12-29 00:00:00,2020-12-29 00:00:00,15:30-16:30,"47051 Duisburg, Hauptbahnhof",30-50
