Nr.,Anmeldedat.,Art,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
122,2019-05-14 00:00:00,K,Europawahl 2019 - NPD wieder in das Europaparlament!,2019-05-17 00:00:00,16:00-18:00,DU-Neumühl; Hohenzollernplatz,8-10
123,2019-05-13 00:00:00,K,RWE-Sponsoring des Klavierfestivals,2019-05-16 00:00:00,19:30-20:00,DU-Hamborn; Landschaftspark Duisburg Nord,20
124,2019-05-15 00:00:00,K,Für ein fortschrittliches und gerechtes Europa,2019-05-25 00:00:00,14:00-17:00,DU-Stadtmitte; Königstraße / Am Burgacker,50
125,2019-05-17 00:00:00,K,Europawahlkampf 2019 / Die Rechte wählen!,2019-05-23 00:00:00,19:00-21:00,DU-Meiderich; Banhohfsvorplatz,10-15
126,2019-05-19 00:00:00,K,Demo gegen Assad und Putin,2019-05-26 00:00:00,18:00-20:00,DU-Stadtmitte; Portsmouthpaltz,60-80
127,2019-05-21 00:00:00,K,Europawahlveranstaltung ,2019-05-26 00:00:00,11:00-17:00,DU-Hochfeld; Brückenstraße u. Pauluskirche,25
128,2019-05-22 00:00:00,K,Für Demokratie und Völkerfreundschaft gegen Rassismus und Antisemitismus,2019-05-24 00:00:00,18:00-18:45,DU-Walsum; Ecke Lerchenweg / Friedrich-Ebert-Straße,20-30
129,2019-05-23 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-05-31 00:00:00,13:30-15:30,DU-Stadtmitte; Hbf - Mercatorstraße - Saarstraße - Landfermannstraße - Köhnenstraße - Am Burgacker - Lifesaver - Kuhtor - Sonnenwall - Friedrich-Wilhelm-Platz - Friedrich-Wilhelm-Straße - Düsseldorfer Straße - Lifesaver - Forum,200
130,2019-05-23 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-06-07 00:00:00,16:30-18:00,DU-Stadmitte; Hbf - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Königstraße - Forum,200
131,2019-05-23 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-06-14 00:00:00,13:30-15:30,DU-Stadtmitte; Hbf - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Poststraße - Burgplatz - Poststraße - Kuhtor - Königstraße - Forum,200
132,2019-05-25 00:00:00,K,Bezahlbaer Wohnraum ist ein Menschenrecht!,2019-06-03 00:00:00,17:30-19:30,DU-Stadmitte; Lifesaver-Brunnen,40-50
133,2019-05-28 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-06-11 00:00:00,16:00-19:00,DU-Stadmitte; König-Heinrich-Platz,5-15
134,2019-05-28 00:00:00,K,Warnstreik (Tarifauseinandersetzung im Kfz-Handwerk),2019-06-04 00:00:00,11:30-13:30,DU-Großenbaum; Keniastraße 42,ca. 50
135,2019-06-03 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong-Praktizierenden in China, Falun Dafa ist gut",2019-06-08 00:00:00,11:00-17:00,DU-Stadmitte; Königstraße gegenüber des Forums,4
136,2019-06-03 00:00:00,K,Kritik an Missständen in der Massentierhaltung,2019-06-13 00:00:00,18:00-20:00,DU-Neudorf; Koloniestraße  / Ecke Sternbuschweg,15
137,2019-06-03 00:00:00,K,Kritik an Missständen in der Massentierhaltung,2019-06-22 00:00:00,14:00-16:00,DU-Neudorf; Koloniestraße  / Ecke Sternbuschweg,15
138,2019-06-05 00:00:00,K,Drohnenflugverbot im Landschaftspark Duisburg / Rechtsbeugung der Verantwortlichen?,2019-06-08 00:00:00,18:00:00,"DU-Hamborn, Landschaftspark Duisburg Nord",2-50
139,2019-06-06 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-06-28 00:00:00,10:00-12:00,DU-Stadtmitte; Portsmouthplatz - Saarstraße - Landfermannstraße - Nahestraße - Lahnstraße - Mainstraße - Landfermannstraße - Köng-Heinrich-Platz - Königstraße - Lifesaver - Düsseldorfer Straße - Realschulstraße - Cecilienstraße - Kantpark,150
140,2019-06-06 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-07-05 00:00:00,13:30-15:00,DU-Stadtmitte; Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Königstraße - König-Heinrich-Platz,150
141,2019-06-06 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-07-12 00:00:00,16:30-18:00,DU-Stadtmitte; Mercatorstraße - Saarstraße - Landfermannstraße - Köhnenstraße - Am Burgacker - König-Heinrich-Platz - Königstraße - Kuhtor - Sonnenwall - Friedrich-Wilhelm-Platz - Friedrich-Wilhelm-Straße - Düsseldorfer Straße - Lifesaver - Königstraße - König-Heinrich-Platz,150
142,2019-06-12 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-06-26 00:00:00,15:45-18:45,DU-Stadtmitte; König-Heinrich-Platz,5-15
143,2019-06-15 00:00:00,A (K),"Ivana Hoffmann Festival, Internationale Solidarität",2019-06-29 00:00:00,13:00-14:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Düsseldorfer Straße - Neue Marktstraße - Dellplatz - Goldstraße - Friedrich-Wilhelm-Platz - Steinsche Gasse - Kuhstraße - Königstraße - König-Heinrich-Platz ,150
144,2019-06-13 00:00:00,K ,Demo vor dem Moskauer Circus,2019-06-23 00:00:00,12:30-14:15,DU-Stadtmitte; Alfrediplatz,20
145,2019-06-17 00:00:00,K,5. Ivana Hoffmann Festival,2019-06-20 00:00:00,15:00-17:00,DU-Stadtmitte; König-Heinrich-Platz,-
146,2019-06-17 00:00:00,K,5. Ivana Hoffmann Festival,2019-06-24 00:00:00,16:00-18:00,DU-Stadtmitte; König-Heinrich-Platz,-
147,2019-06-17 00:00:00,K,5. Ivana Hoffmann Festival,2019-06-26 00:00:00,16:00-18:00,DU-Stadtmitte; König-Heinrich-Platz,-
148,2019-06-23 00:00:00,K,Den rechten Terror stoppen,2019-06-28 00:00:00,17:00-19:00,DU-Innenstadt; Lifesaver-Brunnen,20
149,2019-06-24 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong-Praktizierenden in China, Falun Dafa ist gut",2019-07-06 00:00:00,11:00-17:00,DU-Stadtmitte; Königstraße,6
150,2019-06-24 00:00:00,K,Arbeitsplatz-Abbau bei Kohle und Stahl,2019-07-01 00:00:00,17:30-19:30,DU-Stadtmitte; Lifesaver-Brunnen,40-50
151,2019-07-30 00:00:00,A (K),Freiheit für Carola Rakete,2019-07-06 00:00:00,13:00-14:00,DU-Stadtmitte; Portsmouthplatz - Kuhtor - Portsmouthplatz,200
152,2019-07-01 00:00:00,K,Notstand der Menschlichkeit! Für sichere Fluchtwege - gegen Kriminalisierung der Seenotrettung. Freiheit für Rackete!,2019-07-06 00:00:00,12:00-13:00,DU-Stadtmitte; Königstraße / Ecke Düsseldorfer Straße (Lifesaverbrunnen),100
153,2019-07-02 00:00:00,K,Gegen die Durchführung von Tierversuchen,2019-07-13 00:00:00,14:00-16:30,DU-Stadtmitte; Königstraße 44,20
154,2019-07-02 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-07-18 00:00:00,17:00-20:00,DU-Stadtmitte; Königstraße vor dem Forum,5-15
155,2019-07-04 00:00:00,K,Fridays for future - Gemeinsam gegen die Klimakrise,2019-07-19 00:00:00,13:30-15:00,DU-Stadmitte; Hbf - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Königstraße - Forum,100
156,2019-07-04 00:00:00,M,Fridays for future - Gemeinsam gegen die Klimakrise,2019-07-26 00:00:00,14:00-16:00,DU-Stadtmitte; König-Heinrich-Platz,50
157,2019-07-04 00:00:00,K,Fridays for future - Gemeinsam gegen die Klimakrise,2019-08-09 00:00:00,13:30-15:00,DU-Stadmitte; Hbf - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Königstraße - Forum,100
158,2019-07-04 00:00:00,K,Fridays for future - Gemeinsam gegen die Klimakrise,2019-08-30 00:00:00,10:00-12:00,DU-Stadtmitte; Portsmouthplatz - Saarstraße - Landfermannstraße - Nahestraße - Lahnstraße - Mainstraße - Landfermannstraße - Köng-Heinrich-Platz - Königstraße - Lifesaver - Düsseldorfer Straße - Realschulstraße - Cecilienstraße - Kantpark,100
159,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-15 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
160,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-16 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
161,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-17 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
162,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-18 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
163,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-19 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
164,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-20 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
165,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-21 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
166,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-22 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
167,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-23 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
168,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-24 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
169,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-25 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
170,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-26 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
171,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-27 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
172,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-28 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
173,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-29 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
174,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-30 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
175,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-07-31 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
176,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-01 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
177,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-02 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
178,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-03 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
179,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-04 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
180,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-05 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
181,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-06 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
182,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-07 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
183,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-08 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
184,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-09 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
185,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-10 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
186,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-11 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
187,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-12 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
188,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-13 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
189,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-14 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
190,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-15 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
191,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-16 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
192,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-17 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
193,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-18 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
194,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-19 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
195,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-20 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
196,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-21 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
197,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-22 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
198,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-23 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
199,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-24 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
200,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-25 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,20
201,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-26 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
202,2019-07-08 00:00:00,K,Operation: Freiheit für die Delfine im Duisburger Zoo 2019,2019-08-27 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,5
203,2019-07-09 00:00:00,M,Die Bedeutung der Bäume für das Klima,2019-07-13 00:00:00,11:00-14:00,"Du-Neumühl, Bergmannsplatz",8
204,2019-07-22 00:00:00,K,Kritik an Missständen in der Massentierhaltung,2019-08-01 00:00:00,18:00-20:00,DU-Neudorf; Koloniestraße  / Ecke Sternbuschweg,15
205,2019-07-22 00:00:00,K,Gemeinsam den rechten Terror stoppen!,2019-07-26 00:00:00,17:00-19:00,DU-Stadtmitte; Königstraße,30
206,2019-07-23 00:00:00,K,Defend Rojava,2019-07-25 00:00:00,15:00-18:00,DU-Stadtmitte; König-Heinrich-Platz,5-8
207,2019-07-28 00:00:00,K,"Urlaub für alle, stimmt das?",2019-08-05 00:00:00,17:30-19:30,DU-Stadtmitte; Lifesaver-Brunnen,40-50
208,2019-07-25 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-08-03 00:00:00,14:00-17:00,DU-Stadtmitte; Forum,5-15
209,2019-07-25 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-08-16 00:00:00,16:00-19:00,DU-Stadtmitte; Forum,5-15
210,2019-07-30 00:00:00,M,#schütztunsereKinder,2019-08-04 00:00:00,12:00-13:00,DU-Stadtmitte; Portsmouthplatz,30
211,2019-07-30 00:00:00,K,Demo gegen Assad und Putin,2019-08-10 00:00:00,18:00-20:00,DU-Stadtmitte; Portsmouthplatz,60-80
212,2019-08-02 00:00:00,K,Antikriegstag,2019-08-30 00:00:00,16:30-19:30,DU-Stadtmitte; Lifesaver-Brunnen,25-30
213,2019-08-10 00:00:00,K,Auf Missstände in der Massentierhaltung aufkersam machen,2019-08-20 00:00:00,18:00-20:00,DU-Stadtmitte; Königstraße 48,15
214,2019-08-13 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-09-20 00:00:00,12:00-18:00,DU-Stadtmitte; Portsmouthplatz - Königstraße - Kuhtor - Sonnenwall - Friedrich-Wilhelm-Platz - Steinsche Gasse - Poststraße - Gutenbergstraße - Köhnenstraße - Friedrich-Albert-Lange-Platz - König-Heinrich-Platz,1.000
215,2019-08-13 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-09-27 00:00:00,16:00-17:30,DU-Stadtmitte; Friedrich-Wilhelm-Straße - Ruhrorter Straße - Eisenbahnstraße -Homberger Straße - Rheindeichstraße - Lauerstraße - Moerser Straße - (Moers) Homberger Straße - Königlicher Hof - Rathaus,50-100
216,2019-08-15 00:00:00,A (K),Antikriegstag - Stoppt die Barbarei,2019-08-31 00:00:00,12:00-14:30,DU-Stadtmitte; Lifesaver - Königstraße - Averdunkstraße - Friedrich-Wilhelm-Straße - Steinsche Gasse - Königstraße - Kuhtor,50
217,2019-08-17 00:00:00,M,Erhalt der Holzbrücke am Rahmer Bach,2019-08-19 00:00:00,08:00-12:00,DU-Rahm; Holzbrück am Rahmer Bach,10-20
218,2019-08-19 00:00:00,K,Amtsenthebung der Bürgermeister in der Türkei,2019-08-19 00:00:00,18:00:00,DU-Stadtmitte; Königstraße,80-100
219,2019-08-22 00:00:00,K,Verhaftung der HDP-Bürgermeister,2019-08-22 00:00:00,16:00-19:00,DU-Stadtmitte; Portsmouthplatz,40-50
220,2019-08-22 00:00:00,K,Verhaftung der HDP-Bürgermeister,2019-08-22 00:00:00,16:00-19:00,DU-Stadtmitte; Portsmouthplatz,40-50
221,2019-08-22 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-08-30 00:00:00,17:00-20:00,DU-Stadtmitte; König-Heinrich-Platz,5-15
222,2019-08-23 00:00:00,K,Plastikmüll im Meer ,2019-08-25 00:00:00,13:20-15:00,DU-Stadtmitte; Lifesaver-Brunnen,25
223,2019-08-24 00:00:00,M,"""Die Rechte"" - Vorwärts für Duisburg",2019-08-29 00:00:00,12:00-14:00,DU-Stadtmitte; Königstraße,5-10
224,2019-08-27 00:00:00,M,Für Sicherheit und Recht und Ordnung - deutsche Interessen vertreten,2019-08-30 00:00:00,12:00-14:00,DU-Ruhrort; Friedrichsplatz,5-10
225,2019-08-28 00:00:00,K,Protest gegen das Hartz-System - Ein Mensch ist keine Nummer!,2019-09-05 00:00:00,10:00-13:00,DU-Stadtmitte; Jobcenter Duisburg Mitte (Friedrich-Wilhelm-Straße 103),30-50
226,2019-08-28 00:00:00,K,Protest gegen das Hartz-System - Ein Mensch ist keine Nummer!,2019-09-12 00:00:00,10:00-13:00,DU-Stadtmitte; Jobcenter Duisburg Mitte (Friedrich-Wilhelm-Straße 103),30-50
227,2019-08-29 00:00:00,K,Um auf Missstände in der Tierhaltung aufmerksam zu machen,2019-09-06 00:00:00,18:00-20:00,DU-Neudorf; Koloniestraße / Ecke Sternbuschweg,15
228,2019-08-29 00:00:00,K,Um auf Missstände in der Tierhaltung aufmerksam zu machen,2019-09-17 00:00:00,18:00-20:00,DU-Neudorf; Koloniestraße / Ecke Sternbuschweg,15
229,2019-08-29 00:00:00,K,Um auf Missstände in der Tierhaltung aufmerksam zu machen,2019-09-25 00:00:00,18:00-20:00,DU-Stadtmitte; Königstraße 48,15
230,2019-08-29 00:00:00,K,Solidaritätskundgebung für die Freilassung von Ismit Kilic,2019-09-07 00:00:00,14:00-16:00,DU-Stadtmitte; Lifesaver-Brunnen,100-200
231,2019-08-27 00:00:00,M,"Tierschutz, ""Sag nein zur Milch""",2019-10-10 00:00:00,10:00-14:00,DU-Stadtmitte; König-Heinrich-Platz,5-10
232,2019-08-31 00:00:00,K,Die Rechte der Arbeitnehmer,2019-09-02 00:00:00,17:30-19:30,DU-Stadtmitte; Lifesaver-Brunnen,40-50
233,2019-08-30 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-09-13 00:00:00,16:00-19:00,DU-Stadtmitte; Vor dem Forum,5-15
234,2019-09-02 00:00:00,A (K),Fridays for Future,2019-09-06 00:00:00,13:30-15:00,DU-Stadtmitte; Porstmouthplatz - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Königsstraße - König-Heinrich-Platz,100
235,2019-09-05 00:00:00,K,Gegen Zwangsverschleierung im Iran,2019-09-14 00:00:00,12:00-14:30,DU-Stadtmitte; Königstraße,15-20
236,2019-09-10 00:00:00,M,Die Rechte - Vorwärts für Duisburg,2019-09-14 00:00:00,09:00-11:00,DU-Neumühl; Holtener Straße,5-10
237,2019-09-13 00:00:00,A (K),Änderung des Fahrplans der DVG,2019-09-28 00:00:00,14:00-15:30,DU-Ungelsheim; Schwazer Weg,-
238,2019-09-16 00:00:00,K,Solidarität mit HDP-Bürgermeistern / Weg mit den Zwangsverwaltern,2019-09-18 00:00:00,16:00-18:00,DU-Stadtmitte; König-Heinrich-Platz,30-40
239,2019-09-16 00:00:00,A (K),Rettet die Sechs-Seen-Platte,2019-09-20 00:00:00,10:00-12:45,DU-Wedau; Kreisverkehr Kalkweg/Wedauer Straße - Kalkweg - Heimweg - Markt - Zu den Eichen - Wedauer Straße - Masurenallee - Wedauer Brücke - Bissingheimer Straße - Koloniestraße - Sternbuschweg - Schemkesweg - Oststraße - Hbf Osteingang - Portsmouthplatz,15-25
240,2019-09-16 00:00:00,K,"Swarming ""Aufstand gegen das Aussterben""",2019-09-20 00:00:00,16:00-18:00,DU-Stadtmitte; Saarstraße,40
241,2019-09-16 00:00:00,A (K),Demo gegen Assad ,2019-09-21 00:00:00,17:00-20:00,DU-Stadtmitte; Portsmouthplatz - Königstraße - Schiffsmaskenbrunnen,60-100
242,2019-09-18 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-09-27 00:00:00,17:00-20:00,DU-Stadtmitte; König-Heinrich-Platz,5-15
243,2019-09-25 00:00:00,K,SPD: Nicht umfallen beim Klimaschutz!,2019-10-06 00:00:00,08:45-11:00,DU-Stadtmitte; König-Heinrich-Platz,40
244,2019-09-28 00:00:00,K,Bundesweite Montagsdemo,2019-09-30 00:00:00,17:30-19:03,DU-Stadtmitte; Lifesaver-Brunnen,40-50
245,2019-09-27 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-10-04 00:00:00,13:30-15:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Poststraße - Burgplatz - Rathaus,150
246,2019-09-27 00:00:00,M,Fridays for future - Gemeinsam gegen die Klimakrise,2019-10-11 00:00:00,14:00-16:00,DU-Stadtmitte; König-Heinrich-Platz,25
247,2019-09-27 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-10-18 00:00:00,13:30-15:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Königstraße - König-Heinrich-Platz,150
248,2019-09-27 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2019-11-01 00:00:00,13:30-15:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Sonnenwall - Kuhtor - Königstraße - König-Heinrich-Platz,150
249,2019-09-27 00:00:00,K,Fridays for future - Gemeinsam gegen die Klimakrise,2019-11-08 00:00:00,14:30-16:00,DU-Stadtmitte; Burgplatz,150
250,2019-09-30 00:00:00,A (K),Protest gegen nachteilige Planung des ÖPNV für Ungelsheim und den DU-Süden,2019-10-05 00:00:00,14:00-15:00,DU-Ungelsheim; Schwarzer Weg - HS Rosenbergstraße - Ungelsheimer Straße - Im Höschegrund - Graf-Spree-Straße - Mündelheimer,100-120
251,2019-09-18 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-10-04 00:00:00,17:00-20:00,DU-Stadtmitte; König-Heinrich-Platz,5-15
252,2019-10-07 00:00:00,K,Einmarsch türkischer Streitkräfte in Nordsyrien,2019-10-07 00:00:00,18:00-19:00,DU-Stadtmitte; Portsmouthplatz,20-40
253,2019-10-07 00:00:00,K,"Warnstreik in de Gebäudereinigung bei ThyssenKrupp ""Aufstand der Unsichtbaren""",2019-10-10 00:00:00,04:00-12:00,DU-Hamborn; 1. Kaiser-Wilhelm-Straße 100 (Thyssen Tor 1); 2. Franz-Lenze-Straße 3 ,150
254,2019-10-07 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-10-11 00:00:00,17:00-20:00,DU-Stadtmitte; König-Heinrich-Platz,5-15
255,2019-10-07 00:00:00,K,"Tierrechte, Tierausbeutung, Veganismus, Klimawandel etc",2019-10-18 00:00:00,17:00-20:00,DU-Stadtmitte; König-Heinrich-Platz,5-15
256,2019-10-09 00:00:00,A (K),Der Einmarsch der türkischen Truppen in Nord Syrien,2019-10-10 00:00:00,18:00-20:00,DU-Dtadtmitte; Lifesaver-Brunnen - Königstaße - Kuhtor - Sonnenwall - Friedrich-Wilhelm-Straße -  Portsmouthplatz,100-150
257,2019-09-10 00:00:00,M,Die Rechte - Vorwärts für Duisburg,2019-10-12 00:00:00,10:00-12:00,"Du-Hamborn, Altmarkt ",5-10
258,2019-10-09 00:00:00,K,Den rechten Terror stoppen! ,2019-09-10 00:00:00,17:00-18:00,DU-Stadtmitte,30
