"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Datum
285.0,2020-10-06 00:00:00,Thüringer Bauernverband e.V.,Hamsterschutz nur gemeinsam mit Landwirtschaft,Regierungsstraße ggü. 3,2020-10-06 00:00:00,09:30 - 10:30 Uhr,20.0,,,,,,,,,,,20.0
286.0,2020-10-07 00:00:00,Einzelperson,Internationaler Tag gegen die Todesstrafe,Willy-Brandt-Platz,2020-10-10 00:00:00,16.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
287.0,2020-10-08 00:00:00,Einzelperson,Hartz IV - Gegen die Rechtsentwicklung,Fischmarkt,2020-10-10 00:00:00,11.30 - 13.30 Uhr,20.0,,,,,,,,,,,20.0
288.0,2020-10-09 00:00:00,BI Gegenwind,"Präsenz der Unterstützer zur Petitionsanhörung: Wir sagen NEIN zur Windkraft im Kleinen Thüringer Wald, dem Waldauer Berg und der Vorderröhn",Landtag,2020-10-15 00:00:00,14:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
289.0,2020-10-09 00:00:00,Einzelperson,Gedenken an den Mordanschlag von Halle,Willy-Brandt-Platz,2020-10-09 00:00:00,11.45 - 12.20 Uhr,20.0,,,,,,,,,,,20.0
290.0,2020-09-02 00:00:00,Einzelperson,Für die Freiheit und die Rechte der Menschen ,Domplatz,2020-10-17 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
291.0,2020-10-12 00:00:00,Einzelperson,"Aktion Kastenstände - ""Schweine verdienen mehr Platz""",Fischmarkt,2020-10-17 00:00:00,10.00 - 12.00 Uht,20.0,,,,,,,,,,,20.0
292.0,2020-10-14 00:00:00,ver.di Thüringen,Warnstreik TVöD,Fischmarkt,2020-10-21 00:00:00,07:00 - 11:00 Uhr,20.0,,,,,,,,,,,20.0
293.0,2020-10-15 00:00:00,Gewerkschaft Erziehung und Wissenschaft Thüringen GEW Thüringen,Roter Teppich für die Alltagsheld*innen - Aktion in der Tarifrunde für den öffentlichen Dienst,Fischmarkt,2020-10-20 00:00:00,16.00 - 16.30 Uhr,20.0,,,,,,,,,,,20.0
294.0,2020-10-15 00:00:00,FridaysFor Future,,"Juri-Gagarin-Ring Fahrtrichtung Westen, vor Kreuzung Bahnhofstraße, vor der Deutschen Bank",2020-10-30 00:00:00,14:00 - 16:00 Uhr,20.0,,,,,,,,,,,20.0
295.0,2020-10-16 00:00:00,Neue Stärke Erfurt e.V.,Taten statt Worte! - Zeit zum Handeln! - Rücktritt Czentarra JETZT!,Scharnhorststraße,2020-11-17 00:00:00,15.00 - 16.45 Uhr,20.0,,,,,,,,,,,20.0
296.0,2020-10-19 00:00:00,Initiative Decolonize Erfurt,Für die Umbenennung des Nettelbeckufers in Gert-Schramm-Ufer,Fischmarkt,2020-10-31 00:00:00,13:45 - 16:30 Uhr,20.0,,,,,,,,,,,20.0
297.0,2020-10-19 00:00:00,Radentscheid Erfurt n.e.V.,Videodreh für Bürgerbegehren Radentscheid Erfurt,Domplatz,2020-10-25 00:00:00,14:00 - 15:30 Uhr,20.0,,,,,,,,,,,20.0
298.0,2020-09-02 00:00:00,Einzelperson,Für die Freiheit und die Rechte der Menschen,Domplatz / Anger (vor Lutherdenkmal),2020-10-24 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
299.0,2020-09-02 00:00:00,Einzelperson ABGESAGT ,Für die Freiheit und die Rechte der Menschen,Domplatz / Anger (vor Lutherdenkmal),2020-10-31 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
300.0,2020-09-02 00:00:00,Einzelperson ABGESAGT ,Für die Freiheit und die Rechte der Menschen,Domplatz / Anger (vor Lutherdenkmal),2020-11-07 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
301.0,2020-09-02 00:00:00,Einzelperson,Für die Freiheit und die Rechte der Menschen,Domplatz / Anger (vor Lutherdenkmal),2020-11-14 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
302.0,2020-09-02 00:00:00,Einzelperson ABGESAGT,Für die Freiheit und die Rechte der Menschen,Domplatz / Anger (vor Lutherdenkmal),2020-11-21 00:00:00,15.30 -18.00 Uhr,20.0,,,,,,,,,,,20.0
303.0,2020-09-02 00:00:00,Einzelprson,Für die Freiheit und die Rechte der Menschen,Domplatz / Anger (vor Lutherdenkmal),2020-11-28 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
304.0,2020-09-02 00:00:00,Einzelperson ABGESAGT ,Für die Freiheit und die Rechte der Menschen,Domplatz / Anger (vor Lutherdenkmal),2020-12-05 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
305.0,2020-09-02 00:00:00,Einzelperson,Für die Freiheit und die Rechte der Menschen,Domplatz / Anger (vor Lutherdenkmal),2020-12-12 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
306.0,2020-09-02 00:00:00,Einzelperson ABGESAGT,Für die Freiheit und die Rechte der Menschen,Domplatz / Anger (vor Lutherdenkmal),2020-12-19 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
307.0,2020-09-02 00:00:00,Einzelperson ABGESAGT,Für die Freiheit und die Rechte der Menschen,Domplatz / Anger (vor Lutherdenkmal),2020-12-26 00:00:00,15.30 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
308.0,2020-10-21 00:00:00,Critical Mass Erfurt,"Aufmerksamkeit schaffen, für Verbesserung der Radverkehrsbedingungen in um Erfurt","Willy-Brandt-Platz (Auftaktkundgebung) --> Kurt-Schumacher-Straße --> Trommsdorffstraße --> Juri-Gagarin-Ring --> Johannesstraße  Schlüterstraße --> Nordstraße --> Talstraße --> Bergstraße -->  Nordhäuser Straße --> Wende in Höhe Riethstraße / August-Schleicher-Straße --> Nordhäuser Straße --> Erhard-Etzlauf-Straße --> Mühlhäuser Straße --> Veilchenstraße
--> Nordhäuser Straße -->  Bergstraße --> Blumenstraße --> Albrechtstraße --> Gutenbergstraße --> Blumenstraße --> Moritzwallstraße --> Schlüterstraße --> Johannesstraße --> Juri-Gagarin-Ring --> Dalbergsweg -->  Walkmühlstraße --> Bonifaciusstraße --> Bonemilchstraße --> Maximilian-Welsch-Straße --> Lauentor --> Domplatz (Abschluss)",2020-10-30 00:00:00,18:30 - 20:00 Uhr,20.0,,,,,,,,,,,20.0
309.0,2020-10-22 00:00:00,Global Bio Gardens an der Universität Erfurt / Willy Brandt School,Mahnwache von nigerianischen Studenten,Fischmarkt,2020-10-24 00:00:00,12.00 - 15.00 Uhr,20.0,,,,,,,,,,,20.0
310.0,2020-10-23 00:00:00,Ahmadiyya Muslim Jamaat KdöR,Muslime für Frieden,Anger,2020-10-24 00:00:00,11:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
311.0,2020-10-23 00:00:00,"Initiative Schwarze Menschen in Deutschland (ISD), Decolonize Erfurt, Blinde Flecken Erfurt","""Vergessene Geschichten"" - Mahngang",Domplatz --> Hütergasse / Ecke Gotthardstraße --> Ecke Futter / Johannesstraße --> Augustinerkloster / Ecke am Hügel (Zwischenkundgebungen jeweils an den genannten Straßenecken von jeweils 15-20 Minuten,2020-11-06 00:00:00,19:00 - 20:30 Uhr,20.0,,,,,,,,,,,20.0
312.0,2020-10-28 00:00:00,Einzelperson,Tag der Solidarität mit Kobane,Willy-Band-Platz (Auftaktkundgebung  ca. 30 Minuten) --> Bahnhofstraße --> Juri-Gagarin-Ring --> Eichenstraße --> Lange Brücke --> Kettenstraße --> Domplatz (Abschlusskundgebung ca. 30 Minuten),2020-10-30 00:00:00,14:00 - 16:00 Uhr,20.0,,,,,,,,,,,20.0
313.0,2020-10-29 00:00:00,Fridays For Future Erfurt,Lichterdemonstration zum Thema Black Friday,Angerdreieck (Startkundgebung) --> Krämpferufer --> Juri-Gagarin-Ring --> Bahnhofstraße --> Willy-Brandt-Platz (Abschlusskundgebung),2020-11-27 00:00:00,17:00 - 19:00 Uhr,20.0,,,,,,,,,,,20.0
314.0,2020-10-30 00:00:00,Bürger für Thüringen e.V.,Kundgebung für Freiheit und Demokratie,Haupteingang vor Steigerwaldstadion,2020-11-03 00:00:00,13:00 - 15:00 Uhr,20.0,,,,,,,,,,,20.0
315.0,2020-10-30 00:00:00,AfD Kreisverband Mittelthüringen,Eigenverantwortung statt Verbote. Wir sind erwachsene Menschen,vor dem Steigerwaldstadion / Mozartallee,2020-11-03 00:00:00,13.00 - 15.00 Uhr,20.0,,,,,,,,,,,20.0
316.0,2020-10-29 00:00:00,AfD Landesverband Thüringen ABGESAGT !!,Aushebelung des Rechtsstaates,Domplatz,2020-11-07 00:00:00,17.00 - 19.00 Uhr,20.0,,,,,,,,,,,20.0
317.0,2020-11-03 00:00:00,Umweltgewerkschaft,Weltklimatag,Fischmarkt,2020-11-14 00:00:00,12:00 - 13:30 Uhr,20.0,,,,,,,,,,,20.0
318.0,2020-11-04 00:00:00,GRÜNE Erfurt,"Aktion Kastenstände - ""Schweine verdienen mehr Platz""",Fischmarkt,2020-11-14 00:00:00,10.00 - 13.00 Uhr,20.0,,,,,,,,,,,20.0
319.0,2020-11-05 00:00:00,Einzelperson,"Coronamaßnahmen, Lockdown, Hygiene-Verordnung",Domplatz (Obelisk),05.11. - 30.11.2020 tgl.,18.00 - 19.30 Uhr,20.0,,,,,,,,,,,20.0
320.0,2020-11-11 00:00:00,Seebrücke Erfurt,Leave No One Behind!,Fischmarkt,2020-11-21 00:00:00,13:30 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
321.0,2020-11-13 00:00:00,VCD,"Critical Mass - ""Lichterfahrt in den Advent""",Aufzug,2020-11-27 00:00:00,18:30 - 20:00 Uhr,,,,,,,,,,,,20.0
322.0,2020-11-12 00:00:00,Einzelperson,FÜR DIE FREIHEIT UND DIE RECHTE DER MENSCHEN,Willy-Brandt-Platz,2020-11-14 00:00:00,15.00 - 18.00 Uhr,,,,,,,,,,,,20.0
323.0,2020-11-16 00:00:00,Einzelperson,Bus und Bet --- Tage Wir entschleunigen das Land. Denkpause zum 3 Infektionsschutzkonzept.,gesamtes Straßennetz des Landes,2020-11-16 00:00:00,00:00 - 24:00 Uhr,,,,,,,,,,,,20.0
324.0,2020-11-16 00:00:00,Einzelperson,Bus und Bet --- Tage Wir entschleunigen das Land. Denkpause zum 3 Infektionsschutzkonzept.,gesamtes Straßennetz des Landes,2020-11-17 00:00:00,00:00 - 24:00 Uhr,,,,,,,,,,,,20.0
325.0,2020-11-16 00:00:00,Einzelperson,Bus und Bet --- Tage Wir entschleunigen das Land. Denkpause zum 3 Infektionsschutzkonzept.,gesamtes Straßennetz des Landes,2020-11-18 00:00:00,00:00 - 24:00 Uhr,,,,,,,,,,,,20.0
326.0,2020-11-16 00:00:00,Einzelperson,Bus und Bet --- Tage Wir entschleunigen das Land. Denkpause zum 3 Infektionsschutzkonzept.,gesamtes Straßennetz des Landes,2020-11-19 00:00:00,00:00 - 24:00 Uhr,,,,,,,,,,,,20.0
327.0,2020-11-16 00:00:00,Interessengemeinschaft gestohlene Kinder in der DDR,Wir lassen nicht locker,P+R Parkplatz Gothaer Straße --> Hochheim --> Thüringer Landtag --> Clara-Zetkin-Straße --> Gedenkstätte Andreasstraße --> Maximilian-Welsch-Straße --> Bonemilchstraße --> Bonifaciusstraße --> Walkmühlstraße --> Dalbergsweg --> Juri-Gagarin-Ring --> Lachsgasse --> Weitergasse --> Barfüßerstraße --> Meister-Eckehart-Straße --> Paulstraße --> Lange Brücke --> Regierungsstraße --> Klostergang --> Neuwerkstraße --> Regierungsstraße --> Staatskanzlei (Abschluss),2020-12-01 00:00:00,12:00 - 15:00 Uhr,,,,,,,,,,,,20.0
328.0,2020-11-23 00:00:00,Einzelperson,"Fahrraddemo zum 5. Jahrestag Klimaabkommen Paris
","Fahrraddemo über Stadtrodaer Straße und BAB 4 nach Erfurt, Zwischenstop am Klimacamp Paradies und Autobahnabfahrt Weimar, Auftaktkundgebung Holzmarkt Jena, Abschlusskundgebung Willy-Brandt-Platz ",2020-11-29 00:00:00,"10:30 - 14:30 Uhr


15:00 - 16:00 Uhr",,,,,,,,,,,,20.0
329.0,2020-11-24 00:00:00,Der Dritte Weg,Winterhilfe ,vor der Tafel Auenstraße 55,2020-12-05 00:00:00,15:00 - 17:00 Uhr,,,,,,,,,,,,20.0
330.0,2020-11-25 00:00:00,Parents For Future Erfurt,5 Jahre Pariser Klimaschutzabkommen,"Radtour von Erfurt (Hauptbahnhof) nach Eisenach, Markt - über: Schmira-Frienstedt-Gamstädt-Tüttleben-Gotha-Sundhausen-Leina-Hörselgau-Laucha-Mechterstädt-Sättelstädt-Wutha",2020-11-30 00:00:00,09:00 - 16:00 Uhr,,,,,,,,,,,,20.0
331.0,2020-11-25 00:00:00,Einzelperson,"Corona-Maßnahmen, Lockdown. Hygiene. Verordnung ",Domplatz am Obelisk,01.12.2020 - 31.12.2020 (tägl.),18:00 - 19:30 Uhr,,,,,,,,,,,,20.0
332.0,2020-11-27 00:00:00,Einzelperson,"Gemeinsam für Frieden, Freiheit, und Gerechtigkeit",Domplatz,2020-12-02 00:00:00,18:00 - 19:30 Uhr,,,,,,,,,,,,20.0
333.0,2020-11-30 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-12-12 00:00:00,14:00 - 17:00 Uhr,,,,,,,,,,,,20.0
334.0,2020-11-30 00:00:00,Augustiner Kantorei / Evangelischer Kirchenkreis,Advents-Andacht,Domplatz  - Domstufen,2020-12-12 00:00:00,15.30 - 16.00 Uhr,,,,,,,,,,,,20.0
335.0,2020-12-04 00:00:00,Offene Arbeit des Kirchenkreises Erfurt & Aktionskreis für Frieden Erfurt,Abrüsten statt Aufrüsten!,Angerdreieck,2020-12-05 00:00:00,14:30 - 16:30 Uhr,,,,,,,,,,,,20.0
336.0,2020-12-07 00:00:00,Seebrücke Erfurt,#WärmeFürAlle - LAP umsetzen! Klafe jetzt!,Fischmarkt,2020-12-13 00:00:00,12:30 - 16:00 Uhr,,,,,,,,,,,,20.0
337.0,2020-12-07 00:00:00,Parents for Future Erfurt,Fairliche Weihnachten - Weihnachten nachhaltig gestalten,Angerdreieck,2020-12-11 00:00:00,17:00 - 19:00 Uhr,,,,,,,,,,,,20.0
338.0,2020-12-07 00:00:00,FREIES KOLLEKTIV KAFFETRICHTER,Gegenkundgebung zu Querdenken,Domplatz,2020-12-12 00:00:00,15:30 - 20:00 Uhr,,,,,,,,,,,,20.0
339.0,2020-12-09 00:00:00,Einzelpersonen,Für eine bessere Radverkehrspolitik in Erfurt,Fischmarkt,2020-12-22 00:00:00,10:00 - 11:00 Uhr,,,,,,,,,,,,20.0
340.0,2020-12-10 00:00:00,Einzelperson,GEZ Gebühren,Anger vor Lutherdenkmal,2020-12-12 00:00:00,18:15 - 19:15 Uhr,,,,,,,,,,,,20.0
341.0,2020-12-08 00:00:00,Fridays for Future,Für eine sozial-ökologische Verkehrswende in Erfurt,Fischmarkt,2020-12-15 00:00:00,17:00 - 19:00 Uhr,,,,,,,,,,,,20.0
342.0,2020-12-17 00:00:00,Einzelperson,Weihnachtsmusik am Tannenbaum,Domplatz,2020-12-20 00:00:00,15.00 - 18.00 Uhr,,,,,,,,,,,,20.0
,,,,,,,,,,,,,,,,,,20.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
