lfd. Nr.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Vers.,Zeit
73,2013-04-17 00:00:00,IG Metall Erfurt,Plus für uns -Plus für alle- Tarifbewegung 2013 in der Metall- und Elektroindustrie,hinter der Kaufmannskirche Freifläche Meienbergstraße /Kaufmännerstraße,2013-04-25 00:00:00,9:30-11:00
74,2013-04-16 00:00:00,Landesjugendwerk der AWO Thüringen,1. Mai Nazifrei,Stadtpark Treppe am Ausgang Richtung Hauptbahnhof,2013-05-01 00:00:00,10:00 - 18:00
75,2013-04-18 00:00:00,DGB Thüringen,Erhalt der Arbeitsplätze bei Bosch-Solar Arnstadt,Jürgen-Fuchs-Straße 1,2013-04-25 00:00:00,08.00 - 10.30
76,2013-04-19 00:00:00,Pro Erfurt e.V.,"""Arbeit, Recht und Freiheit-Heraus zum 1. Mai !""",Rieth Vilniuspassage,2013-04-22 00:00:00,18:00 -19:00
77,2013-04-19 00:00:00,Pro Erfurt e.V.,"""Arbeit, Recht und Freiheit-Heraus zum 1. Mai !""",Moskauer Platz,2013-04-23 00:00:00,18:00 -19:00
78,2013-04-19 00:00:00,Pro Erfurt e.V.,"""Arbeit, Recht und Freiheit-Heraus zum 1. Mai !""",Roter Berg,2013-04-24 00:00:00,18:00 -19:00
79,2013-04-19 00:00:00,Pro Erfurt e.V.,"""Arbeit, Recht und Freiheit-Heraus zum 1. Mai !""",Willy-Brandt-Platz,2013-04-25 00:00:00,18:00 -19:00
80,2013-04-19 00:00:00,Pro Erfurt e.V.,"""Arbeit, Recht und Freiheit-Heraus zum 1. Mai !""",Anger Lutherdenkmal,2013-04-26 00:00:00,18:00 -19:00
81,2013-04-23 00:00:00,"Bündnis 90/Die Grünen, Die Linke, SPD im Thüringer Landtag","""Mein Quadratmeter für keinen Meter"" - Mobilisierung gegen den Naziaufmarsch am 1. Mai","vor Thüringer Landtag, Jürgen-Fuchs-Straße",2013-04-25 00:00:00,13.00 - 14.00
82,2013-04-22 00:00:00,Bund der Heimatvertriebenen e.V.,Gedenken an die Opfer von Flucht und Vertreibung nach dem 2. WK,Hauptfriedhof,2013-05-04 00:00:00,10:00 -11:00
83,2013-04-23 00:00:00,Deutsch-Russische Freundschaftsgesellschaft in Thüringen e.V.,Gedenkveranstaltung aus Anlass des 68.Jahrestages der Befreiung vom Hitlerfaschismus ,Hauptfriedhof,2013-05-08 00:00:00,10:00 -11:00
84,20.03.13 / 03.05.13,DIE LINKE. Erfurt,80. Jahrestag Bücherverbrennung,"Anger 1, vor dem Ursulinenkloster",2013-04-07 00:00:00,15.00 - 17.30
85,2013-05-03 00:00:00,CDU Erfurt,Aktuelle Lage,keine Angabe,2013-06-17 00:00:00,15.30 - 18.30
86,2013-05-07 00:00:00,"Pro Erfurt e.V., Dirk Bachmann","8. Mai, Tag der Befreiung","Marktplatz Drosselberg, gegenüber Haltestelle Straßenbahn",2013-05-12 00:00:00,14.00 - 16.00
87,2013-05-03 00:00:00,Einzelperson,Erinnerungen an Solingen und den Alltagsrassismus,"Dendrologischer Garten, 200 qm",2013-05-12 00:00:00,16.20 - 19.00
88,2013-05-08 00:00:00,"Grüne Jugend Erfurt, QueErfurt, Juso Hochschulgruppe, Campusgrün, Uni Erfurt",Same Sex Handholding anlässlich des Internationalen Tages gegen Homophobie,"Anger, Angerkreuz",2013-05-17 00:00:00,18.20 - 19.00
89,2013-05-13 00:00:00,ver.di,Auftaktveranstaltung zur Tarifrunde im Einzelhandel,"Anger, vor dem neuen Angerbrunnen",2013-05-16 00:00:00,12.00 - 14.00
90,2013-05-14 00:00:00,die betroffenen Bürger von Mittelhausen,Saubere Luft für Mittelhausen,Bürgerhaus Mittelhausen Kühnhäuser Straße 11,2013-05-21 00:00:00,18:30-19:00
91,2013-05-15 00:00:00,"Stattreisen Erfurt, Geschichten am Wege e.V.","""Die Flammzeichen rauchen…"", Gedenken an eine Erfurter Bücherverbrennung 1933","Platz vor der Hauptbibliothek, Domplatz",2013-05-25 00:00:00,11.00 - 13.00 
92,2013-05-16 00:00:00,Flüchtlingsrat Thüringen e.V.,"""Residenzpflicht abschaffen""","Erfurt, Jürgen-Fuchs-Straße 1",2013-05-24 00:00:00,08.30 -11.00
93,2013-05-21 00:00:00,The Voice Refugee Forum,"""Residenzpflicht""",vor dem Erfurter Hauptbahnhof,2013-05-22 00:00:00,ab 17.00
94,2013-05-16 00:00:00,PETA Deutschland e.V.,"""PETAs Anti-Milch-Aktion","Anger, nähe des neuen Angerbrunnens",2013-06-06 00:00:00,09.00 - 10.10
