Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung / Aufzugsstrecke,Datum der Versammlung,Uhrzeit der Versammlung
48.0,2018-02-22 00:00:00,BUND Thüringen e.V. Stadtverband Erfrt,Fukushima-Mahnwache,Angerdreieck,2018-03-12 00:00:00,17.30 – 18.30 Uhr
49.0,2018-02-27 00:00:00,Southern Cameroons Community Germany (SCCG) e.V.,Thüringen kann den Bundestag gegen den anhaltenden Krieg in Süd-Kamerun (Ambaziona) beeinflussen,"Vor Staatskanzlei, Regierungsstraße 73",2018-03-23 00:00:00,10.30 – 14.30 Uhr
50.0,2018-02-27 00:00:00,Thüringer Folklore Ensemble Erfurt e.V.,Tanz verbindet Kulturen!,Aufzug Domplatz à Innenstadt à Domplatz,2018-06-30 00:00:00,10.00 – 12.00 Uhr
51.0,2018-02-22 00:00:00,Ostermarschbündnis und Bündnis für soziale Gerechtigkeit,"""Abrüsten statt Aufrüsten""",Vor Anger 1,2018-03-29 00:00:00,16.00 – 18.00 Uhr
52.0,2018-03-05 00:00:00,Einzelperson,Unterstützung für Kandel,Fischmarkt,2018-03-08 00:00:00,16.00 – 18.00 Uhr
53.0,2018-03-02 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz gegen Massentierhaltung,Vor Anger 1,2018-03-10 00:00:00,15.00 – 17.00 Uhr
54.0,2018-02-23 00:00:00,Erfurter Rollrunde e.V.,Spass am Rollen – Bahn frei für alternative Fortbewegungsmittel,Aufzug Willy-Brandt-Platz à Lauentor,2018-06-09 00:00:00,12.00 – 13.00 Uhr
,,,,,geä.: 01.09.2018,
55.0,2018-03-06 00:00:00,VCD e.V.,"Fahrraddemonstration ""Volksfahrräder für den Frieden""",Aufzug Willy-Brandt-Platz à Anger,2018-03-14 00:00:00,17.00 – 18.00 Uhr
56.0,2018-03-05 00:00:00,DIE LINKE Erfurt,Ehrung der Märzgefallenen,Hauptfriedhof,2018-03-17 00:00:00,14.30 – 15.30 Uhr
57.0,2018-03-07 00:00:00,AfD Kreisverband Mittelthüringen,Abschlussveranstaltung Oberbürgermeisterwahlen des AfD-Kreisverbandes Mittelthüringen,Vor Anger 1,2018-04-14 00:00:00,10.00 – 16.00 Uhr
58.0,2018-02-21 00:00:00,CDU Erfurt,Politische Veranstaltung im Rahmen des OB-Wahlkampfes,Wenigemarkt,2018-04-13 00:00:00,10.00 – 18.00 Uhr
59.0,2018-03-07 00:00:00,Ver.di Thüringen,"Preisverleihung ""Gute Arbeit im Öffentlichen Dienst"", Aktion der Tarifrunde für Kommunen und Bund 2018",Willy-Brandt-Platz,2018-03-20 00:00:00,08.00 – 12.30 Uhr
60.0,2018-03-12 00:00:00,Einzelperson,Unterstützung für Kandel,Fischmarkt,2018-03-15 00:00:00,16.00 – 18.00 Uhr
61.0,2018-03-12 00:00:00,Einzelperson,Newroz,Bahnhofsvorplatz zum Domplatz,2018-03-24 00:00:00,16.00-21.00 Uhr
62.0,2018-03-14 00:00:00,Gewerkschaft Erziehung und Wissenschaft Thüringen (GEW Thüringen),Ja 13 für alle,"Thüringer Landtag, Jürgen-Fuchs-Straße",2018-04-25 00:00:00,16:00-17:30 Uhr
63.0,2018-03-15 00:00:00,DGB Thüringen,Nazis nein Danke,Willy-Brandt-Platz,2018-04-30 00:00:00,17:00 -19:00 Uhr
64.0,2018-03-15 00:00:00,DBB Deutscher Beamtenbund und Tarifunion,Einkommensrunde 2018 mit Bund und Kommunen,Alfred-Hess-Straße 31 a ggü. KAV Thüringen,2018-04-10 00:00:00,10:00 -11:30 Uhr
65.0,2018-03-19 00:00:00,Einzelperson,Für Religionsfreiheit,Vor Fischmarkt 13,2018-03-21 00:00:00,17.00 – 19.00 Uhr
66.0,2018-03-19 00:00:00,Gewerkschaft Erziehung und Wissenschaft Thüringen,Warnstreik TvöD,Von der Heinrich-Mann-Straße 22 zum Willy-Brandt-Platz ,2018-03-20 00:00:00,8:30-9:00 Uhr
67.0,2018-03-21 00:00:00,Einzelperson,Weltwassertag,Vom Fischmarkt zum Domplatz,2018-03-22 00:00:00,17:00 -18:00 UHr
68.0,2018-03-20 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz gegen Massentierhaltung,Vor Anger 1,2018-03-24 00:00:00,16.00 – 19.00 Uhr
,,,,,,
69.0,2018-03-18 00:00:00,Critical Mass Erfurt,"Verkehrspolitische Radtour – Wir behindern nicht den Verkehr, wir sind der Verkehr",Aufzug: Willy-Brandt-Platz à Fischmarkt,2018-03-30 00:00:00,18.30 – 20.00 Uhr
70.0,2018-03-20 00:00:00,DFG-VK,"Staffellauf gegen Rüstungsexporte ""Frieden geht""","Bindersleben, Domplatz",2018-05-29 00:00:00,11.00 – 14.00 Uhr
71.0,2018-03-15 00:00:00,Einzelperson,"""420 Sit in"" Legalisierung von Cannabis",Stadtparktreppe,2018-04-20 00:00:00,16.00 – 17.30 Uhr
72.0,2018-03-07 00:00:00,Einzelperson,Für Religionsfreiheit,Vor Fischmarkt 13,2018-03-07 00:00:00,17.00 – 19.00 Uhr
73.0,2018-03-26 00:00:00,Einzelperson,Für Religionsfreiheit,Vor Fischmarkt 13,2018-03-28 00:00:00,17.00 – 19.00 Uhr
74.0,2018-03-12 00:00:00,Interessengemeinschaft Gestohlene Kinder in der DDR,Fahrt für Gerechtigkeit,Domplatz ggü. Landgericht,2018-04-04 00:00:00,11.00 – 11.30 Uhr
75.0,2018-03-26 00:00:00,Einzelperson,Gemeinschaft und Gesellschaft in der Stadt,Anger,2018-04-09 00:00:00,17.00 – 19.00 Uhr
76.0,2018-03-29 00:00:00,Grüne Jugend Erfurt,Blumen statt Beton  - für mehr Umweltschutz in Erfurt,Angerdreieck,2018-04-03 00:00:00,16.00 – 19.00 Uhr
77.0,2018-03-29 00:00:00,Grüne Jugend Thüringen,"Ticketlöser ÖPNV – im Rahmen der landesweiten Kampagne der Grünen Jugend Thüringen ""Unsere Stadt? Kann anders!""",Vor Anger 1,2018-04-06 00:00:00,15.00 – 18.00 Uhr
78.0,2018-03-27 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Vor Anger 1,2018-04-21 00:00:00,16.00 – 19.00 Uhr
79.0,2018-03-27 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Fischmarkt,2018-05-12 00:00:00,16.00 – 19.00 Uhr
80.0,2018-03-30 00:00:00,Einzelperson,Für Religionsfreiheit,Vor Fischmarkt 13,2018-04-04 00:00:00,17.00 – 19.00 Uhr
81.0,2018-03-21 00:00:00,DGB Region Thüringen,Für ein europaweites Mindesteinkommen jetzt!,Anger ,2018-05-31 00:00:00,08.00 – 21.00 Uhr
82.0,2018-04-09 00:00:00,Einzelperson,Für Religionsfreiheit,Vor Fischmarkt 14,2018-04-11 00:00:00,18.00 – 20.00 Uhr
83.0,2018-04-09 00:00:00,Grüne Jugend Thüringen,Blumen statt Beton  - für mehr Umweltschutz in Städten,Vor Anger 1,2018-04-11 00:00:00,16.30 – 19.00 Uhr
84.0,2018-04-05 00:00:00,Linksjugend [`solid] Thüringen,Nachttanzdemo zum Tag der Befreiung vom deutschen Faschismus,Willy-Brandt-Platz à Innenstadt à Willy-Brandt-Platz,2018-05-08 00:00:00,19.30 – 22.00 Uhr
85.0,2018-04-08 00:00:00,"Deutsch-Russische Freudnschaftsgesellschaft in Thüringen e.V., Ortsgruppe Erfurt; DIE LINKE Erfurt",8. Mai – Tag der Befreiung: Nie wieder Krieg!,Vor Anger 1 ,2018-05-08 00:00:00,16.30 – 18.30 Uhr
86.0,2018-04-09 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz gegen Massentierhaltung,Vor Anger 1,2018-04-12 00:00:00,15.30 – 18.30 Uhr
,,,,,,
87.0,2018-04-09 00:00:00,Erfurt zeigt Gesicht,Politische und gesellschaftliche Missstände,Fischmarkt,2018-05-05 00:00:00,14.00 – 16.00 Uhr
,,,,,2018-06-02 00:00:00,
,,,,,2018-07-14 00:00:00,
,,,,,2018-08-04 00:00:00,
,,,,,ABGESAGT,
,,,,,2018-09-08 00:00:00,
,,,,,ABGESAGT,
,,,,,2018-10-13 00:00:00,
,,,,,ABGESAGT,
,,,,,2018-11-10 00:00:00,
,,,,,ABGESAGT,
88.0,2018-04-13 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz gegen Massentierhaltung,Vor Anger 1,2018-04-20 00:00:00,15.00 – 18.00 Uhr
,,,,,,
89.0,2018-04-13 00:00:00,DIE Partei LV Thüringen,1.Mai – Tag der Arbeiterklasse,Südl. Ring,2018-05-01 00:00:00,09.00 – 12.30 Uhr
90.0,2018-04-17 00:00:00,Martin-Niemöller-Stiftung und Förderkreis Erinnerungsort Topf & Söhne,Statt feindlicher Übernahme des 1. Mai – Mitmenschlichkeit und Begegnung,Vor Stauffenbergallee 60/61,2018-05-01 00:00:00,10.00 – 20.00 Uhr
91.0,2018-04-17 00:00:00,Ahmadiyya Muslim Jamaat Kdör,Wir sind alle Deutschland – Muslime für Frieden,Angerdreieck,2018-05-05 00:00:00,12.00 – 16.00 Uhr
,,ABGESAGT,,,,
92.0,2018-04-18 00:00:00,Aktionskreis für Frieden e.V.,Gedenken zum Tag der Befreiung,Petersberg,2018-05-07 00:00:00,16.30 – 18.00 Uhr
