Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung /,Datum der Versammlung,Uhrzeit der Versammlung
,,ABGESAGT,,,,
73.0,2017-05-12,Fraktion Die LINKE im Stadtrat Erfurt,"Für den Frieden – Fluchtursachen bekämpfen, nicht Flüchtlinge",Fischmarkt,2017-06-24 00:00:00,09.30 – 20.30 Uhr
74.0,2017-05-12,Einzelperson,Auf die Plätze fertig:Mittwoch! Der AfD entgegentreten!,Willy-Brandt-Platz à Domplatz à Willy-Brandt-Platz,2017-09-20 00:00:00,17.30 – 22.00 Uhr
75.0,2017-05-16,Grüne Jugend Erfurt,Demokratie stärken,Willy-Brandt-Platz,2017-06-24 00:00:00,09.30 – 20.00 Uhr
,,,,,,
,,ABGESAGT ,,,,
76.0,2017-05-16,Gemeinsame Kreiselternvertretung Erfurt,Die Thüringer Schule vor dem Kollaps – Bildung zuerst! Aktionstag gegen Unterrichtsausfall und Lehrermangel,Jürgen-Fuchs-Straße 1,2017-06-01 00:00:00,10.00 – 14.00 Uhr
77.0,2017-05-18,Critical Mass Erfurt,Verkehrspolitische Radtour – Wir behindern nicht den Verkehr – wir sind Verkehr,Aufzug Willy-Brandt-Platz à Fischmarkt,2017-05-26 00:00:00,18.30 – 20.30 Uhr
78.0,2017-05-22,Die Rechte Thüringen,Keine Auslieferung an die BRD-Gesinnungsjustiz! – Freiheit für Horst Mahler,Neuwerkstraße 47A,2017-05-28 00:00:00,16.00 – 17.00 Uhr
79.0,2017-05-22,Einzelperson,Mahnwache – ein christliches Zeichen setzen,St. Florian-Straße ,2017-05-22 00:00:00,19.00 – 20.30 Uhr
,,,,,(jeden Montag),
80.0,2017-05-18,Auf die Plätze fertig!,NoWay – Dem Naziaufmarsch am 01.07.2017 in Erfurt entgegentreten,Willy-Brandt-Platz,2017-07-01 00:00:00,10.00 – 20.00 Uhr
81.0,2017-05-22,Flüchtlingsrat Thüringen e.V.,Grenzenlose Solidarität – keinen Zentimeter für rechte Hetze,Fahrbahn Stauffenbergallee und Grünstreifen Höhe Stauffenbergallee 60,2017-07-01 00:00:00,12.00 – 18.00 Uhr
,,,,,,
,,ABGESAGT,,,,
82.0,2017-05-26,Sprachcafe Erfurt,Keine Abschiebung. Nirgendwohin!,Angerdreieck,2017-05-31 00:00:00,18:00-20:00 Uhr
83.0,2017-05-29,Vereinigung der Opfer des Stalinismus e.V.,Kranzniederlegung für die Opfer des Volksaufstandes vom 17.06.1953,Gedenk- und Bildungsstätte Andreasstraße ,2017-06-17 00:00:00,10:00 – 11:00 Uhr
84.0,2017-05-30,Linksjugend (solid)  Erfurt,Erfurt bleibt bunt und weltoffen,Fischmarkt (Rathaus),2017-07-01 00:00:00,9:30-20:30 Uhr
,,,,,,
,,ABGESAGT,,,,
85.0,2017-05-30,Linksjugend (solid)  Erfurt,No - parasan,Domplatz - Obelisk,2017-06-24 00:00:00,9:30-20:00 Uhr
86.0,2017-05-30,Verdi Thüringen Fachbereich Handel,Tarifrunde Einzelhandel,"Schillerstraße 44- Eberstraße, Anger 1 Kundgebung vor Karstadt Johannesstraße , Futterstraße und zurück",2017-06-13 00:00:00,11-13:00 Uhr
,,,,,,
,,,,,Neu: 30.06.2017,
87.0,2017-05-31,BUND-Thüringen e.V.,Bildaktion; Kurzdemo für die Schaffung einer Waldwildnis bei Possen,Regierungsstraße 73; Hirschgarten vor der Staatskanzlei,2017-06-06 00:00:00,17.00 – 18.00 Uhr
88.0,2017-06-02,"Verein ""Statt Urwald – Kulturwald am Possen und Hainleite e.V.",Keine weitere Einschränkung der Forstwirtschaft in Thüringen,Regierungsstraße 73; Hirschgarten vor der Staatskanzlei,2017-06-06 00:00:00,16:00-17:30 Uhr
89.0,2017-06-06,Arbeitsgemeinschaft bäuerliche Landwirtschaft Mitteldeutschland (ABL),Öffentliche Aktion zu den Plänen des TMIL zur Neugestaltung der landwirtschaftlichen Förderung ab 2018,Beethovenstraße 3,2017-06-13 00:00:00,08.00 – 10.00 Uhr
90.0,2017-06-08,Einzelperson,Arbeit der Ämter insbesondere Jugendamt bzgl. Kondeswohl anhand eines Beispiels,Steinplatz 1,2017-06-09 00:00:00,10.00 – 11.00 Uhr
91.0,2017-06-01,BÜNDNIS 90 / DIE GRÜNEN Kreisverband Erfurt,"Picknick im Grünen, Bündnisgrünes Sommerfest mit Karin Göring Eckardt",Hirschgarten,2017-06-23 00:00:00,16.00 – 19.00 Uhr
92.0,2017-06-12,Schulelternvertreter der Regelschule Kerspleben,Unterstützung der Schulartänderung zur TGS in Kerspleben zum Schuljahresbeginn 2017/2018,Fischmarkt,2017-06-14 00:00:00,16:00-16:45 Uhr
93.0,2017-06-12,Mehrwertstadt Erfurt,Fragen an die Stadt Erfurt,Fischmarkt,2017-06-14 00:00:00,14:30-17:00 Uhr
94.0,2017-06-13,Junge Alternative Thüringen,Freiheit statt Sozialismus,Gothaer Straße 34,2017-06-16 00:00:00,16.00 – 17.30 Uhr
95.0,2017-05-30,BUND Thüringen,Aufklärungsaktion anlässlich des nationalen Mobilitätstages am 18.06.2017 in Erfurt,Angerdreieck,2017-06-18 00:00:00,15.00 – 18.00 Uhr
96.0,2017-06-06,Deutsche Friedensgesellschaft ,Pacemakers ReformationsTour 2017,Jürgen-Fuchs-Straße 1,2017-06-30 00:00:00,15.15 – 15.45 Uhr
97.0,2017-06-11,SOKA Freunde Thüringen e.V.,Halterkunde statt Rasseliste,Domplatz à Markt-straße à Schlösser-straße à Anger à Regierungsstraße à Große Arche à Domplatz,2017-10-14 00:00:00,14.00 – 17.30 Uhr
98.0,2017-06-13,Martin-Niemöller-Stiftung e.V.,Die Würde des Menschen ist unantastbar – Art. 1 GG – Gesicht zeigen gegen Ideologien der Ungleichheit,Domplatz,2017-07-01 00:00:00,11.00 – 18.00 Uhr
99.0,2017-06-13,Martin-Niemöller-Stiftung e.V. / Förderkreis Erinnerungsort Topf & Söhne e.V. / Offene Arbeit des Evangelischen Kirchenkreises Erfurt,Campus Anger –öffentliche Vernunfteinübungen  - Historische Bildung als Menschrechtsbildung,Angerdreieck,2017-06-27 00:00:00,14.00 – 20.00 Uhr
,,,,,2017-06-28 00:00:00,11.30 – 16.00 Uhr
100.0,2017-06-13,Martin-Niemöller-Stiftung e.V. / Förderkreis Erinnerungsort Topf & Söhne e.V,Ermutigung zur gelebten Kultur der weltoffenen Anerkennung der unteilbaren Menschenrechte in Liedern und Wortbeiträgen,Domplatz / Petersberg ,2017-06-20 00:00:00,13.00 – 14.00 Uhr
101.0,2017-06-05,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Wenigemarkt,2017-09-03 00:00:00,13.30 – 15.30 Uhr
102.0,2017-06-05,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Wenigemarkt,2017-09-10 00:00:00,13.30 – 15.30 Uhr 
,,ABGESAGT,,,,
