lfd. Nr.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Versammlung,Zeit
274.0,nicht erfasst,Einzelperson,Auf die Plätze fertig: Mittwoch: Für ein bedingungsloses Bleiberecht,nicht erfasst,2015-11-18 00:00:00,nicht erfasst
275.0,nicht erfasst,Bürgerbewegung für Kreislaufwirtschaft total e.V.,Weltklimatag,nicht erfasst,2015-12-05 00:00:00,nicht erfasst
,,,,,,
276.0,nicht erfasst,Critical Mass Erfurt,"""Wir verhindern nicht den Verkehr, wir sind der Verkehr, verkehrspolitische Radtour""  ",nicht erfasst,2015-12-03 00:00:00,nicht erfasst
,,,,,,
277.0,nicht erfasst,"1. Staatliche Regelschule ""Thomas Mann""","""Bleiberecht für Schüler der Thomas Mann-Schule""",nicht erfasst,2015-11-25 00:00:00,nicht erfasst
278.0,nicht erfasst,Einzelperson,Global Climate March –,nicht erfasst,2015-11-29 00:00:00,nicht erfasst
,,, für 100 % saubere Energie,,,
279.0,nicht erfasst,Einzelperson,Nazigewalt in Thüringen - Auftakt des Prozesses zum Nazi-Überfall in Ballstädt,nicht erfasst,2015-12-02 00:00:00,nicht erfasst
280.0,nicht erfasst,PETA Deutschland,PETA Aktion gegen das Schenken von Tieren,nicht erfasst,2015-12-14 00:00:00,nicht erfasst
281.0,nicht erfasst,"BUND, Landesverband Thüringen e.V.",Klimaschutz (Fotoaktion / Flashmob),nicht erfasst,2015-12-12 00:00:00,nicht erfasst
282.0,nicht erfasst,Einzelperson,Kundgebung für Menschenrechte,nicht erfasst,2015-12-10 00:00:00,nicht erfasst
283.0,nicht erfasst,Animal Rights Watch e.V.,Zirkus Ja! Aber bitte ohne Tiere!,nicht erfasst,2015-12-28 00:00:00,nicht erfasst
,,Einzelperson,,,14:30 Uhr – 15:40 Uhr,nicht erfasst
284.0,nicht erfasst,Animal Rights Watch e.V.,Zirkus Ja! Aber bitte ohne Tiere!,nicht erfasst,2015-12-28 00:00:00,nicht erfasst
,,Einzelperson,,,18:00 Uhr – 19:10 Uhr,nicht erfasst
285.0,nicht erfasst,Einzelperson,Zugang zu Deutschkursen und ein schnelles Asylverfahren,nicht erfasst,17.12.2015 von 10.00 – 14.00 Uhr,nicht erfasst
286.0,nicht erfasst,Kulturverein Mesopotamien e.V.,Menschenrechtslage in Kurdistan,nicht erfasst,24.12.2015 von 13.00 – 16.00 Uhr,nicht erfasst
