"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Datum
322.0,2021-10-18,Scientists4Future Thüringen,Deutscher Städtetag: Ruf nach ambitioniertem Klimaschutz in allen Kommunen Deutschlands!,vor der Messe Erfurt,2021-11-18 00:00:00,11.00 - 13.00 Uhr,21.0,,,,,,,,,,21.0
323.0,2021-10-19,verdi.di,Aktion zur Unterstützung der Tarifverhandlungen der Länder,Werner-Seelenbinder-Straße (Höhe Zugang Ministerien),2021-10-27 00:00:00,14.30 - 16.30 Uhr,21.0,,,,,,,,,,21.0
324.0,2021-10-19,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Anger vor Anger 1 bis Anger 8,2021-11-20 00:00:00,14.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
325.0,2021-10-20,Einzelperson,Ausgrenzung durch 3G sofort beenden,Fischmarkt,"28.10.2021
04.11.2021 ABGESAGT
11.11.2021
18.11.2021
25.11.2021",jeweils von 15.30 - 16.30 Uhr,21.0,,,,,,,,,,21.0
326.0,2021-10-20,Marinekameradschaft Erfurt 1886 / 1992 e.V.,"Ehrung aller auf See Gebliebener, Ehrung verstorbener DMB und Vereinsmitglieder, Kranzniederlegung",Hauptfriedhof,2021-10-31 00:00:00,10.00 - 11.00 Uhr,21.0,,,,,,,,,,21.0
327.0,2021-10-20,Brennessel e.V.,Gedenkveranstaltung zum Tag gegen Gewalt an Frauen,Fischmarkt,2021-11-25 00:00:00,16.30 - 19.30 Uhr,21.0,,,,,,,,,,21.0
328.0,2021-10-23,Einzelperson,Klima-Mahnwache,Fischmarkt,01.11.2021-14.11.2021,17:00-17:15 Uhr,21.0,,,,,,,,,,21.0
329.0,2021-10-23,Einzelperson,Klima- Mahnwache,Fischmarkt,15.11.2021-30.11.2021,17:00-17:15 Uhr,21.0,,,,,,,,,,21.0
330.0,2021-10-25,Fridays for Future Erfurt,Fridays for Future- Nachhaltigkeit  Kleidertausch zum Black Friday,Angerdreieck /Anger1 - Anger- Regierungstraße- Lange Brücke- Kettenstraße-Domplatz-Marktstraße- Fischmarkt- Schlösserstraße Anger 1 Abschlusskundgebung ,2021-11-26 00:00:00,14:00  - 16:00 Uhr,21.0,,,,,,,,,,21.0
331.0,2021-10-26,Extinction Rebellion ,Schluss mit der Zerstörung von Ökosystemen und Frieden durch die Finanzierungen der Deutschen Bank,Juri-Gagarin-Ring 101,2021-10-29 00:00:00,11:00-17:00 Uhr,21.0,,,,,,,,,,21.0
332.0,2021-10-26,Einzelperson,Menschenrechte in Krisenzeiten,"Fischmarkt, Schlösserstraße Anger Neuwerkstraße Eichenstraße Regierungsstraße Anger Willy_brandt-Platz Bahnhofstraße Anger  Fischmarkt ","01.11.2021, 08.11.2021, 15.11.2021 22.11.2021",19:15-20:15 Uhr,21.0,,,,,,,,,,21.0
333.0,2021-10-29,"Projektgruppe ""Erfurt im Nationalsozialismus"" beim DGB-Bildungswerk Thüringen e.V.",Erinnern heißt handeln - Erfurt im Nationalsozialismus,Aufzug: Willy-Brandt-Platz --> Innenstadt - Klostergang,2021-11-05 00:00:00,17.00 - 19.00 Uhr,21.0,,,,,,,,,,21.0
334.0,2021-11-03,Fridays for Future Erfurt ABGESAGT,Fridays for Future- Nachhaltigkeit & Kleidertausch zum Black Friday,vor Anger 1 ,2021-11-26 00:00:00,15.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
335.0,2021-11-04,ver.di,Tarifrunde der privaten Banken un der COM TS,"Juri-Gagarin-Ring 86, 99084 Erfurt",2021-11-10 00:00:00,11.00- 12.30 Uhr,21.0,,,,,,,,,,21.0
336.0,2021-11-08,Einzelperson,CSD Thüringen,"Aufzug: Willy-Brandt-Platz, Bahnhofstraße, Juri-Gagarin-Ring, Trommsdorffstraße, Anger (Zwischenkundgebung), Regierungsstraße bis Staatskanzlei, Eichenstraße, Löberstraße, A rnstädter Straße, Thüringer Landtag Änderung: Standkundgebung Jürgen-Fuchs-Straße (vor dem Landtag)",2021-11-27 00:00:00,12:00 - 17:00 Uhr,,,,,,,,,,,21.0
337.0,2021-11-09,Einzelperson,Menschlichkeit in Krisenzeiten,Aufzugsstrecke: Lutherdenkmal  à  Anger à Regierungsstraße à Lange Brücke à Marstallstraße à Meister-Eckehart-Straße à Regierungsstraße à Anger à Bahnhofstraße à Willy-Brandt-Platz à Bahnhofstraße à Lutherdenkmal,2021-11-29 00:00:00,19:15 - 20:15 Uhr,,,,,,,,,,,21.0
338.0,2021-11-09,GEW Thüringen,UnverzichtBAR - Wertschätzung des öffentlichen Dinestes in der Tarifrunde der Länder,Vorplatz Thüringer Staatskanzlei,2021-11-17 00:00:00,15:00 - 17:00 Uhr,,,,,,,,,,,21.0
339.0,2021-11-08,"Architects for Future, Ortsgruppe Erfurt Abgesagt","Bauwende JETZT! Bauminister:innen, schafft Rahmenbedingungen für klimaneutrales und kreislauffähiges Bauen!",Platz am Juri-Ggarin-Ring 127,2021-11-18 00:00:00,16:00 - 17:30 Uhr,,,,,,,,,,,21.0
340.0,2021-11-10,Bürger für Thüringen,Gegen die Ausgrenzung von Menschen durch die 2 G-Regel,"Jürgen-Fuchs-Straße 1, 99096 Erfurt (Thüringer Landtag)",2021-11-17 00:00:00,17:30 - 18:30 Uhr,,,,,,,,,,,21.0
341.0,2021-11-11,Einzelperson Abgesagt,Ausgrenzung durch 3G/2G sofort beenden,vor dem Lutherdenkal am Anger,"18.11., 25.11., 02.12., 09.12., 16.12., 23.12., 30.12.2021",15:30 - 16:30 Uhr,,,,,,,,,,,21.0
342.0,2021-11-14,Critical Mass Erfurt Abgesagt,"Aufmerksamkeit schaffen, für Verbesserung der Radverkehrsbedingungen in und um Erfurt","Willy-Brandt-Platz 2, 99084 Erfurt (Altstadt) 
Kreisverkehr Richtung Westen folgen 
Bürgermeister-Wagner-Straße, rechts abbiegen auf 
Juri-Gagarin-Ring, rechts abbiegen auf 
Trommsdorffstraße weiter in die 
Thälmannstraße – Leipziger Platz, inks abbiegen in die 
Leipziger Straße - Krämpferstraße rechts abbiegen in die 
Johannesstraße, links abbiegen in die 
Futterstraße, links abbiegen
Meienbergstraße –Krämpferstraße, links abbiegen in den 
Juri-Gagarin-Ring – Am Hügel, links abbiegen in die 
Augustinerstraße rechts (Johannesstraße)sofort links in die 
Franckestraße – Schlachthofstraße links abbiegen in die 
Friedrich-Engels-Straße, links abbiegen in die 
Fritz-Büchner-Straße, rechts abbiegen in die 
Stauffenbergallee, rechts abbiegen in die 
Magdeburger Allee bis Eislebener Straße, zurück 
Magdeburger Allee rechts abbiegen in die 
Schlüterstraße, Nordstraße, Talstraße – Bergstraße, rechts abbiegen in die 
Blumenstraße, links abbiegen in die 
Albrechtstraße, links abbiegen in die 
Blumenstraße – Moritzwallstraße, rechts abbiegen in die 
Moritzstraße, rechts abbiegen in die 
Marbacher Gasse - Weiße Gasse links abbiegen in die 
Andreasstraße, rechts abbiegen in die 
Straße am Domplatz/Lauentor links abbiegen in die 
Maximilian-Welsch-Straße links in die 
Bonemilchstraße, links abbiegen in die 
Bonifaciusstraße – Walkmühlstraße , links abbiegen in die 
Wilhelm-Külz-Straße, rechts abbiegen in die 
Lutherstraße, links abbiegen in die 
Neuwerkstraße links abbiegen und rechts abbiegen in die 
Regierungsstraße, links abbiegen in die 
Lange Brücke, rechts abbiegen 
Marstallstraße, rechts abbiegen in die 
Meister-Eckehart-Straße, rechts abbiegen 
Regierungsstraße.
Ende Platz vor der Staatskanzlei
",,,,,,,,,,,,,21.0
343.0,2021-11-18,parents4future,"""Fairliche Weihnacht""",Rathausbrücke,2021-11-29 00:00:00,17:15 - 19:00 Uhr,,,,,,,,,,,21.0
344.0,2021-11-28,Freie Menschen Herr Vorbringer  ABGESAGT ,Für eine gemeinsame Gesellschaft. Gegen Spaltung.,Anger (vor Lutherdenkmal),2021-11-29 00:00:00,19.30 - 19.30 Uhr,,,,,,,,,,,21.0
345.0,2021-11-29,Aaron Jona Mayr CDU Erfurt ABGESAGT,Bürgerversammlung,P&R Ringelberg,2021-12-11 00:00:00,,,,,,,,,,,,21.0
346.0,2021-11-30,Einzelpersom,"""Klima - Mahnwache""",Fischmarkt,01.12. - 23.12.2021,17:00 - 17:15 Uhr,,,,,,,,,,,21.0
347.0,2018-02-15,Einzelperson,ein christliches Zeichen setzen + Mahnwache,St.-Christophorus-Straße ,06.12.; 13.12; 20.12. und 27.12.2021,19:00 - 20:30 Uhr,,,,,,,,,,,21.0
348.0,2021-12-03,Bürger für Thüringen,"Wir stehen auf - für die Gesundheit, die Sicherheit und die Zukunft unserer Kinder!",Angerdreieck,2021-12-10 00:00:00,17.00 - 18.00 Uhr,,,,,,,,,,,21.0
349.0,2021-12-06,Neue Stärke Partei,Kampfkultur - Hol dir deine Stadt und dein Land zurück,Blücherstraße Kreisel Dornheimstraße ,2021-12-11 00:00:00,15.00 - 16.00 Uhr,,,,,,,,,,,21.0
350.0,2021-12-09,Einzelperson,Antirassismus muss laut werden!,Willy-Brandt.Platz Erfurt (Bahnhofsvorplatz),2021-12-11 00:00:00,14.30 - 17:00 Uhr,,,,,,,,,,,21.0
351.0,2021-12-06,"Der III. Weg
",Winterhilfe,"Ernst-Haeckel-Straße, Haltestelee Drosselberg",2021-01-11 00:00:00,10:00 - 12:00 Uhr,,,,,,,,,,,21.0
352.0,2021-12-10,"Anonymus for the Voiceless
",Abschaffung des TIerleides durch Veganismus ,Angerdreieck,2021-12-18 00:00:00,14:00 - 17:00 Uhr,,,,,,,,,,,21.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
