"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Datum
42.0,2021-02-23,Einzelperson,Zukunft für unsere Heimat,Willy-Brandt-Platz,2021-02-27 00:00:00,17.30 - 18.30 Uhr,21.0,,,,,,,,,,21.0
43.0,2021-02-22,Brennessel e.V. Zentrum gegen Gewalt an Frauen,Kundgebung anlässlich des Frauentages,Angerdreieck,2021-03-08 00:00:00,15:30  - 18:00 Uhr,21.0,,,,,,,,,,21.0
44.0,2021-02-23,Bündnis 90 / Die Grünen,Mahnwache gegen häusliche Gewalt - Jede Tat ist eine zuviel,Fischmarkt,2021-03-08 00:00:00,16:00 - 17:30 Uhr,21.0,,,,,,,,,,21.0
45.0,2021-02-24,Phantome Magdeburg ABGESAGT !!,Kustprojekt fürdie Umsetzung von Corona-Maßnahmen,Umrundung Theaterplatz,2021-02-27 00:00:00,16:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
46.0,2021-02-26,Stadtverband DIE LINKE Erfurt,Kundgebung zum Equal Care Day,Angerdreieck,2021-03-01 00:00:00,14:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
47.0,2021-02-25,IG Metall Erfurt,Warnstreik,Schwerborner Straße,2021-03-03 00:00:00,13:00 - 15:00 Uhr,21.0,,,,,,,,,,21.0
48.0,2021-02-23,Thüringen steht zusammen ABGESAGT !!,"Ein Jahr Lockdown, Ein Jahr eingesperrt, es reicht!",Domplatz,2021-03-13 00:00:00,13.00 - 14.30 Uhr,21.0,,,,,,,,,,21.0
49.0,2021-02-26,Seebrücke Erfurt,#EvacuateNow - Protestcamp gegen die Abschottungspolitik der EU,Fischmarkt,2021-03-05 00:00:00,09.30 - 20.30 Uhr,21.0,,,,,,,,,,21.0
50.0,2021-02-26,Seebrücke Erfurt,#EvacuateNow - Protestcamp gegen die Abschottungspolitik der EU,Fischmarkt,2021-03-06 00:00:00,09.30 - 20.30 Uhr,21.0,,,,,,,,,,21.0
51.0,2021-02-26,Seebrücke Erfurt,#EvacuateNow - Protestcamp gegen die Abschottungspolitik der EU,Fischmarkt,2021-03-07 00:00:00,09.30 - 20.30 Uhr,21.0,,,,,,,,,,21.0
52.0,2021-03-01,IG Metall Erfurt,Warnstreik in der Metall- und Elektroindustrie,Flughafenstraße 4,2021-03-08 00:00:00,08.00 - 10.00 Uhr,21.0,,,,,,,,,,21.0
53.0,2021-03-02,Einzelperson,Schweigemarsch mit Musik / Kunst-Aktion (Performance) gegen Faschismus,Aufzug Anger --> Fischmarkt --> Allerheiligenkirche (Marktstraße 44) --> Fischmarkt --> Anger,2021-03-13 00:00:00,15.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
54.0,2021-03-03,IG Metall Erfurt,Warnstreik in der Metall- und Elektroindustrie,Werner-Siemens-Straße Ecke Grubenstraße,2021-03-09 00:00:00,06:00 - 08:00 Uhr,21.0,,,,,,,,,,21.0
55.0,2021-03-04,Direktversicherungsgeschädigte e.V. Regionalgruppe Thüringen,Sofortiger Stopp der Mehrfachverbeitragung durch das GMG vom 14.11.2003,Domplatz,2021-05-01 00:00:00,10:00 - 14:00 Uhr,21.0,,,,,,,,,,21.0
56.0,2021-03-04,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2021-03-27 00:00:00,14:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
57.0,2021-03-08,Freies Kollektiv Kaffeetrichter,"Wir wollen Bürger*innen Erfurts den Satz ""Feminismus ist für mich wichtig, weil…"" beenden lassen und Antworten visualisieren",Angerdreieck,2021-03-08 00:00:00,12:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
58.0,2021-03-08,Bündnis für Klimagerechtigkeit Erfurt,Flughafen Erfurt - Weimar stilllegen,"Binderslebener Knie - Verkehrslinsel und Fußgängerüberwege (bei Grünphasen), Gehsteig",2021-03-19 00:00:00,14:30 - 18:00 Uhr,21.0,,,,,,,,,,21.0
59.0,2021-03-08,Querdenken-361 Erfurt ABGESAGT !!,,Domplatz,2021-04-03 00:00:00,15.30 - 18.00 Uhr,21.0,,,,,,,,,,21.0
60.0,2021-03-10,Seebrücke Erfurt,#EvacuateNow - Protestcamp zum Klimastreiktag,Fischmarkt,2021-03-19 00:00:00,10.00 - 20.00 Uhr,21.0,,,,,,,,,,21.0
61.0,2021-03-08,BUND Erfurt,Klimaschutz.Jetzt!,Angerdreieck,2021-03-19 00:00:00,12.00 - 14.00 Uhr,21.0,,,,,,,,,,21.0
62.0,2021-03-10,Eisenbahn- und Verkehrsgewerkschaft EVG,Klimagerechtigkeit,Willy-Brandt-Platz,2021-03-19 00:00:00,13:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
63.0,2021-03-10,Arbeitsgemeinschaft bäuerliche Landwirtschaft Mitteldeutschland AbL,"Für eine bauern-, tier-, und umweltfreundliche Agrarpolitik in Thüringen","Werner-Seelenbinder-Straße 8, Innenhof vor dem TMIL",2021-03-16 00:00:00,11:30 - 13:00 Uhr,21.0,,,,,,,,,,21.0
64.0,2021-03-10,MLPD Thüringen,150 Jahre Pariser Kommune,Platz der Völkerfreundschaft,2021-03-18 00:00:00,15:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
65.0,2021-03-10,Einzelperson,Politische Kundgebung gegen Rechtsextremismus Rassismus und Antisemitismus,Rathausplatz,2021-04-21 00:00:00,18:00 - 20:00 Uhr,21.0,,,,,,,,,,21.0
66.0,2021-03-12,BürgerEnergie Thüringen e.V.,"Bürger_innenEnergie for Future"" Information / Ausblick zu Rolle der Energiegenossenschaften in Thüringen",Anger 1,2021-03-19 00:00:00,11:00 - 14:00 Uhr,21.0,,,,,,,,,,21.0
67.0,2021-03-11,VCD Erfurt,"Fahrraddemonstration ""Fahr Rad - Fürs Klima auf Tour""",Aufzug: Domplatz --> Stadtgebiet --> Domplatz,2021-03-19 00:00:00,17.00 - 19.00 Uhr,21.0,,,,,,,,,,21.0
68.0,2021-03-12,Initiative Freie Kulturkarawane,"Aktion laute Fenster - nachhaltig aus der Krise (FFF-Klima-Camp, Solidarität mit HSK)",Grünstraße 15a,2021-03-19 00:00:00,14:00 - 19:00 Uhr,21.0,,,,,,,,,,21.0
69.0,2021-03-12,Initiative Freie Kulturkarawane,"Aktion laute Fenster - nachhaltig aus der Krise (FFF-Klima-Camp, Solidarität mit HSK)",Andreasstraße 37,2021-03-19 00:00:00,14:00 - 19:00 Uhr,21.0,,,,,,,,,,21.0
70.0,2021-03-12,Initiative Freie Kulturkarawane,"Aktion laute Fenster - nachhaltig aus der Krise (FFF-Klima-Camp, Solidarität mit HSK)",Carmerstraße 3,2021-03-19 00:00:00,14:00 - 19:00 Uhr,21.0,,,,,,,,,,21.0
71.0,2021-03-12,Bürgerinitiative Stadtbäume statt Leerräume,Demo zu Baumfällungen im Rahmen des Parkhausbaus im Rahmen des Klimaktionstages,"Löbertor, Erfurt (Zukünftiger Standort Parkhaus Löbertor)",2021-03-19 00:00:00,15:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
72.0,2021-03-15,Einzelperson,Newroz - Kurdisches Neujahrsfest,"Startkundgebung am Domplatz, laufen zum Anger, Abschlusskundgebung Anger",2021-03-20 00:00:00,15:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
73.0,2021-03-15,Parents for Future Erfurt,Sensibilisierung für Klimaveränderung,"Willy-Brandt-Platz, seiltich zur Bahnhofstraße",2021-03-19 00:00:00,16:30 - 18:00 Uhr,21.0,,,,,,,,,,21.0
74.0,2021-03-16,Initiative Freie Kulturkarawane,"Aktion laute Fenster - nachhaltig aus der Krise (FFF-Klima-Camp, Solidarität mit HSK)",Schlachthofstraße 2,2021-03-19 00:00:00,14:00 - 19:00 Uhr,21.0,,,,,,,,,,21.0
75.0,2021-03-16,Initiative Freie Kulturkarawane,"Aktion laute Fenster - nachhaltig aus der Krise (FFF-Klima-Camp, Solidarität mit HSK)",Moritzhof 3,2021-03-19 00:00:00,14:00 - 19:00 Uhr,21.0,,,,,,,,,,21.0
76.0,2021-03-10,MLPD Thüringen,Gründung Wählerinitiative Erfurt,Riethstraße 1a,2021-03-26 00:00:00,17.00 - 19.30 Uhr,21.0,,,,,,,,,,21.0
77.0,2021-03-16,Extinction Rebellion Thüringen,Erreichung Ziele Pariser Klimaabkommen,Fischmarkt,2021-04-22 00:00:00,10:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
