Datum,Ort(e) der Kundgebung,"Zahl der Teilnehm er / -
innen",Thema,Unnamed: 4
2018-06-23 00:00:00,Wiener Platz,10,Nein zum Polizeigesetz NRW,
2018-06-23 00:00:00,Domplatte (am Blau-Gold-Haus),k.A.,Frauen-Morde in der Türkei,
2018-07-02 00:00:00,Wallrafplatz,30-100,Keine Abschiebungen in den Tod!,
2018-06-27 00:00:00,"Mathias-Brüggen-Straße/
Mühlenweg",50-100,Mahnwache VU an der Kreuzung,
2018-07-14 00:00:00,"Schildergasse, Höhe P&C",10 - 15,Tierschutz/ gegen Massentierhaltung,
"01.07.2018
07.07.2018
08.07.2018
14.07.2018
15.07.2018
21.07.2018
22.07.2018
28.07.2018
29.07.2018
04.08.2018
05.08.2018
11.08.2018
12.08.2018
18.08.2018
19.08.2018
25.08.2018
26.08.2018",Domplatte (Römerbogen),2-15,"Protest gegen Folter, Mord und illegale Organentnahme an Falun Gong Praktizierneden in China",
2018-06-27 00:00:00,"Köln (Matthias-Brüggen-
Straße/Kreuzung Mühlenweg)",50 - 100,"Mahnwache am Unfallschwerpunkt
Mühlenweg/Matthias-Brüggenstraße",
2018-06-27 00:00:00,Bahnhofsvorplatz,50,Unterstützung: der jüngste Widerstand im Iran,
2018-06-28 00:00:00,Wallrafplatz,20-30,Cube of Truth,
2018-06-29 00:00:00,"Eingang Wochenmarkt
Ostheimer Straße Vingst",10,AfD - Wir zeigen auch Flagge in Köln,
montags u. samtags (Juli Dez.),Andreaskloster (am U-Bahn- Abgang),2-5,"Protest gegen Folter, Mord und illegale Organentnahme an Fallun Gong Praktizierenden in China",
"02.09.2018
04.11.2018",Roncalliplatz,1500,Pulse of Europe - Demokratie in Europa,
2018-07-15 00:00:00,Bahnhofsvorplatz,100-150,"Iraner protestieren seit Monaten gegen iran.
Regierung und fordern Machtwechsel im Iran",
2018-06-30 00:00:00,"Liverpooler Platz;
vor dem City-Center",10,AfD zeigt Flagge in Köln,
"29.06.2018
30.06.2018","Eitorfer Straße
Lilienthalstraße",20,"50 Jahre Abeiterbund für den Wiederaufbau der
KPD",
2018-07-01 00:00:00,Bahnhofsvorplatz,30,SaveTheInternet,
2018-07-13 00:00:00,Weisshausstraße 20-30,30-50,"Der Horror ist real - gegen Tarifflucht und
Lohndumping",
2018-07-07 00:00:00,Bahnhofsvorplatz,50-70,"Gegen Hinrichtung im Iran und als Solidarität
mit den Protesten im Iran",
2018-07-04 00:00:00,"Luxemburger Str. 101, vor dem
Amtsgericht",150,"Hambacher Forst bleibt - bekämpft die
Umweltzerstörung durch RWE",
2018-08-18 00:00:00,Breslauer Platz,150,Meinungsfreiheit,
2018-07-07 00:00:00,"Bahnhofsvorplatz
Weltjugendtagsweg",80,Aufruf zum Glauben an Jesus Christus!,
2018-07-08 00:00:00,Marktplatz (Köln-Porz),,,
2018-07-06 00:00:00,Köln-Mülheim (Marktplatz),7,Korruption in Köln alias Kölsche Klüngel,
2018-07-21 00:00:00,"Köln, Venloer Straße 354e (Bahnhof Ehrenfeld), neben dem
Kiosk ""Yilmaz""",20-40,Cube of Truth,
"09.07. -
15.08.18
16.08. -
16.09.18
17.09. -
14.10.18","Köln, (Rochusstraße) auf dem Gehweg zwischen Rektor-Klein- Straße und Georg-Reiter-Straße",1 - 10,Kundgebung für meine inhaftierte Ehefrau,
2018-07-10 00:00:00,Wallrafplatz,100,"Kein Schluss-Strich: Urteilsverkündung im
NSU-Prozess",
2018-07-07 00:00:00,"Venloer Straße Bickendorf
am Wochenmarkt",10,Die AfD zeigt Flagge für Meinungspluralität,
2018-07-15 00:00:00,Domplatte (Römerbogen),100,Mahnwache/Solidarität mit David R.,
2018-07-13 00:00:00,"Roncalliplatz (Auftakt) Breite Straße (Zwischenkundg.) Ringstraße (Zwischenkundg.)
Zülpicher Platz (Abschluss)",500,Seebrücke - Schafft sichere Häfen,
2018-09-15 00:00:00,Alter Markt,300,"Stoppt den Panik-Populismus - Aufstehen für
humanotäre Asyl- und Flüchtlingspolitikl!",
2018-07-14 00:00:00,"Bahnhofsvorplatz (Auftakt)
Ottoplatz (Abschluss)",200,Welcome to heaven,
2018-07-15 00:00:00,"Schiefersburger Weg /
Ravensburger Straße",10,Kein Raum für Rassismus in Bilderstöckchen,
2018-07-15 00:00:00,Heumarkt,300,"Bilderausstellung und Pressemitteilung zum
2.Jahrestag des Putschversuches in der Türkei",
2018-07-12 00:00:00,Chlodwigplatz,15-40,Cube of Truth,
2018-07-13 00:00:00,"Henry-Ford-Strasse
Kalker Hauptstr./ Trimbornstr.",10,"50 Jahre Arbeiterbund für den Wiederaufbau
der KPD",
2018-07-14 00:00:00,Aachener Str./ Rudolfplatz,10-15,Tempo 30 gegen Raser,
2018-07-13 00:00:00,"Venloer Str. 160, vor Moschee",15,"Int. Kampagne zur Verteidigung von
Frauenrechten im Iran",
"jeden
Mittwoch u. Donnerstag Juli
August
September",Komödienstr./ Andreaskloster,2-3,Gegen Organraub und Verfolgung von Falun Gong Anhängern in China,
2018-08-06 00:00:00,"Aachener Weiher, Hiroshima
Mahnmal",100,"Zusammenkunft und Gedenken zum Jahrestag
der Atombombenabwürfe 1945",
2018-07-14 00:00:00,Rudolfplatz,10-20,Die AfD zeigt Flagge in Köln,
2018-07-12 00:00:00,Wallrafplatz,20,OLG Entscheidung zu Puigdemont,
2018-09-02 00:00:00,Domplatte (Römerbogen),100,Mahnwache/Solidarität mit David R.,
2018-08-18 00:00:00,Breslauer Platz,100,"Keine rassistischen und nationale Hetzereien
in der Innenstadt",
2018-07-19 00:00:00,Blumenthalstraße 33,15-25,Solidarität mit Katrin Papke,
2018-09-13 00:00:00,"Neusser Platz, vor der Kirche
St. Agnes",20,Wir drehn am Rad- Faire Arbeit on Tour,
2018-08-29 00:00:00,Alter Markt,50,"Arbeitsbedingungen der Honorarkräfte an der
Rheinischen Musikschule anlässlich der Vorstellung des Haushaltsentwurfs",
2018-08-01 00:00:00,Domplatte (Römerbogen),50,Welterschöpfungstag,
2018-07-20 00:00:00,Bahnhofsvorplatz,35,Gedenkmahnwache für Suruc,
2018-07-19 00:00:00,Brüsseler Platz,15-40,Cube of Truth,
2018-07-18 00:00:00,"Heinrich-Lübke-Ufer/
Rodenkirchener Brücke",50,"Mahnwache anlässlich des tödlichen Unfalls
vom 16.06.",
2018-07-21 00:00:00,Domplatte (Römerbogen),50,Gegen Hinrichtungen im Iran,
2018-08-25 00:00:00,Barthonia Gelände Venloer Str.,10,"Forderung eines stärkeren Einsatzes von
Recycling Papier",
2018-08-07 00:00:00,Domplatte (vor dem Domforum),100,Atomwaffenverbot,
2018-08-21 00:00:00,Merianstraße (dortiger Parkplatz),180,"Mit Suite und Kantate gegen den Staat im
Staate - Geheimdienste abschalten!",
2018-08-02 00:00:00,Domplatte (Römerbogen),100,Antisemitismus,
2018-07-29 00:00:00,Domplatte (Blau-Gold-Haus),100,Freiheit und Rechte im Iran (Sitzstreik),
2018-08-26 00:00:00,Bahnhofsvorplatz,10-20,Heimat und Weltfrieden,
"01.08.2018
08.08.2018
15.08.2018
22.08.2018
29.08.2018
05.09.2018
12.09.2018
19.09.2018
26.09.2018
03.10.2018
10.10.2018
17.10.2018
24.10.2018
31.10.2018",Wallrafplatz,10-20,Freiheit für Adil Demirci und alle Jounalistinnen in der Türkei,
"01.09.2018
08.09.2018
15.09.2018
22.09.2018
29.09.2018
06.10.2018
13.10.2018
20.10.2018
27.10.2018
03.11.2018
10.11.2018
17.11.2018
24.11.2018
01.12.2018
08.12.2018
15.12.2018
22.12.2018
29.12.2018",Wallrafplatz,15-40,Cube of Truth,
2018-07-25 00:00:00,Bahnhofsvorplatz,20-30,Gender Mainstreaming,
2018-09-29 00:00:00,Bahnhofsvorplatz,50,Jesus walk Köln,
2018-09-16 00:00:00,"Roncalliplatz Friesenplatz
Heumarkt",10000,#ausgesetzt - Gemeinsam gegen die Politik der Angst,
2018-08-25 00:00:00,Roncalliplatz,10,Modernes Kindschaftsrecht- Wechselmodell als rechtliches Leitbild bei Trennung der Eltern,
2018-10-14 00:00:00,Roncalliplatz,1000,Pulse of Europe - Demokratie in Europa,
2018-08-05 00:00:00,Aachener Weiher,200-500,Kölns Speakers Corner,
2018-09-08 00:00:00,Roncalliplatz,100-150,Jahrestag der Massaker im islamischen Regime,
2018-08-04 00:00:00,Fischmarkt,30-100,Day Orange- Seebrücke- Schafft sichere Häfen!,
2018-07-29 00:00:00,"Platz unterhalb der
Hohenzollernbrücke",15-20,Aufklärung im Thema Tierrechte,
2018-08-01 00:00:00,Am Alten Posthof/ Zeppelinstr.,3-5,"Earth Overshoot Day, Erderschöpfungstag",
2018-08-01 00:00:00,Schildergasse 65-70 (P&C),max. 5,Aufklärung statt Verbote,
2018-08-03 00:00:00,Bahnhofsvorplatz,100-150,4. Jahrestag des Angriffs auf Shingal,
2018-09-20 00:00:00,Sömmeringstraße 72,16-18,Radsportfahrt gegen Rassismus,
2018-08-02 00:00:00,Rudolfplatz,15-40,Cube of Truth,
2018-08-09 00:00:00,Brüsseler Platz,15-40,Cube of Truth,
2018-08-04 00:00:00,"Ottoplatz (Beginn)
Heumarkt (Abschluß)",500,Seebrücke - Gegen das Sterben im Mittelmeer,
2018-08-04 00:00:00,Fischmarkt (Start u. Ende) Rheintreppen_ Kennendy-Ufer 2,50,Stoppt das Sterben im Mittelmeer,
2018-08-26 00:00:00,Ebertplatz,100,Solidarität mit Nicaragua,
2018-08-17 00:00:00,Wiener Platz,50,Pflegenotstand,
2018-08-04 00:00:00,Kalker Post,10,AfD zeigt Flagge auch in Kalk,
2018-08-18 00:00:00,Chlodwigplatz,10,"Forderung eines stärkeren Einsatzes von
Recycling Papier",
2018-08-04 00:00:00,Bahnhofsvorplatz,70,Unterstützung: der jüngste Widerstand im Iran,
2018-08-07 00:00:00,Domplatte (Römerbogen),20-30,"Mahnwache für das Leben und den Frieden in
Kolumbien",
2018-08-18 00:00:00,"Schildergasse vor Nr. 65-70
(P&C)",3,Menschenrechtsverletzungen in China,
"07.08.2018
08.08.2018
09.08.2018
10.08.2018
11.08.2018",Domplatte,30-50,Gegen Isolation und Folter - Freiheit für Öcalan,
2018-08-03 00:00:00,Domplatte (am Römerbogen),10-20,Mahnwache - Erfahrungen im Irak,
2018-08-11 00:00:00,Schildergasse (vor P&C),50,Die Lage der Frauen im Iran,
2018-08-11 00:00:00,Domplatte,50,Die Lage der Frauen im Iran,
2018-08-18 00:00:00,Bahnhofsvorplatz,100,"Kundgebung gegen Abschiebung von jungen
Flüchtlingen aus Afrika",
2018-09-01 00:00:00,"Bahnhofsvorplatz (Auftakt)
Heumarkt (Abschluss)",50-100,Nein zum Krieg!,
2018-08-13 00:00:00,Roncalliplatz,30-100,Keine Abschiebungen in den Tod!,
2018-08-18 00:00:00,Sternmarsch,je 100-150,Sternmarsch Gegen rechte Hetze,
2018-08-11 00:00:00,Roncalliplatz,30-60,Solidarität mit iranischer Bevölkerung,
2018-08-11 00:00:00,Schildergasse (vor P&C),10-15,Tierschutz/ gegen Massentierhaltung,
2018-09-29 00:00:00,Chlodwigplatz (Auftakt) Eierplätzchen (Abschluss),400-500,"Tanz für Toleranz, Respekt, Chancengleichheit, Gerechtigkeit und kulturelle Vielfalt",
"23.08.2018
24.08.2018
25.08.2018","Messeplatz 1, vor Eingang Ost",10,Ein Herz für Gamer,
2018-08-25 00:00:00,Heumarkt,200,"Samstagsmütter protestieren seit 700 Wochen
am selben Platz",
2018-08-18 00:00:00,Roncalliplatz,30-40,"Protest gegen die iranische Politik -
für Menschenrechte im Iran",
"24.08.2018
25.08.2018","Deutz-Mülheimer-Straße
Eingang Ost Messe",10,Games als Kulturgut anerkennen,
2018-08-12 00:00:00,Rheinaustraße 57,30-40,Erhalt der Tradition des Schürrekarrrennens,
2018-09-12 00:00:00,Bahnhofsvorplatz,50,"Elternrecht und Sexualerzeihung in der Schule
und Kita",
2018-09-02 00:00:00,"Deutzer Brücke
Treppe Rheinboulevard Deutz","2000-
4000",Rheinbrücken sind Seebrücken,
2018-08-27 00:00:00,"Schildergasse an der Wasser-
säule (nähe Kaufhof)",10,"Wassermesstour - Untersuchung und
Veröffentlichung der Nitratwerte",
2018-11-10 00:00:00,"Körnerstraße
Schönsteinstraße/Bartholo- mäus-Schinck-Straße",1500,Edelweißpiraten gegen Rassismus und Antisemitismus - gegen das Vergessen!,
2018-08-16 00:00:00,Chlodwigplatz,15-40,"Tierrechte, Umweltschutz, Gesundheit- Cube",
2018-08-30 00:00:00,Bahnhofsvorplatz,100,Abschiebung von jungen Flüchtlingen aus Afrika,
2018-08-18 00:00:00,Bahnhofsvorplatz,30-50,Solidarität mit der iranischen Bevölkerung,
"17.09.2018
18.09.2018
19.09.2018
20.09.2018
21.09.2018
22.09.2018
23.09.2018",Wallrafplatz,100,XI. Internationale Woche des Grundeinkommens,
2018-09-06 00:00:00,Domplatte (Blau Gold Haus),30,BDM ontour - Milchbauern brauchen Aussicht,
"01.09.2018
02.09.2018
08.09.2018
09.09.2018
15.09.2018
16.09.2018
22.09.2018
23.09.2018
06.10.2018
07.10.2018
13.10.2018
14.10.2018
20.10.2018
21.10.2018
27.10.2018
28.10.2018",Domplatte (Römerbogen),2-15,"Protest gegen Folter, Mord und illegale Organentnahme an Fallun Gong Praktizierenden in China",
2018-08-16 00:00:00,Bahnhofsvorplatz,50-80,"Stoppt den Genozid an KurdInnen
Stoppt den türkischen Staat/Militär",
2018-08-19 00:00:00,Roncalliplatz,100,Antikorruption und soziale Ungerechtigkeit,
2018-08-24 00:00:00,"Barmer Platz
Messeeingang Süd",ca. 10,Bundeswehr-Präsenz auf der Gamescom,
2018-08-25 00:00:00,"Dürener Straße 458
Roncalliplatz",30,Spenden-Radtour,
"31.08.2018
01.09.2018",Domplatte (Blau-Gold-Haus),100,"Demonstration für christliche Werte in der
Gesellschaft",
2018-09-28 00:00:00,"Bergisch-Gladbacher-Str. ,
beide Fahrspuren",200,Verkehrspolitische Themen,
2018-08-26 00:00:00,Kalk Post,10,Nein zum Krieg! Fluchtursachen bekämpfen,
2018-09-29 00:00:00,"Alter Markt (Auftakt)
Rudolfplatz (Abschluss)",100-200,"Umweltschutz/gegen Kohle/Trauerzug -
Die Erde zu Grabe tregen",
2018-08-25 00:00:00,Severinskirchplatz,5-10,"Mut zur Menschlichkeit - Für eine solidarische
Innenstadt",
2018-08-28 00:00:00,"Kirchplatz St. Hermann Joseph
Amselstraße",200,"Dünnwalder fordern: Erhalt des Jugendheims
als Bürgerhaus",
2018-09-01 00:00:00,Bahnhofsvorplatz,30-50,Solidarität mit iranischer Bevölkerung,
2018-09-08 00:00:00,Alter Markt,100,Rise for Climate - Köln sagt STOPP KOHLE!,
"23.08.2018
25.08.2018","Rudolfplatz
Wallrafplatz",15-40,"Tierrechte, Umweltschutz, Gesundheit- Cube",
2018-08-22 00:00:00,Bahnhofsvorplatz,50-100,Solidarität mit Shingal,
2018-08-24 00:00:00,Domplatte (Römerbogen),20,"Abtreibungen legalisieren - in Solidarität mit
den Frauen in Argentinien",
2018-08-25 00:00:00,Wiener Platz,30-40,Free Bobi Wine and the rest,
2018-08-31 00:00:00,Georgstraße,50,Demo sicherer Schulweg,
2018-08-26 00:00:00,Domplatte (Blau-Gold-Haus),10,SaveTheInternet,
2018-09-01 00:00:00,Severinskirchplatz,10,"Menschenrechte - keine Abschiebungen nach
Afghanistan",
2018-11-17 00:00:00,Domplatte,35,Liebe ist ein Meschenrecht,
2018-09-15 00:00:00,Wiener Platz,30,Wohnungspolitik in Köln,
2018-08-30 00:00:00,Blumenthalstraße 33,20,Solidarität mit Katrin Papke,
2018-09-12 00:00:00,Bahnhofsvorplatz,500-600,Gegenprotest Demo für alle,
2018-09-22 00:00:00,Bahnhofsvorplatz,10-20,Heimat und Weltfrieden,
2018-08-30 00:00:00,Rudolfplatz,15-40,"Tierrechte, Umweltschutz, Gesundheit- Cube",
2018-08-28 00:00:00,Breslauer Platz,10,Gegen Naziterror und Rassismus,
2018-08-28 00:00:00,Breslauer Platz,50-100,Solidarität mit getöteten Menschen,
"31.08.2018
01.09.2018","Freitag: Henry-Ford-Str.,
Eitorfer Str., West-Allee, Kalker Hauptstr./Trimbornstr.
Samstag: Kalker Hauptstr.",10,50 Jahre Arbeiterbund für den Wiederaufbau der KPD,
2018-09-09 00:00:00,"Aachener Weiher, nähe
Biergarten",200-500,Kölns Speakers Corner,
2018-09-01 00:00:00,Bahnhofsvorplatz,20-60,"Friedensdemo für junge Menschen: Impulse
für die Zukunft",
2018-09-02 00:00:00,Domplatte (Blau Gold Haus),20-60,"Friedensdemo für junge Menschen: Impulse
für die Zukunft",
2018-09-01 00:00:00,"Ebertplatz
Friesenplatz Innerer Grüngürtel",200-300,Bässe statt Bagger! Tanzdemo für den Hambacher Forst,
2018-09-13 00:00:00,Rathausplatz,10-20,Keine Pferde bei Köln Karnevalsumzügen,
2018-09-22 00:00:00,"Ottmar-Pohl-Platz
(hinter Kalk-Karree)",ca. 150,"Nutzung des Areals der Hallen Kalk für
kulturelle und bürgerschaftliche Zwecke",
2018-09-01 00:00:00,Bahnhofsvorplatz,30,"Solidarität mit den Samstagsmüttern in der
Türkei",
2018-11-24 00:00:00,"Bahnhofsvorplatz (Auftakt)
Friesenplatz (Abschluss)",250,"Wir nehmen uns die Nacht! /
Reclaim the night",
2018-09-08 00:00:00,Domplatte (Blau-Gold-Haus),30-50,Solidarität mit iranischer Bevölkerung,
2018-09-10 00:00:00,Bahnhofsvorplatz,30-100,Keine Abschiebungen in den Tod!,
2018-09-06 00:00:00,Alter Markt,15-40,"Tierrechte, Umweltschutz, Gesundheit- Cube",
2018-09-04 00:00:00,Domplatte,50,Gegen Hinrichtung von Ramin Hosienpanahi,
2018-09-05 00:00:00,Blumenthalstraße 33,30,"Mahnwache/Solidaritätsaktion/Pressegespräch
zum Prozess Deliveroo/Mittenmayer",
2018-09-26 00:00:00,Bahnhofsvorplatz,150-180,Anti-Erdogan-Kundgebung und Demo,
2018-10-06 00:00:00,Bahnhofsvorplatz,180-200,Internationaler Komplott gegen Abdullah Öcalan,
2018-09-11 00:00:00,Domplatte (Blau-Gold-Haus),20-30,Katalanischer Nationalfeiertag,
2018-12-16 00:00:00,Bahnhofsvorplatz,1000,"Steh auf, bewege dich! - Zusammen für eine
tolerante Gesellschaft",
2018-09-15 00:00:00,Schildergasse (vor P&C),15,"Stop Grind - Stopp das Wal- und Delfintöten Färöer
Inseln/Dänemark",
2018-09-18 00:00:00,Wiener Platz,30,Wohnungspolitik in Köln,
2018-09-09 00:00:00,Bahnhofsvorplatz,10,SaveTheInternet,
2018-09-23 00:00:00,"Venloer Straße 164 (Auftakt)
Domplatte (Abschluss)",50,Wider dem Unglauben,
"11.10.2018
12.10.2018",Domplatte (am Blau-Gold-Haus),35,"Demonstration für christliche Werte in unserer
Gesellschaft",
2018-09-22 00:00:00,"südlich Hohenzollernbrücke
Konrad-Adenauer-Ufer",20,"Demonstration für christliche Werte in unserer
Gesellschaft",
2018-09-11 00:00:00,Bahnhofsvorplatz,50,"Hinrichtung von Ramin Hosien Panahi und
Zanyar und Loqman Moradi",
2018-09-13 00:00:00,Theo-Burauen-Platz,10,Pferdefreie Rosenmontagsumzüge,
2018-09-14 00:00:00,Bahnhofsvorplatz,50,"Marielle Franco - 6-Monate-Ermordung
(Abgeordnete von Rio)",
2018-09-29 00:00:00,Breslauer Platz,500,"Gemeinsam gegen Rechtsruck! Für eine
offene Gesellschaft!",
2018-09-29 00:00:00,Breslauer Platz,300,"Gegen Extremismus und Gewalt, für ein
friedliches Miteinander",
2018-09-13 00:00:00,Wallrafplatz,20-40,Cube of Truth,
2018-09-20 00:00:00,Severinskirchplatz,ca. 10,Wohnen / Recht auf Stadt,
2018-09-21 00:00:00,Cäcilienstraße 42-48,30,"Lebenswerte Ost-West-Achse. Höhere
Aufenthaltsqualität durch weniger Parkplätze",
2018-12-01 00:00:00,Deutzer Werft,2000,Kohle stoppen! Klima schützen!,
2018-09-14 00:00:00,Breslauer Platz,5,#coexistday #Edelbuntpiraten #Bunte Moschee: Gegen das Ignorieren dieser Ideen,
2018-09-15 00:00:00,Neusser Straße / Florastraße,10-15,Mehr preiswerte Wohnungen,
"17.09.2018
18.09.2018","Eingang Ford
Ford Tor 1",5,"50 Jahre Arbeiterbund für den Wiederaufbau
der KPD",
2018-09-17 00:00:00,Ostheimer Straße/Waldstraße,10,Aktionswoche Wohnen der Patei Die Linke,
2018-10-03 00:00:00,"Friedrich-Ebert-Platz,
Leverkusen",200,"Wir trauern um die Opfer der verfehlten
Flüchtlingspolitik von Angela Merkel & Co.",
2018-09-28 00:00:00,Bahnhofsvorplatz,20,"Hoffnung säen für eine bunte und vielfältige
Gesellschaft am Tag des Flüchtlings",
2018-09-15 00:00:00,Domplatte (Blau-Gold-Haus),20-30,Ermordung von Ibrahim Devrim Top,
2018-09-22 00:00:00,Domplatte (Blau-Gold-Haus),30-50,Solidarität mit iranischer Bevölkerung,
2018-09-29 00:00:00,"Köln-Ehrenfeld
(Hans-Böckler-Platz)",200,Pressefreiheit und Demokratie,
2018-09-29 00:00:00,Ebertplatz,3000,Für Demokratie und Frieden in der Türkei,
2018-10-11 00:00:00,Domplatte (Kreuzblume),20,Pink für die Rechte von Mädchen!,
2018-09-20 00:00:00,Ottoplatz,20,Aktion von Anonymous for the Voiceless,
2018-09-29 00:00:00,"Heumarkt
muss noch kooperiert werden!","5000 -
7000",Erdogan not welcome - keine schmutzigen Details mit der Türkei,
"29.09.2018
abgesagt!!!",Deutzer Werft,"5000 -
10000",Keine Toleranz für Intoleranz und Diktatoren und Menschenrechtsverletzungen,
2018-10-04 00:00:00,Köln (Stüttgenweg),50,Kinderdemo Hambacher Forst,
2018-09-21 00:00:00,Alter Markt,500,"In Gedenken an den verunglückten Journalisten
im Hambacher Wald",
2018-09-28 00:00:00,Trimbornstraße/Gießener Straße (Aufgang zur S-Bahn),15,Gegen die ICE-Trasse Trimbornstraße,
"26.09.2018
abgesagt!!!!","Hönninger Platz/ Ecke
Makusstraße",30,Mahnwache gegen Rassismus,
2018-09-27 00:00:00,Köln (Theo-Burauen-Brunnen),30,"Protest für den Erhalt des alten Standortes einer
neuen Grundschule in Porz",
2018-09-27 00:00:00,"Luxemburger Straße
""Fläche zwischen den Gehwegen und dem Treppenaufgang des Amts- und Landgerichts",20,Nein zu Verdrängung,
2018-10-06 00:00:00,"Domplatte
(am Blau-Gold-Haus) Roncalliplatz",100,Welttag gegen Todesstrafe,
"28.09.2018
abgesagt am 28.09.2018",Domplatte (am Römerbogen),10 - 15,Solidarität mit iranischer Bevölkerung,
2018-09-29 00:00:00,"Venloerstraße (vor der DITIP-
Moschee",10,"Gegen PKK protestieren und Solidarität mit
Erdogan",
2018-09-29 00:00:00,Alter Markt,10 - 20,"Wald retten! Kohle stoppen!; Mobilisierung zur
Demo für den Erhalt des Hambacher Waldes am 06.10.2018",
2018-09-29 00:00:00,Köln-Deutz  (Otto-Platz),20 - 30,"Stärkung der politischen und wirtschaftlichen
Beziehungen zur Türkei",
2018-09-27 00:00:00,"Wiener Platz (neben KVB-
Abgang)",30 - 50,Protest/ Infos zum Erdogan Besuch,
2018-09-29 00:00:00,"Klarastraße/ Ecke Venloerstraße
(vor der Kirche)",10,"Solidarität mit Erdogan und gegen PKK
protestieren",
2018-09-29 00:00:00,Hans-Böckler-Platz,5,Gegen Herrn Erdogan,
2018-10-03 00:00:00,"Breidenbacherstraße
Leverkusen",100,"Refugees still welcome-Seenotrettung ist kein
Verbrechen",
"06.10.2018
07.10.2018","Köln (Venloerstraße bis zur
Stadtgrenze) - dann weiter nach Pulheim
hier ist KPB Rhein-Erft zuständig",500,Schwitzen gegen den Klimawandel - wegen Abholzungen und Umweltzerstörung im Hambacher Forst durch RWE,
2018-10-01 00:00:00,Bahnhofsvorplatz,30 - 100,Keine Abschiebungen in den Tod!,
2018-10-07 00:00:00,"Luxemburgerstraße
Zülpicher Platz",700,Erhalt vom AZ und Bauwagenplatz,
2018-10-05 00:00:00,Wallrafplatz,30,"Prekäre Beschäftigung im Bildungssektor:
Kundgebung zum Weltlehrerinnentag",
"05.10.2018
06.10.2018","Eitorfer Straße
Lilienthalstraße",10,"50 Jahre Arbeiterbund für den Wiederaufbau
der KPD",
2018-10-06 00:00:00,Köln-Porz (Hermannstraße),150,Gegen Holzkohleabbau Hambacher Forst,
2018-10-09 00:00:00,Köln-Sülz (Auerbachplatz),55,Müll - unser Umgang mit Müll,
2018-10-12 00:00:00,Breslauer Platz,50,Naturschutz&Klimawandel,
2018-10-13 00:00:00,Roncalliplatz,"1000 -
2000",Gegen Nationalismus für ein geeintes Europa,
2018-10-26 00:00:00,Stüttgenweg,150,Für den Erhalt des Hambacher Forsts,
2018-10-06 00:00:00,Rathenauplatz,20 - 30,Recht auf Stadt,
"08.10.2018
09.10.2018
10.10.2018
11.10.2018",Hans-Meyer-Weg - Venloerstraße,20 - 50,Tierfreunde für den Erhalt von Lebensräumen,
2018-11-17 00:00:00,Leverkusen,380,"Für den Erhalt der KGS Gezelin-Schule
Gegen große Schulen in Schlebusch",
2018-11-14 00:00:00,Bahnhofsvorplatz,1000,#WIRSINDHIER - Wir im Revier,
2018-11-09 00:00:00,Platz der Synaoge - Leverkusen,300,"Gedenktag am 09.11.2018 zur sog. Reichs-
pogromnacht",
2018-10-28 00:00:00,Bahnhofsvorplatz,10-20,Heimat und Weltfrieden,
2018-12-08 00:00:00,Bahnhofsvorplatz,100,Tag der Menschenrechte,
2018-10-14 00:00:00,Heumarkt,500,"Endspurt für den Kohleausstieg: Hambi bleibt!
Energie- und Verkehrswende jetzt!",
2018-10-13 00:00:00,Bahnhofsvorplatz,10,UN - Migrationspakt,
2018-11-24 00:00:00,Domplatte,100,Demo für mehr Optimismus,
2018-10-24 00:00:00,"Börsenplatz/Edith-Stein-
Denkmal",10000,"Revierfahrt ""Kommission Wachstum-Struktur
und Beschäftigung""",
2018-11-25 00:00:00,Wallrafplatz,70,Tag gegen die Gewalt gegen Frauen,
2018-10-11 00:00:00,DuMont Carré,20,Cube of Truth,
"12.10.2018
13.10.2018","Freitag: Henry-Ford-Str., Eitorfer Str., Henry-Ford-Str., Kalker Hauptstr.
Samstag: Kalker Hauptstr.,
Bezirksrathaus, Fuldaer Str.",20,50 Jahre Arbeiterbund für den Wiederaufbau der KPD,
2018-10-20 00:00:00,Bahnhofsvorplatz,30-50,Solidarität mit iranischer Bevölkerung,
2018-10-20 00:00:00,Alter Markt,100,Menschenhandel und Zwangsprostitution,
2018-10-27 00:00:00,Domplatte (Blau-Gold-Haus),20-40,Bewegung 24-0/Kunst und Kultur fürs Leben,
2018-10-27 00:00:00,Weltjugendtagsweg,20,"Demonstartion für christliche Werte in der
Gesellschaft",
2018-10-15 00:00:00,Stüttgenweg,75-150,"Nicht mit uns!? Auseinandersetzung Energie-
politik",
2018-10-27 00:00:00,Militärring (Beginn),3000-5000,"Fahren für das Leben-
Motorradkorso",
2018-10-13 00:00:00,Chlodwigplatz,10-15,Frieden ist möglich - auch in Palästina,
2018-10-18 00:00:00,"Mevissenstraße 144
Kardinal-Frings-Straße",20-40,"Katholische Kirche lässt in Berlin Wohnraum
verrotten",
2018-10-13 00:00:00,Chlodwigplatz,10-50,Gegen jeden Antisemitismus!,
2018-11-02 00:00:00,Eingang Messe Deutz,15-40,Cube of Truth,
2018-10-31 00:00:00,"Parklplatz Riehler Gürtel 2
Eingang Zoo",10-20,"Tiere allgemein im Zoo / Halloween im Kölner
Zoo",
2018-10-28 00:00:00,Parkplatz Lindenthaler Tierpark,10-20,Ponyreiten ist Tierquälerei,
