Datum,Unnamed: 1,erwartete TN-Zahl,Thema
2023-02-21 00:00:00,Dürener Straße/Hans-Sachs-Straße,20,Protest gegen patriarchale Gewalt aufgrund eines Femizids in Lindenthal
2023-02-22 00:00:00,Alter Markt über Rathaus Bonn bis Rathaus Koblenz,10,Anerkennung des Genozids an den Tamil:_innen
2023-02-23 00:00:00,Bahnhofsvorplatz,300,Gedenken an die Erdbebenopfer
2023-02-23 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-02-24 00:00:00,Heumarkt ,3000,Benefizkonzert für Frieden - Gegen Krieg in der Ukraine
2023-02-24 00:00:00,Roncalliplatz,3000,Jahrestag der russischen Invasion. Solidarität mit der Ukraine
2023-02-24 00:00:00,Kalk Post,50,Gegen den Kreig in der Ukraine
2023-02-24 00:00:00,Obenmarspforten 40,20,Wir fordern den runden Tisch mit dem ÖRR
2023-02-24 00:00:00,"Friedrich-Ebert-Platz, Leverkusen",100,Jährung der Ukraine-Invasion am 24.02.2022: Leverkusener Solidarität mit den betroffenen Menschen
2023-02-24 00:00:00,"Hans-Böckler-Platz, Alter Markt",100,"Für Verkehrswende in Köln, Mehr ÖPNV und Fahrrad"
2023-02-24 00:00:00,"Ulitzkastraße 1, Stegerwaldstraße/Edith-Stein-Straße",30,Gegen die akute Gefahr eines Weltkrieges
2023-02-24 00:00:00,Domplatte (Blau-Gold-Haus),25,Solidarität mit den Erdbebenbetroffenen nach dem jüngsten dritten Erdbeben in der Türkei
2023-02-25 00:00:00,in Kooperation ,100,Protest gegen politisch Gefangene im Iran
2023-02-25 00:00:00,Alter Markt                               Quatermarkt                              Appellhofplatz,500,"Stoppt das Töten in der Ukraine
Waffenexporte stoppen, Waffenstillstand und Friedensverhandlungen jetzt!"
2023-02-25 00:00:00,Ebertplatz,800,Solidaritätsversammlung für die Erdbebenofper in der Türkei und Syrien
2023-02-25 00:00:00,Domplatte (Kreuzblume),20,Lage der palästinensischen Gefangenen
2023-02-25 00:00:00,Bahnhofsvorplatz,70,Menschenrechte im Iran
2023-02-25 00:00:00,Glasstraße 6,10,Gegen Leerstand
2023-02-26 00:00:00,Kalk Post,75,Gedenken an die Erdbebenopfer
2023-02-26 00:00:00,Grünfläche Ecken Berrenrather Straße/Militärringstraße ,100,Kein Raum für die AfD in Köln! Rassistischen und antidemokratischen Gruppierungen keine öffentliche Räume überlassen!
2023-02-27 00:00:00,"Hans-Böckler-Platz bis Alter Markt, Willy-Brandt-Platz",2500,Tarifrunde öffentlicher Dienst
2023-02-27 00:00:00,Hans-Böckler-Platz,100,Versammlung im Rahmen der Tarifrunde TVöD
2023-02-28 00:00:00,Breite Straße/Auf dem Berlich,7,Mittagspausendemo für mehr Klimaschutz
2023-02-28 00:00:00,Reichenspergerplatz,10,Bessere Nebenverdienstmöglichkeiten für Rechtsreferendar:innen
2023-02-28 00:00:00,Domplatte,25,Solidaritätskundgebung mit den Erdbebenbetroffenen nach dem jüngsten Erdbeben in Izmir und Maras in der Türkei
2023-03-01 00:00:00,Friesenstraße 44-48,50,Protest gegen Propaganda von iranischem Regime
2023-03-01 00:00:00,Bahnhofsvorplatz,30,Politische Haft in der Türkei und im Iran
2023-03-02 00:00:00,Theo-Burauen-Platz,12,Schafft die Obdachlosigkeit ab!
2023-03-02 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-03-02 00:00:00,Keupstraße/Schanzenstraße,25,Solidaritätskundgebung mit den Betroffenen des Erdbebens in der Türkei
2023-03-03 00:00:00,"Uniwiese
Hansaring
Deutzer Werft",9000,Für eine nachhaltige Verkehrswende und weltweite Klimagerechtigkeit
2023-03-03 00:00:00,"Leverkusen, Wiesdorf Bahnhof",20,"Globaler Klimastreik, Verkehrswende"
2023-03-03 00:00:00,Bartholomäus-Schink-Straße,300,Zubringeraufzug zum Globalen Klimastreik in Solidarität mit den Beschäftigten des ÖPNVs
2023-03-04 00:00:00,Heumarkt ,3000,"Frauen Leben Freieheit Köln, Iran Demo"
2023-03-04 00:00:00,Domplatte (Kreuzblume),20,"Tierrechte, Veganismus"
2023-03-04 00:00:00,Am Hof/Wallrafplatz,15,Geschehnisse der letzten drei Jahr
2023-03-04 00:00:00,Bauruine Adler Group,10,Mahnwache gegen Leerstand der Bauruine
2023-03-04 00:00:00,Wiener Platz,10,Erdbeben Türkei
2023-03-06 00:00:00,Theo-Burauen-Platz,200,Schulplatz-Tombola stoppen! - Die Abgelehnten - Demonstration für eine (kind-)gerechte Schulplatzvergabe in Köln. Gegen Schulplatzmangel!
2023-03-06 00:00:00,Garthestraße/Philipp-Wirtgen-Straße,40,Keine Elterntaxis bis vor das Schultor
2023-03-06 00:00:00,Höhe Alter Markt 32,7,Kein Platz für friedensbewegte Querdenker*innen und Verschwörungserzähler*innen
2023-03-06 00:00:00,Wiener Platz,20,Mobilisierung zum Frauentag am 08.03.23
2023-03-07 00:00:00,Breslauer Platz             Roncalliplatz,250,Protestmarch afghanischer Frauen und Mädchen
2023-03-08 00:00:00,Wiener Platz,200,Frauen schließen sich international zusammen gegen das Patriarchat
2023-03-08 00:00:00,"Roncalliplatz
Chlodwigplatz",3000,Internationaler Weltfrauentag
2023-03-08 00:00:00,Roncalliplatz,2000,Iraner für Demokratie und gegen die Diktatur der islamischen Republik im Iran
2023-03-08 00:00:00,Hans-Böckler-Platz bis Alter Markt ,2000,Tarifrunde Öffentlicher Dienst Streikversammlung
2023-03-08 00:00:00,Ottoplatz bis L-Fritz-Gruber-Platz,500,Warnstreik TVÖD
2023-03-08 00:00:00,Chlodwigplatz ,8,moderne Sklaverei und Menschenhandel
2023-03-08 00:00:00,Liverpooler Platz,30,Internationaler Frauentag
2023-03-09 00:00:00,Bürgeramt Kalk,60,Neubau Sportanlage Rather See
2023-03-09 00:00:00,Theo-Burauen-Platz,50,Für den Erhalt des Bürger*innenzentrums Alte Feuerwache
2023-03-09 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-03-10 00:00:00,Bahnhofsvorplatz,45,Koranverbrennung - Anti-Islam-Demo
2023-03-10 00:00:00,Gerhard-Wilczek-Platz bis Lindenbornstraße 15,150,Fahrradschulbus - Anmahnen von sicherer Radinfrastruktur für Schüler*innen
2023-03-10 00:00:00,Kalk Post,15,Keine Videoüberwachung in Köln Kalk
2023-03-10 00:00:00,Bahnhofsvorplatz,30,Solidarität mit den palästinensischen Gefangenen
2023-03-10 00:00:00,Universitätsstraße/Park der Menschenrechte,20,Behandlung von Post-Vacc-Syndrom Patienten
2023-03-11 00:00:00,Heumarkt ,1000,Frieden schaffen ohne Waffen
2023-03-11 00:00:00,Heumarkt ,120,Kein Fußbreit von Deutschen Patrioten in Köln
2023-03-11 00:00:00,Neusser Landstraße 2,10,Krieg in der Ukraine
2023-03-11 00:00:00,Wallrafplatz,7,Tierrechte
2023-03-11 00:00:00,Neusser Straße 39,12,Mahnwache - Protest gegen Leerstand
2023-03-12 00:00:00,Roncalliplatz,200,Frauenrechte für Frauen in Afghanistan
2023-03-12 00:00:00,Rudolfplatz,1500,Frauentag - Unterstützung des iranischen Volksaufstandes und Menschenrechte
2023-03-13 00:00:00,"Leverkusen, Forum Leverkusen bis Rathaus Wiesdorf",300,Tarifverhandlungen für den öffentlichen Dienst VKA/Bund
2023-03-16 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-03-17 00:00:00,"Willy-Brandt-Platz
Alter Markt",1500,Tarifrunde öffentlicher Dienst
2023-03-17 00:00:00,"Hermann-Pünder-Straße
Kennedy-Ufer",100,Keine Räume für die AfD
2023-03-18 00:00:00,Deutzer Werft,1000,Neujahrsfest Newroz als Kundgebung : Newroz ist das Fest der Freiheit und Widerstand
2023-03-18 00:00:00,Ebertplatz,500,Newroz und Erinnerung an Afrins 5 Jährige Besatzung
2023-03-18 00:00:00,Bahnhofvorplatz bis Eigelsteintorburg,40,Tag der politischen Gefangenen
2023-03-18 00:00:00,Domplatte,20,Internationaler Schutz für die Palästineser/innen
2023-03-18 00:00:00,Rudolfplatz,35,Politische Haft in der Türkei und im Iran
2023-03-18 00:00:00,Schildergasse (P&C),40,Glaubensfreiheit für Christen mit einem bibeltreuen Werteverständnis
2023-03-18 00:00:00,Domplatte (Blau-Gold-Haus),40,Christliche Werte in Gesellschaft und Politik
2023-03-18 00:00:00,Schildergasse (P&C),6,Friede und die Freiheit
2023-03-18 00:00:00,Karl-Korn-Straße 4,12,Protest gegen Eigenbedarfsentmietung
2023-03-18 00:00:00,Domplatte Römerbogen,4,Wir sprechen über Jesus 
2023-03-19 00:00:00,Rudolfplatz bis Stadtgarten,1000,Kidical mass
2023-03-19 00:00:00,Roncalliplatz,500,"Neujahresfest ""Newroz"" und 5 Jährige Besatzung von Afrin"
2023-03-19 00:00:00,Bahnhofsvorplatz,60,Rettung der israelischen Demokratie
2023-03-20 00:00:00,Neumarkt,200,Newroz Aufzug gegen Terror und Gewalt
2023-03-20 00:00:00,Theo-Burauen-Platz,75,Gegen den Mangel an Grundschulplätzen
2023-03-21 00:00:00,Hans-Böckler-Platz bis Heumarkt Detzer Werft bis Heumarkt,7000,Tarifrunde öffentlicher Dienst
2023-03-21 00:00:00,Hans-Böckler-Platz,120,Versammlung im Rahmen der Tarifrunde TVöD
2023-03-21 00:00:00,Willy-Brandt-Platz bis Heumarkt,1000,Tarifrunde öffentlicher Dienst - Streikversammlung
2023-03-21 00:00:00,Alter Markt,100,Tarifrunde TVÖD
2023-03-23 00:00:00,Theo-Burauen-Platz,150,Situation Jugendamt Köln
2023-03-23 00:00:00,Rathausplatz,10,Verkehrswende
2023-03-23 00:00:00,Alter Markt,12,Schafft die Obdachlosigkeit ab!
2023-03-23 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-03-25 00:00:00,Rathaus Köln Kalk,4,"Heizung, Frieden, Brot"
2023-03-25 00:00:00,Rudolfplatz                                    Heumarkt,200,Aufklärungsmarsch zum Thema Endometriose
2023-03-25 00:00:00,Friedrich-Ebgels-Straße 7,20,Mahnwache - Protest gegen Leerstand und Zwangsräumung
2023-03-25 00:00:00,Chlodwigplatz,10,Krieg und Frieden
2023-03-25 00:00:00,Bahnhofsvorplatz,100,Demokratie für Belarus! Keine Diktatur! Solidarität mit Belarus und Ukraine: Stoppt den Krieg!
2023-03-25 00:00:00,Neumarkt 10,10,Ampelaktion Welttag zum Ende der Fischerei
2023-03-25 00:00:00,Riehler Straße/Ecke Haltestelle Zoo/Flora,55,"Zoo, artgerechte Haltung, Tiere in Gefangenschaft"
2023-03-25 00:00:00,Kalk Kapelle,5,Mobilitätswende auf der Kalker Hauptstraße / Kalker Hauptstraße autofrei?
2023-03-25 00:00:00,Aachener Straße 240-244,20,Leerstand Wohnraum
2023-03-25 00:00:00,Domplatte BGH,4,Wir sprechen über Jesus 
2023-03-25 00:00:00,Heidelberger Straße / Waldecker Straße,25,Benachteiligte Stadtteile
2023-03-26 00:00:00,Roncalliplatz,100,Kinder des Krieges
2023-03-26 00:00:00,Domplatte (Blau-Gold-Haus),25,Solidaritätskundgebung mit den Betroffenen des Erdbebens in der Türkei
2023-03-27 00:00:00,Bahnhofsvorplatz,25,Glaubensfreiheit für Christen mit einem bibeltreuen Werteverständnis
