"Datum
",Ort/e der Kundgebung,"erwartete TN-Zahl
",Thema
2022-03-10 00:00:00,Königsberger Platz,30,"Grundrechte, Freiheit"
2022-03-10 00:00:00,"KGS Dellbrück, Urnenstraße",200,Friedensmarsch von Grundschülern
2022-03-10 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-03-11 00:00:00,Kerpener Straße,300,Kundgebung ver.di: Entlastung/mehr Personal
2022-03-11 00:00:00,Rudolfplatz,10,Freiheit für Julian Assange
2022-03-11 00:00:00,Chlodwigplatz,8,Frieden - Freiheit - Zusammenhalt
2022-03-12 00:00:00,Bahnhofsvorplatz (lichtstele 3),20,Demokratie und Menschenrechte schützen! NEIN zum Muezzinruf!
2022-03-12 00:00:00,Wiener Platz,400,Nie wieder Krieg! Nie wieder Faschismus! Stoppt den Impfzwang! Schluss mit der Spaltung!
2022-03-12 00:00:00,Domplatte (Blau-Gold-Haus),20,Solidarität mit den palästinensischen Gefangenen
2022-03-12 00:00:00,Bahnhofstraße,100,Frieden für die Ukraine - Frieden für die Welt
2022-03-12 00:00:00,Roncalliplatz,150,Stimme erheben für Menschenrechtsverletzungen gegen Frauen in der Türkei
2022-03-12 00:00:00,Alter Markt,30,Gegen Folter und Misshandlung der politischen Gefangenen im Iran
2022-03-12 00:00:00,Schildergasse/Zeppelinstr.,12,Tierleid/Tierrechte/Veganismus
2022-03-12 00:00:00,"Hauptstraße/Berger Straße, Hauptstraße/Bahnhofstraße, Karlstraße/Josefstraße, Hauptstraße/Mühlenstraße",20,Corona Widerstand Köln 2022
2022-03-12 00:00:00,Dellbrücker Hauptstraße 64,250,Frieden in der Ukraine und überall
2022-03-12 00:00:00,Messeparkplatz Nord,1000,Dieselprotest
2022-03-12 00:00:00,Berrenrather Straße/Friedrich-Engels-Straße,50,Leerstehende Häuser für Geflüchtete und Obdachlose öffnen!
2022-03-13 00:00:00,Maternusplatz,250,"Fahrraddemo, Sanierungsstau der Radwege entlang der Straßen von Straßen-NRW"
2022-03-13 00:00:00,Roncalliplatz,5000,Frieden für Europa! Solidarität mit der Ukraine jetzt!
2022-03-14 00:00:00,Vogelsanger Markt,50,Solidarität mit der Ukraine
2022-03-14 00:00:00,Heumarkt,50,Coronamaßnahmen kritisieren JA - Mit Nazis spazieren NEIN
2022-03-14 00:00:00,"Leverkusen, Friedrich-Ebert-Platz bis Friedrich-Ebert-Platz",100,"Freiheit, Demokratie, Menschenrechte, freie Gesellschaft"
2022-03-16 00:00:00,Breslauer Platz,50,Jahrestag Chemischer Angriff auf die Stadt Halace
2022-03-17 00:00:00,Günter-Wand-Platz,10,Verkehrswende
2022-03-17 00:00:00,Martinstraße/Bolzengasse,15,Schafft die Obdachlosigkeit ab
2022-03-17 00:00:00,Königsberger Platz,20,"Grundrechte, Freiheit"
2022-03-17 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-03-18 00:00:00,"Bahnhofsvorplatz
Reichenspergerplatz",100,Internationaler Tag der Solidarität mit politischen Gefangenen
2022-03-19 00:00:00,"Wochenmarkt Holweide
Krankenhaus Holweide",200,Keine Schließung des Krankenhauses Holweide
2022-03-19 00:00:00,Blau-Gold-Haus        ,30,"Tierrechte, Ernährung & Veganismus"
2022-03-19 00:00:00,Bürgerpark Mülheim,500,Wir sind der springende Punkt! Kinderrechte im Kontext der Landtagswahl NRW
2022-03-19 00:00:00,"Rudolfplatz
Deutzer Werft",300,Kurdisches Neujahrsfest Newroz
2022-03-19 00:00:00,Bahnhofsvorplatz,10,Evangelium
2022-03-19 00:00:00,Roncalliplatz,300,Antikriegsbündnis
2022-03-19 00:00:00,Alter Markt,50,Unterstützung Arbeiterschaft im Iran und gefangene Arbeiter im Iran
2022-03-19 00:00:00,Heumarkt,40,Mahnwache für unsere Kinder - für Frieden und Klimagerechtigkeit
2022-03-19 00:00:00,Neumarkt,7,Ampeltaktion über Tierleid/Tierrechte/Veganismus
2022-03-19 00:00:00,Domplatte (Blau-Gold-Haus),50,Gegen Spritabzocke und für eine bezahlbare Energie
2022-03-20 00:00:00,Rudolfplatz bis Aachener Weiher,1000,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
