Datum;Thema;Teilnehmende (Angemeldet);Teilnehmende (tatsächlich);Kategorie;Stichwörter
12.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
12.01.2018;Nein zum Ausnahmezustand in der Türkei;30;60;Ausland;
12.01.2018;Schluss mit der aggressiven Politik der NATO (vom 13.12.2017 bis 01.03.2018 - jeweils Mi.,Do.,Fr.);20;;Frieden;
12.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;2;rechts;Reichsbürger
12.01.2018;Gegen Tierkonsum und Tierausbeutung;10;15;Tiere;
13.01.2018;Solidaritätsversammlung für Starpianistin Anastassiya Dranchuk.;40;1;Ausland;
13.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
13.01.2018;Gegen die Anerkennung der arabischen Stadt Jerusalem als Hauptstadt Israels;300;;Ausland;
13.01.2018;Protest gegen die Verfolgung von Krimtataren in Russland;20;15;Ausland;
13.01.2018;Solidarität mit dem iranischen Volk im Iran;50;;Ausland;
13.01.2018;Unterstützung der Protestbewegungen im Iran;150;50;Ausland;
13.01.2018;Kundgebung zum Tod von Oury Jalloh;150;50;Bürgerrechte;
13.01.2018;Wahlrecht für die in Deutschland lebenden Togoer und Rückkehr der Verfassung 1992;300;300;Bürgerrechte;
13.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;;rechts;Reichsbürger
13.01.2018;Tierrechtsaktivismus;20;8;Tiere;
13.01.2018;Tierschutz: Gegen Massentierhaltung;7;;Tiere;
14.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
14.01.2018;Meditation für den inneren und äußeren Frieden... (vom 07.01. bis 28.01.2018 - jeweils So.);20;12;Frieden;
14.01.2018;Luxemburg-Liebknecht-Ehrung 2018;10000;3700;Gedenken;
14.01.2018;Mahnwache anlässlich des 99. Jahrestages der Ermordung von Rosa Luxemburg und Karl Liebknecht;30;4;Gedenken;
14.01.2018;Gedenken an die Ermordung von Rosa Luxemburg und Karl Liebknecht im Januar 1919;150;120;Gedenken;
14.01.2018;Gedenken für Rosa Luxemburg und Karl Liebknecht;30;22;Gedenken;
14.01.2018;Gedenken zum 99. Todestag der Ermordung von Karl Liebknecht und Rosa Luxemburg;10000;2500;Gedenken;
14.01.2018;Liebknecht-Luxemburg-Gedenken;300;150;Gedenken;
14.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;2;rechts;Reichsbürger
14.01.2018;Protestaktion gegen Apassionata Gegen die Ausbeutung von Pferden zu Unterhaltungszwecken;10;16;Tiere;
15.01.2018;Gegen Bärgida / Pegida - Gegen Rassismus und soziale Ausgrenzung (vom 01.01. bis 31.12.2018 - jeweils Mo.);70;15;Antifa und Antira;
15.01.2018;Hartz Gesetze ? Agenda 2010 ?? Aktuelles (vom 08.01. bis 17.12.2018 - jeweils Mo.);70;10;Arbeit und Sozialpolitik;
15.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
15.01.2018;Mahnwache für Frieden und Menschenrechte (vom 08.01. bis 26.03.2018 - jeweils Mo.);12;5;Bürgerrechte;
15.01.2018;Frieden! Wie seit fast 200 Wochen. Lieben Dank für alles! (vom 01.01. bis 31.12.2018 - jeweils Mo.);100;15;Frieden;
15.01.2018;Gedenkveranstaltung zum Todestag von Rosa Luxemburg;50;25;Gedenken;
15.01.2018;BÄRGIDA - Berliner Patrioten gegen die Islamisierung des Abendlandes;50;30;rechts;
15.01.2018;BÄRGIDA - Berliner Patrioten gegen die Islamisierung des Abendlandes (vom 15.01. bis 25.06.2018 - jeweils Mo.);50;30;rechts;
15.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;2;rechts;Reichsbürger
15.01.2018;... gegen den falschen Standort BER ... (vom 23.10.2017 bis 29.01.2018 - jeweils );60;;Stadtpolitik;
15.01.2018;Mahnwache zur Erinnerung an die Opfer des atomaren Super-Gau im japanischen Fukushima, für den weltweiten Frieden UND soziale Gerechtigkeit (vom 18.09.2017 bis 15.03.2018 - jeweils Mo.,Do.);20;7;Umwelt;
16.01.2018;Warnstreik der Beschäftigten (Tarifauseinandersetzung in der Berliner Metall- und Elektroindustrie);2000;410;Arbeit und Sozialpolitik;
16.01.2018;Tarifauseinandersetzung studentische Beschäftigte;750;1100;Arbeit und Sozialpolitik;
16.01.2018;Tarifauseinandersetzung studentische Beschäftigte;200;;Arbeit und Sozialpolitik;
16.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
16.01.2018;Solidarität mit den Iranern. Wir bitten die USA dem Iranischen Volk beizustehen und zu helfen.;50;23;Ausland;
16.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;2;rechts;Reichsbürger
