ab August 2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
Datum,Beginn,Ende,Örtlichkeit (ink. AKG + SKG),Art,Organisation,Thema,angezeigte Teilnehmerzahl,,,,,,,,,,,,,,,,,,,
2022-08-27 00:00:00,09.25,20.30,Sendlinger Str. 8,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-28 00:00:00,14.00,17.00,Hirschgarten,stationär,Greenpeace München,"Mercosurabgaben, Waldvernichtung weltweit",5,,,,,,,,,,,,,,,,,,,
2022-08-28 00:00:00,12.00,13.00,Leopoldstraße 36,stationär,Grundeinkommen München e.V.,Das Bedingungslose Grundeinkommen,12,,,,,,,,,,,,,,,,,,,
2022-08-28 00:00:00,15.00,19.00,Hans-Mielich-Platz,stationär,,Vorstellung von kreativen Formen der Stadtgestaltung,20-30,,,,,,,,,,,,,,,,,,,
2022-08-28 00:00:00,09.25,20.30,Marienplatz,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-28 00:00:00,09.25,20.30,Sendlinger Str. 8,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-29 00:00:00,09.25,20.30,Marienplatz,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-29 00:00:00,09.25,20.30,Rindermarkt,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-30 00:00:00,18.00,20.45,Marienplatz,stationär,Anonymous for the voiceles,Activists for the Victims,5-20,,,,,,,,,,,,,,,,,,,
2022-08-30 00:00:00,09.25,20.30,Münchner Freiheit,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-30 00:00:00,09.25,20.30,Rindermarkt,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-30 00:00:00,17.00,19.30,Odeonsplatz,stationär,Ökumenisches Büro für Frieden und Gerechtigkeit e. V.,Performance / Theater: Zum Gedenken an die Opfer des Verschwindenlassens. Internationaler Tag der Opfer des gewaltsamen Verschwindenlassens.,50,,,,,,,,,,,,,,,,,,,
2022-08-30 00:00:00,11.15,14.45,Marienplatz,stationär,Ilham Tohti Initiative e. V.,Internationaler Tag der Verschwundenen 2022,2,,,,,,,,,,,,,,,,,,,
2022-08-30 00:00:00,08.00,11.30,Nymphenburgeretr. Ecke Sandstraße,stationär,,Freiheit für Mirza,30,,,,,,,,,,,,,,,,,,,
2022-08-30 00:00:00,15.00,18.00,Karlspl.,stationär,Active Love,Frieden und Gerechtigkeit in der Welt,10,,,,,,,,,,,,,,,,,,,-K265ca
2022-08-31 00:00:00,18.00,21.30,Marienplatz – Marienplatz,sfv,München steht auf,Wir laufen für die Versammlungsfreiheit und Selbstbestimmung Für Frieden Kein Krieg,1000,,,,,,,,,,,,,,,,,,,
2022-08-31 00:00:00,09.25,20.30,Willy-Brandt-Platz,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-31 00:00:00,09.25,20.30,Rindermarkt,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-08-31 00:00:00,17.30,18.30,Europaplatz,stationär,Amnesty International,Mahnwache zu Menschenrechten in Russland und zur Invasion in die Ukraine,10-20,,,,,,,,,,,,,,,,,,,
2022-09-01 00:00:00,17.00,19.00,Karlsplatz,stationär,Frauenverband Courage München,Antikriegstag – Frauen fordern Frieden,50,,,,,,,,,,,,,,,,,,,
2022-09-01 00:00:00,17.30,19.30,Schwanthalerstr. 64 – Theresienhöhe,sfv,,Antikriegstag   ,100,,,,,,,,,,,,,,,,,,,
2022-09-01 00:00:00,09.25,20.30,Willy-Brandt-Platz,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-09-01 00:00:00,09.25,20.30,Rindermarkt,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-09-01 00:00:00,18:00:00,19:00:00,Hopfenstraße (vor BR Hochhaus) auf öffentlicher Gehwegfläche bzw. Verkehrsfläche ,stationär,,Mahnwache LeuchtturmARD - Schluss mit Propaganda und Desinformation,5-20,,,,,,,,,,,,,,,,,,,
2022-09-01 00:00:00,18.00,19.00,Paul-Heyse-Str. 2-4 bei Merkur auf der öffentlichen Gehwegfläche,stationär,,Mahnwache für Multipolare Ausgewogene Staatsferne Medien,2-20,,,,,,,,,,,,,,,,,,,
2022-09-01 00:00:00,12.45,15.45,Kistlerhofstraße 60 ggü. Chin. Konsulat,stationär,Falun Gong ,"Beendigung der 21. Jahre Folter, Organraubs und Mord an Falun Gong Praktizierenden in China",30,,,,,,,,,,,,,,,,,,,
2022-09-02 00:00:00,14.00,17.00,Marienplatz bis GSP,sfv,FFF,FFF,300,,,,,,,,,,,,,,,,,,,
2022-09-02 00:00:00,09.25,20.30,Karlsplatz,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-09-02 00:00:00,09.25,20.30,Rindermarkt,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-09-02 00:00:00,14.00,16.00,Odeonsplatz,stationär,Verein für vedische Kultur e.V.,Veganismus,10,,,,,,,,,,,,,,,,,,,
2022-09-03 00:00:00,14.00,16.30,Münchner Freiheit,stationär,,Info`s auf d`Straß ,20,,,,,,,,,,,,,,,,,,,
2022-09-03 00:00:00,14.00,17.45,Königsplatz – Königsplatz,sfv,München steht auf,"Wir laufen für den Frieden – kein Krieg, Selbstbestimmung in allen Bereichen auch in der pers. Impfentscheidung",5000,,,,,,,,,,,,,,,,,,,
2022-09-03 00:00:00,15.00,18.00,Odeonsplatz Platz vor der Feldherrnhalle,stationär,Active Love,Active Love,10,,,,,,,,,,,,,,,,,,,
2022-09-03 00:00:00,noch offen,noch offen,Rindermarkt,stationär,,noch offen,noch offen,,,,,,,,,,,,,,,,,,,
2022-09-03 00:00:00,09.25,20.30,Max-Joseph-Platz,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-09-03 00:00:00,09.25,20.30,Rindermarkt,stationär,,Menschrechtsverletzungen im Iran,6,,,,,,,,,,,,,,,,,,,
2022-09-03 00:00:00,14.00,16.30,Lottlisa-Behling-Weg bis Heimstettner See,sfV (Autokorso),,Aufhebung aller Sanktionen - Wir schaden uns selbst Keine Corona-Maßnahmen mehr,60 Tn in 40 PKW,,,,,,,,,,,,,,,,,,,
2022-09-03 00:00:00,11.45,16.34,Karlsplatz,stationär,Falun Gong ,"Beendigung der 21. Jahre Folter, Organraubs und Mord an Falun Gong Praktizierenden in China",30,,,,,,,,,,,,,,,,,,,
2022-09-04 00:00:00,09.00,13.30,"Olympiapark, Brundageplatz – Fliegerhorst (FFB)",sfv (Fahrrad),ADFC München,"Olympia 1972 Erinnerungsfahrt 2022, zum 50-järigen Jahrestag",1000,,,,,,,,,,,,,,,,,,,
