2022 bis einschließlich Juli,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Datum Versammlung,Versammlungsbeginn,Versammlungsende,Örtlichkeit (ink. AKG + SKG),Stationär / sfv,Organisation,Thema,TN-Zahl
2022-01-13 00:00:00,18:00:00,20:30:00,Siegestor bis Münchner Freiheit,sfV,,"Für Wissenschaft, gegen Geschwurbel.",20
2022-01-14 00:00:00,13.00,14.00,Marienplatz,stationär,Frauen in Schwarz,"Frauen in Schwarz, Mahnwache Frieden in Nahost",15
2022-01-14 00:00:00,14.00,offen,Marienplatz – Max-Joseph-Platz,sfv,,Fridays For Future,100
2022-01-14 00:00:00,18.00,19.30,Obere Grassstr. 1,stationär,,illegaler Abriss des Uhrmacherhäusls in der Oberen Grasstr. 1,40-50
2022-01-14 00:00:00,18.00,20.00,Theresienwiese,stationär,,Gemeinsam für den Frieden,10000
2022-01-14 00:00:00,17:45:00,20:30:00,Münchner Freiheit – Ludwigsstr. Von der Münchner Freiheit zum Siegestor,sfV,,Für freie Impfentscheidung für alle! Gegen Impfzwang!,35
2022-01-14 00:00:00,17:45:00,20.30,"HBF, Elisenstraße. Dachauerstr. Im Kreis",sfV,,Für freien Frienden und friedliche Freiheit,20
2022-01-14 00:00:00,08:00:00,09:00:00,Eulenhorst - Waldspaziergang durch den Truderinger Frost - Eulenhorst,sfv,,Gassi für den Weltfrieden,5
2022-01-15 00:00:00,13.00,18.00,Karlsplatz,stationär,,"#OpSafeWinter, Obdachlosigkeit im Winter (Obdachlosenhilfe) von StreetOps",30
2022-01-15 00:00:00,13.00,16.00,Sendlinger Str. 8,stationär,,Bilder von unschuldigen Menschen,15
2022-01-15 00:00:00,13.00,15.30,Max-Joseph-Pl.,stationär,,Für freie Impfentscheidung,50
2022-01-15 00:00:00,14:45:00,17:45:00,Marienplatz,stationär,,Anonymous For The Voiceless,5-20
2022-01-15 00:00:00,14.00,16.00,Theresienwiese,stationär,Bündnis um München steht auf,Wir zeigen Gesicht für die Versammlungsfreiheit,ohne
2022-01-15 00:00:00,14.00,16.00,Theresienwiese – Theresienwiese,sfv,,Zwangsimpfung ist die rote Linie,200 Menschen in 120 KFZ
2022-01-15 00:00:00,17:45:00,20:30:00,Münchner Freiheit – Ludwigsstr. Von der Münchner Freiheit zum Siegestor,sfV,,Für freie Impfentscheidung für alle! Gegen Impfzwang!,35
