Versammlungsgeschehen in Dresden März bis Dezember 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
 Datum ,Ort,Thema,Teilnehmerzahl Anmeldung
2023-06-26 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-06-26 00:00:00,Dresden ,"Keine trommelnden Nazis an der Synagoge!"".",25
2023-06-27 00:00:00,Dresden,Drohnenterror Stoppen - Türkische Angriffe auf Nord-/Ostsyrien beenden,30
2023-06-28 00:00:00,Dresden ,Nein zum Heim -Wir fordern einen Volksentscheid!,250
2023-07-01 00:00:00,Dresden,Für Frieden und Freiheit,75
2023-07-01 00:00:00,Dresden,Feministische Oben-Ohne-Fahrrad-Demo,100
2023-07-01 00:00:00,Dresden ,Neustadt? Autofrei!,200
2023-07-03 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-07-04 00:00:00,Dresden,Europa statt EU,20
2023-07-04 00:00:00,Dresden,"Für souveräne Staaten in Europa - ohne WHO, WEF und EU",50
2023-07-05 00:00:00,Dresden,Klimakollaps verhindern - Grundrechte schützen,30
2023-07-05 00:00:00,Dresden,Nein zum Heim - Ja zur Heimat! - Zentraler Asylprotest Dresden,200
2023-07-07 00:00:00,Dresden,Erhalt des Wäldchens am Nürnberger Platz.,45
2023-07-07 00:00:00,Dresden,"""Das Gesundheitswesen steht auf - für eine gesunde Zukunft. Missstände und Personalmangel im Gesundheitswesen aufzeigen und beseitigen.
Gegen gesellschaftliche Spaltung, für einen friedlichen Dialog.""
",
2023-07-07 00:00:00,Dresden,Nein zum Heim - Ja zur Heimat! - Brennpunktdemo,100
2023-07-10 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-07-12 00:00:00,Dresden,Klimakollaps verhindern - Grundrechte schütze,30
2023-07-12 00:00:00,Dresden,Nein zum Heim – Ja zur Heimat!,200
2023-07-15 00:00:00,Dresden,Niemand muss Täter sein. Gegen die Normalität sexualisierter Gewalt. ,100
2023-07-17 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-07-19 00:00:00,Dresden,Nein zum Heim – Ja zur Heimat!,200
2023-07-19 00:00:00,Dresden,Drohnenkrieg Stoppen! ,50
