Lfd. Nr. ,Datum der Vers,Thema,Unnamed: 3,Unnamed: 4
,,,TN angemeldet,TN anwesend
312.0,2023-11-18 00:00:00,Forderung nach einer humanitären Waffenruhe für Gaza – stoppt den Krieg in Nahost! ,1000,300
313.0,2023-11-24 00:00:00,Forderung nach einer humanitären Waffenruhe für Gaza – stoppt den Krieg in Nahost! ,1000,70
314.0,2023-11-23 00:00:00,Kein Comeback für Frauenschläger / Internationaler Tag gegen Gewalt an Frauen und Mädchen,50,54
315.0,2023-12-14 00:00:00,Menschenrechte und Demokratie,120,110
316.0,2023-12-01 00:00:00,Welt-AIDS-Tag,30,10
317.0,2023-11-25 00:00:00,EKR 2023 - TV-L,45,
318.0,2023-11-16 00:00:00,Warnstreik,60,
319.0,2023-11-20 00:00:00,Recht auf Leben und Selbstbestimmung,150,43
320.0,2023-11-21 00:00:00,Medizinische Grundversorgung,9,
321.0,2023-11-22 00:00:00,Friedenssingen,10,
322.0,2023-11-23 00:00:00,Nieder mit den Waffen - gegen Krieg und Militarismus,20,13
323.0,2023-12-03 00:00:00,Tierrechte/Tierethik,10,9
324.0,2023-12-17 00:00:00,Tierrechte/Tierethik,10,
325.0,2023-11-24 00:00:00,Schulsozialarbeit verstetigen – Postkarten Aktion – Übergabe an Politiker:innen,20,10
326.0,2023-11-25 00:00:00,"Auftaktveranstaltung der Aktion ""Gewalt kommt nicht in die Tüte"" anlässlich des internationalen Tages der Gewalt an Frauen",50,50
327.0,2023-11-27 00:00:00,Recht auf Leben und Selbstbestimmung,150,37
328.0,2023-12-04 00:00:00,Recht auf Leben und Selbstbestimmung,150,69
329.0,2023-11-27 00:00:00,Energiepreisstopp,10,7
330.0,2023-12-01 00:00:00,Bargeld erhalten,150,35
331.0,2023-12-09 00:00:00,Die Globale Umweltkatastrophe hat begonnen!,20,
332.0,2023-12-08 00:00:00,Forderung nach einer humanitären Waffenruhe für Gaza – stoppt den Krieg in Nahost! ,600,83
333.0,2023-12-02 00:00:00,"""Cube of Truth"" - Aufklärung über Tierrechte",10,7
334.0,2023-12-16 00:00:00,"""Cube of Truth"" - Aufklärung über Tierrechte",10,9
335.0,2023-12-06 00:00:00,Warnstreik,250,
336.0,2023-12-04 00:00:00,gegen Kriegspolitik und Militariserung unserer Gesellschaft,8,3
337.0,2023-12-11 00:00:00,Recht auf Leben und Selbstbestimmung,150,41
338.0,2023-12-18 00:00:00,Recht auf Leben und Selbstbestimmung,150,
339.0,2023-12-14 00:00:00,Landwirtschafter Bezug,50,80
