Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
195.0,2019-11-16 00:00:00,17:00-20:00,Aufzug,Protest gegen Faschismus,2019-11-11 00:00:00
196.0,2019-11-16 00:00:00,12.00-15.00,Breiter Weg,Internationaler Tag der Toleranz,2019-11-12 00:00:00
197.0,2019-11-29 00:00:00,15.00-22.00,Universitätsplatz,Global Climate Action Day / Globaler Klima-Aktionstag,2019-11-12 00:00:00
198.0,2019-11-22 00:00:00,08.00-09.00,Domplatz,Gegen eine Arbeitszeiterhöhung für Lehrkräfte,2019-11-15 00:00:00
199.0,2019-11-26 00:00:00,03.00-05.00,LSA,Land schafft Verbindung - Sternfahrt nach Berlin       Route 1 (B190 - B189),2019-11-12 00:00:00
200.0,2019-11-26 00:00:00,01.30-05.00,LSA,Land schafft Verbindung - Sternfahrt nach Berlin       Route 2 (B188),2019-11-12 00:00:00
201.0,2019-11-26 00:00:00,00.30-04.00,LSA,Land schafft Verbindung - Sternfahrt nach Berlin     Route 3 (Irxleben - B1),2019-11-12 00:00:00
202.0,2019-11-26 00:00:00,00.30-04.00,LSA,Land schafft Verbindung - Sternfahrt nach Berlin    Route 4 (Sülzetal - B1),2019-11-12 00:00:00
203.0,2019-11-25 00:00:00,21.30-05.00,LSA,Land schafft Verbindung - Sternfahrt nach Berlin    Route 5 (Sangerhausen - BAB9),2019-11-12 00:00:00
204.0,2019-11-25 00:00:00,,LSA,Land schafft Verbindung - Sternfahrt nach Berlin     Route 6 (Großkugel - BAB9),2019-11-12 00:00:00
205.0,2019-11-25 00:00:00,23.30-05.00,LSA,Land schafft Verbindung - Sternfahrt nach Berlin    Route 7 (Osterfeld - BAB9),2019-11-12 00:00:00
206.0,2019-11-25 00:00:00,14.00-17.00,LSA,Land schafft Verbindung - Sternfahrt nach Berlin    Route 8 (NRW - B1),2019-11-21 00:00:00
207.0,2019-11-25 00:00:00,,LSA,Land schafft Verbindung - Sternfahrt nach Berlin    Route 9 (TH - BAB9),2019-11-22 00:00:00
208.0,2019-11-27 00:00:00,,LSA,Land schafft Verbindung - Sternfahrt von Berlin       Route 10 (BAB9 - TH),2019-11-22 00:00:00
209.0,2019-12-05 00:00:00,14.00-16.30,Aufzug,#freiefahrtfuerfreiwillige,2019-11-21 00:00:00
210.0,2019-12-03 00:00:00,16.20-19.00,Aufzug,"Azubi-Ticket Jetzt! 1€ am Tag, 100% Sachsen-Anhalt",2019-11-27 00:00:00
211.0,2019-12-04 00:00:00,12.30-13.30,Kundgebung,Abschaffung der Straßenausbaubeiträge,2019-11-28 00:00:00
212.0,2019-12-03 00:00:00,16.00-17.30,Breiter Weg,Women defind Rojava,2019-12-01 00:00:00
213.0,2019-12-05 00:00:00,18.00-20.00,Ernst-Reuter-Allee,Cube of truth - Mahnwache für ermordete Lebewesen,2019-12-02 00:00:00
214.0,2019-12-16 00:00:00,18.00-20.00,Ernst-Reuter-Allee,Cube of truth - Mahnwache für ermordete Lebewesen,2019-12-02 00:00:00
215.0,2019-12-13 00:00:00,13.00,Aufzug,Klimagerechtigkeit,2019-12-03 00:00:00
216.0,2019-12-18 00:00:00,16.00-17.30,Domplatz,Protest gegen die Änderung der Arbeitszeitverordnung,2019-12-03 00:00:00
217.0,2019-12-07 00:00:00,10.00-17.00,Otto-von-Guericke-Straße,20-jährige Verfolgung von Falun Gong,2019-12-04 00:00:00
218.0,2019-11-21 00:00:00,09.00-15.00,Domplatz,Abschaffung der Straßenausbaubeiträge,2019-11-18 00:00:00
219.0,2019-11-22 00:00:00,09.00-14.00,Domplatz,Abschaffung der Straßenausbaubeiträge,2019-11-18 00:00:00
220.0,2019-12-14 00:00:00,10.00-16.00,Goldschmiedebrücke,Menschenrechtsverletzungen in der Türkei,2019-11-18 00:00:00
221.0,2019-12-13 00:00:00,16.00-19.00,Universitätsplatz,Klimavernetzung,2019-12-06 00:00:00
222.0,2019-12-19 00:00:00,11.00-11.30,Domplatz,"Keine erneute Erdöl- und Erdgasförderung in der Altmark, Tourismusgebiet Arendsee erhalten",2019-12-17 00:00:00
223.0,2019-12-20 00:00:00,15.00-18.00,Breiter Weg,Kundgebung gegen Polizeigewalt und Angriffe auf die Minderheiten in Indien,2019-12-17 00:00:00
