Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung,Unnamed: 6,Unnamed: 7
,,,,,,TN angemeldet,TN anwesend
278.0,2021-07-08 00:00:00,16:00-19:00,Alter Markt,Gegen die Abschibebung der Familie Bajamovic/Für den dauerhaften Aufenthalt der Familie Barjamovic,2021-07-06 00:00:00,80 bis 100,80
279.0,2021-07-14 00:00:00,16:00-19:00,Alter Markt,Gegen die Abschibebung der Familie Bajamovic/Für den dauerhaften Aufenthalt der Familie Barjamovic,2021-07-08 00:00:00,200,100
280.0,2021-07-15 00:00:00,13:30-17:00,Alter Markt,Rettet den Stadtpark ROTEHORN,2021-07-09 00:00:00,2 bis 20,2
281.0,2021-07-16 00:00:00,17:00-19:30,Thiemplatz,Wählerinitiative für die MLPD und Daniel Wiegenstein als Direktkandidat zur Bundestagswahl 2021,2021-07-09 00:00:00,15 bis 25,
282.0,2021-07-17 00:00:00,15:00-19:00,Alter Markt,"SOS-KUBA (Forderung zu Aufklärung der Verletzung von Menschenrechten in Kuba und die kritische Situation, welche die Kubaner*innen in Moment durchleben.)",2021-07-12 00:00:00,100,31
283.0,2021-07-30 00:00:00,17:00-19:00,Alter Markt,Flaggenhissen vom Rathaus und CSD Eröffnung,2021-07-13 00:00:00,100,88
284.0,2021-07-17 00:00:00,15:30-17:30,"Domplaatz, Nordseite",Recht auf selbstbestimmtes Leben,2021-07-09 00:00:00,100,15
285.0,2021-08-06 00:00:00,10.00-18.00,Breiter Weg,Mahnwache zu Hiroshima und Nagasaki,2021-07-17 00:00:00,10,k.A.
286.0,2021-08-06 00:00:00,15.00-16.00,Alter Markt,Gedenkstunde zu Hiroshima und Nagasaki,2021-07-17 00:00:00,20,k.A.
287.0,2021-08-30 00:00:00,15.45-18.30,Aufzug                           BK/ MD/ BK,Fahrradtour für eine klimagerechte Mobililtätswende,2021-07-18 00:00:00,50,29
288.0,2021-07-24 00:00:00,15.30-17.30,Domplatz,Recht auf selbstbestimmtes Leben,2021-07-19 00:00:00,100,10
289.0,2021-09-05 00:00:00,10.00-18.00,Aufzug,Anti-Kriegstag bzw. Welt-Friedenstag,2021-07-26 00:00:00,300,105
290.0,2021-07-30 00:00:00,15.00-17.00,Domplatz,Coronainfo,2021-07-26 00:00:00,200,150
291.0,2021-08-28 00:00:00,16.00-20.00,Aufzug,Solidarität mit den politischen Gefangenen in der Türkei,2021-07-27 00:00:00,100,35
