Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
29.0,2018-02-01 00:00:00,14.00-16.00,Stadtparkstraße,Solidarität mit Afrin,2018-01-31 00:00:00
30.0,2018-02-04 00:00:00,ab 14.00,Aufzug,Solidarität mit Afrin,2018-01-31 00:00:00
31.0,2018-03-08 00:00:00,17.00-19.00,Aufzug,Heraus zum Internationalen Frauenkampftag,2018-02-06 00:00:00
32.0,2018-02-07 00:00:00,11.00-16.00,Breiter Weg,Für die Solidarität mit Afrin!,2018-02-06 00:00:00
33.0,2018-02-09 00:00:00,11.00-16.00,Willy-Brandt-Platz,Für die Solidarität mit Afrin!,2018-02-06 00:00:00
34.0,2018-02-10 00:00:00,13.00-16.00,Aufzug,Demonstration für Afrin,2018-02-07 00:00:00
35.0,2018-02-21 00:00:00,08.00-15.30,Aufzug,Tarifauseinandersetzung Deutsche Post AG,2018-02-12 00:00:00
36.0,2018-02-22 00:00:00,08.00-15.30,Aufzug,Tarifauseinandersetzung Deutsche Post AG,2018-02-12 00:00:00
37.0,2018-02-23 00:00:00,08.00-15.30,Aufzug,Tarifauseinandersetzung Deutsche Post AG,2018-02-12 00:00:00
38.0,2018-02-22 00:00:00,16.30-17.30,Alter Markt,Übergabe der Petition in der Stadtratssitzung,2018-02-15 00:00:00
39.0,2018-03-01 00:00:00,16.00-17.00,Olvenstedter Graseweg,Gedenken an die ermordeten Sinti und Roma,2018-02-15 00:00:00
40.0,2018-02-22 00:00:00,17.30-18.30,Domplatz,Wenn jeder wartet bis der andere anfängt … Mahnwache für Menschenwürde,2018-02-22 00:00:00
41.0,2018-02-24 00:00:00,12.00-17.00,Willy-Brandt-Platz,Für die Solidarität mit Afrin - Gegen die Angriffe gegen zivile Ziele am gestrigen Tag!,2018-02-23 00:00:00
42.0,2018-03-08 00:00:00,07.00-11.00,Domplatz,Die Hälfte der Macht den Frauen / Aktion zum Weltfrauentag,2018-02-23 00:00:00
43.0,2018-03-10 00:00:00,14.00-18.00,Aufzug,Solidarität mit Afrin,2018-02-28 00:00:00
44.0,2018-03-12 00:00:00,13.00-15.00,Fraunhoferstraße,Warnstreik bei der Deutschen Telekom AG - DT Service GmbH,2018-03-06 00:00:00
45.0,2018-03-10 00:00:00,21.30-22.40,Willy-Brandt-Platz,Solidarität mit Afrin,2018-03-10 00:00:00
46.0,2018-03-11 00:00:00,17.00-18.30,Willy-Brandt-Platz,Solidarität mit Afrin,2018-03-11 00:00:00
47.0,2018-03-23 00:00:00,12.15-13.15,Aufzug,Vielfalt! Das Ökumenische Domgymnasium für eine offene und tolerante Gesellschaft,2018-03-08 00:00:00
48.0,2018-03-19 00:00:00,08.30-09.00,Aufzug,Warnstreik Tarifrunde Bund und Kommunen,2018-03-12 00:00:00
49.0,2018-03-19 00:00:00,09.00-13.00,Breiter Weg,Warnstreik Tarifrunde Bund und Kommunen,2018-03-12 00:00:00
50.0,2018-03-14 00:00:00,23.00-23.28,Willy-Brandt-Platz,Solidarität mit Afrin,2018-03-14 00:00:00
51.0,2018-04-05 00:00:00,13.00-14.00,Breiter Weg,Zum Andenken an Hannes,2018-03-19 00:00:00
52.0,2018-03-21 00:00:00,16.00-19.30,Aufzug,Solidarität mit Afrin,2018-03-19 00:00:00
53.0,2018-03-22 00:00:00,10.00-10.45,Aufzug,Warnstreik bei der Deutschen Telekom AG  ,2018-03-19 00:00:00
54.0,2018-04-20 00:00:00,08.00-20.00,Stadtpark,"für Freiheit, Frieden, Liebe, Chancengleichheit, Zukunft",2018-04-04 00:00:00
55.0,2018-05-01 00:00:00,09.00-11.30,Aufzug,"Hol´dir was du verdienst - Dein Geld, Deine Zeit, Dein Bier",2018-03-28 00:00:00
56.0,2018-04-10 00:00:00,08.30-13.00,Fraunhoferstraße,Warnstreik bei der Deutschen Telekom AG - DT Service GmbH,2018-04-04 00:00:00
57.0,2018-05-17 00:00:00,16.00-19.00,Breiter Weg,Internationaler Tag gegen Homophobie und Transphobie 2018,2018-03-21 00:00:00
58.0,2018-04-28 00:00:00,09.00-19.00,Breiter Weg,Solidarität mit dem kurdischen Befreiungskampf,2018-04-09 00:00:00
59.0,2018-03-31 00:00:00,14.00-18.00,Aufzug,Gegen Mietwucher und Verdrängung,2018-03-30 00:00:00
60.0,2018-04-14 00:00:00,17.00-19.00,Aufzug,Solidarität mit Afrin,2018-04-13 00:00:00
61.0,2018-04-27 00:00:00,16.00-20.00,Auto-Aufzug,Afrin soll leben,2018-04-17 00:00:00
62.0,2018-05-05 00:00:00,11.00-17.00,Breiter Weg,Bessere Ausbildungsbedingungen für Psychotherapeuten,2018-04-12 00:00:00
63.0,2018-04-21 00:00:00,10.00-18.00,Willy-Brandt-Platz,19 Jahre Völkermord in China,2018-04-15 00:00:00
64.0,2018-05-01 00:00:00,10.00-14.00,Alter Markt,"Maikundgebung ""Solidarität - Vielfalt - Gerechtigkeit""",2018-04-23 00:00:00
65.0,2018-04-25 00:00:00,17.45-20.00,Julius-Bremer-Straße,Magdeburg trägt Kippa - Solidarität gegen Antisemitismus,2018-04-24 00:00:00
66.0,2018-05-09 00:00:00,16.00-17.00,Brücke am Wasserfall,"Gedenken an Torsten Lamprecht anlässlich des Jahrestages des Angriffs auf die ""Elbterrasssen""",2018-04-25 00:00:00
67.0,2018-04-24 00:00:00,10.15-10.30,Bürgelstraße,Solidarität mit Afrin,
68.0,2018-04-24 00:00:00,10.30-10.35,Bürgelstraße,"Gegen die polizeilichen Maßnahmen im Rahmen der unangmeldeten Versammlung ""Solidarität mit Afrin"" am 24.04.2018",
69.0,2018-08-25 00:00:00,13.00-15.00,Aufzug,CSD Magdeburg 2018,2018-04-17 00:00:00
70.0,2018-09-03 00:00:00,11.00-18.00,Leiterstraße,Truck You - Tiertransporte unzensiert,2018-04-27 00:00:00
71.0,2018-06-20 00:00:00,14.30-16.00,Aufzug,Kindheit Braucht Frieden,2018-04-28 00:00:00
