Versammlungen 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3
Datum,Veranstalter,Thema,Angemeldete Teilnehmerzahl
2023-04-01 00:00:00,Klimabündnis Karlsruhe,Frieden + Klimaschutz,20
2023-03-24 00:00:00,,"Frieden, Demokratie ",75
2023-03-27 00:00:00,,Warnstreiks des Verkehrs - öffentlicher Dienst,600
2023-04-07 00:00:00,gbs Karlsruhe e.V.,"„Eiertanz zum Hasenfest“ – Tanzdemo als Protest gegen religiös begründete Gesetze, hier am Beispiel des Tanzverbotes an sog. „Stillen Feiertagen“, und für die weltanschauliche Neutralität des deutschen Staates",100
2023-03-27 00:00:00,,Tarifrunde 2023 der Eisenbahn- und Verkehrsgewerkschaft (EVG),250
2023-04-30 00:00:00,,Jede Stunde ist eine zuviel - für das Ende der Lohnarbeit,75
2023-03-23 00:00:00,,"Flugblätter verteilen vor dem Hbf Karlsruhe auf der Gemarkung der Stadt Karlsruhe. Es handelt sich also nicht
um Privatgelände der Deutsche Bahn AG (DB Station&Service GmbH). Der Genaue Ort ist das Vordach zwischen
Haupteingang Karlsruhe Hbf und den Gleisen der Tram (Vordach ohne das Bahnhofsgebäude).",2
2023-03-25 00:00:00,,Catcalls of Karlsruhe kreiden an,2
2023-03-23 00:00:00,,für das Grundgesetz,49
2023-04-22 00:00:00,,Peta Streetteam Karlsruhe Internationaler Tag für die Abschaffung der Tierversuche,15
2023-05-06 00:00:00,,"Global Marijuana March mit dem Motto: ""Legalisieren statt inhaftieren""",200
2023-05-06 00:00:00,,Nein zur zweiten Rheinbrücke,70
2023-05-13 00:00:00,Klimabündnis Karlsruhe,Klimaschutz,20
2023-05-10 00:00:00,,Mahnwache zu Myanmar mit dem MyanmarBike,10
2023-03-30 00:00:00,,für das Grundgesetz,49
2023-04-01 00:00:00,,Menschenkette gegen 43 Jahre Menschenrechtsverletzungen der islamischen Republik des Irans,100
2023-04-09 00:00:00,,Freiheit- Religion,10
2023-04-01 00:00:00,,Freiheit-Religion,4
2023-04-03 00:00:00,,"Montagsdemo gegen die Hartz-Gesetze
und Sozialabbau, Aktiver Widerstand für den Weltfrieden - gegen alle Kriegstreiber!",50
2023-04-29 00:00:00,Iranisches Kulturzentrum Karlsruhe e.V.,Frühlingsdemo,150
2023-04-15 00:00:00,,Menschenrechtsverletzungen im Iran,10
2023-04-22 00:00:00,Klimabündnis Karlsruhe,"Militär, Frieden und Klimaschutz",20
2023-05-17 00:00:00,ADFC-Kreisverband Karlsruhe,Ride of Silence,80
2023-05-01 00:00:00,DGB Stadtverband Karlsruhe,"1. Mai - Tag der Arbeit - Motto ""UNGEBROCHEN SOLIDARISCH2""",800
2023-04-15 00:00:00,,Bewegungsmediation für den inneren und äußeren Frieden und gegen die Erstarrung der Herzen,60
2023-04-04 00:00:00,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8
2023-04-26 00:00:00,,Ampeldemo für Tierrechte Peta Streetteam Karlsruhe,10
2023-05-01 00:00:00,DGB Stadtverband Karlsruhe,"1. Mai - Tag der Arbeit - Motto ""UNGEBROCHEN SOLIDARISCH2",800
2023-04-16 00:00:00,,Freiheit-Religion,10
2023-04-23 00:00:00,,Freiheit-Religion,10
2023-04-30 00:00:00,,Freiheit-Religion,10
2023-04-08 00:00:00,,"Freiheit-Religion, mit Rede Musik",4
2023-04-06 00:00:00,,für die Würde des Menschen,49
2023-04-22 00:00:00,,Friedensmeditation für den inneren und äußeren Frieden (bewegte Mahnwache),50
2023-04-14 00:00:00,,Deutschland aus der Krise führen! ,30
2023-04-07 00:00:00,,Gebets-Demo,4
2023-05-06 00:00:00,,Iran im Aufruhr,150
2023-04-12 00:00:00,,Catcalls of Karlsruhe kreiden an,2
2023-04-12 00:00:00,,Catcalls of Karlsruhe kreiden an,2
2023-07-11 00:00:00,Gesellschaft für bedrohte Völker ,Gedenktag an das Massaker von Srebrenica,6
2023-04-15 00:00:00,,"Freiheit - Religion, mit Rede Musik",4
2023-04-13 00:00:00,,für die Würde des Menschen,49
2023-04-22 00:00:00,,Bewegungsmeditation für den inneren und äußeren Frieden,60
2023-05-01 00:00:00,,"Krise, Krieg, Kapitalismus ",150
2023-04-20 00:00:00,,für die Würde des Menschen,49
2023-04-21 00:00:00,,Bündnis für Arbeit und Freiheit tritt als Grüne Linkspartei YSP zu den Wahlen in der Türkei an,100
2023-04-21 00:00:00,Bündnis 9/DIE GRÜNEN KV Karlsruhe,Infostand zum Fuß- und Radentscheid Karlsruhe,3
2023-04-21 00:00:00,,Corona Pandemie Aufarbeitung,75
2023-04-21 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,2
2023-04-21 00:00:00,,Streik der Eisenbahn- und Verkehrsgewerkschaft,200
2023-05-06 00:00:00,Fuß- und Radentscheid Karlsruhe,Popup-Ampel,15
2023-04-22 00:00:00,,Menschenrechtsverletzungen im Iran,10
05.05. - 07.05.2023,,Eine Reicht_Keine Zweite Rheinbrücke (Protestcamp),20
2023-04-28 00:00:00,Critical Mass Karlsruhe- Tanja Dopf ,Critical Mass,250
2023-05-06 00:00:00,,Aktion gegen Milchkonsum,15
2023-04-27 00:00:00,,für das Grundgesetz,49
2023-04-29 00:00:00,,"Freiheit-Religion, mit Rede Musik",4
2023-05-01 00:00:00,,Bewegungsmeditation für den inneren und äußeren Frieden,60
2023-05-01 00:00:00,,Catcalls of Karlsruhe kreiden an,2
2023-04-29 00:00:00,,Menschenrechtsverletzungen im Iran,5
2023-05-02 00:00:00,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",10
2023-05-07 00:00:00,,Freiheit-Religion,10
2023-05-04 00:00:00,,für die Grundgesetze,49
2023-05-06 00:00:00,,Friedensmeditation für den inneren und äußeren Frieden bewegte Mahnwache,50
2023-05-07 00:00:00,,Kidical Mass Fahrradtour,80
2023-05-05 00:00:00,,Frieden und Demokratie,120
2023-05-06 00:00:00,,"Freiheit-Religion, mit Rede Musik",3
2023-05-20 00:00:00,,Friedensmeditation für den inneren und äußeren Frieden (bewegte Mahnwache),50
2023-05-08 00:00:00,,"Montagsdemo gegen die Hartz-Gesetze und Sozialabbau, Aktiver Widerstand für den Weltfrieden - gegen alle Kriegstreiber!",50
2023-05-12 00:00:00,Bündnis Krankenhaus statt Fabrik Karlsruhe,Tag der Pflegenden,20
2023-05-10 00:00:00,,Cat Calls of Karlsruhe kreidet an,2
2023-05-07 00:00:00,,Cat Calls of Karlsruhe kreidet an,3
2023-05-19 00:00:00,,Christliche Werte,30
2023-05-31 00:00:00,,Ampeldemo für Tierrechte Peta Streetteam Karlsruhe,10
2023-06-02 00:00:00,,Fight for our Rights! Demo für queere Rechte.,100
2023-05-10 00:00:00,,Cat Calls of Karlsruhe kreidet an,2
2023-05-27 00:00:00,,christliche Religion,10
2023-05-13 00:00:00,,Das Wort jesus Evangelisieren,8
2023-05-11 00:00:00,,für das Grundgesetz,49
2023-05-14 00:00:00,,Freiheit-Religion,10
2023-05-13 00:00:00,,Menschenrechtsverletzungen im Iran,5
2023-05-13 00:00:00,,Gerechtigkeitsforderung in der Türkei,6
2023-05-16 00:00:00,,Die Eisenbahn- und Verkehrsgewerkschaft (EVG) hält im Rahmen des Warnstreiks eine Versammlung mit Demonstrationszug und anschließender Kundgebung ab,300
2023-09-24 00:00:00,,"Bundesweites Aktionswochenende, Kidical Mass Fahrradtour - Radfahrende fordern mit ihren Touren im Rahmen
der weltweiten Kidical-Mass-Bewegung mehr Platz und Sicherheit für Kinder, Jugendliche und Familien auf dem
Rad, bessere Infrastruktur und mehr Platz im öffentlichen Verkehrsraum. Mai bis September jeden ersten
Sonntag eines Monats und am 24.09.",250
2023-09-03 00:00:00,,Kidical Mass Fahrradtour,300
2023-05-19 00:00:00,ver.di Bezirk Mittelbaden-Nordschwarzwald FB Handel,Tarifrunde Einzelhandel Baden-Württemberg,300
2023-05-19 00:00:00,,Demokratie und Frieden,120
2023-06-11 00:00:00,,Peta Streetteam Karlsruhe Zoos sind Gefängnisse für Tiere,10
2023-06-14 00:00:00,,Ampeldemo für Tierrechte Peta Streetteam Karlsruhe,10
2023-05-18 00:00:00,,Für die Würde des Menschen ,49
2023-08-02 00:00:00,,"Werte unserer Verfassung, wo sind sie geblieben?",60
2023-08-03 00:00:00,,"Werte unserer Verfassung, wo sind sie geblieben?",60
2023-08-04 00:00:00,,"Werte unserer Verfassung, wo sind sie geblieben?",60
2023-05-20 00:00:00,,Christliche Kundgebung,20
2023-05-20 00:00:00,,Christliche Kundgebung,20
2023-05-20 00:00:00,,Menschenrechte im Iran,5
2023-05-26 00:00:00,,Critical Mass Karlsruhe,350
2023-06-30 00:00:00,Fuß- und Radentscheid Karlsruhe,Critical Mass,700
2023-05-29 00:00:00,,Bewegungsmeditation für den inneren und äußeren Frieden und gegen die Erstarrung der Herzen,60
2023-06-21 00:00:00,Students for Future Karlsruhe Hochschulgruppe (stuff),Helm statt Hupe - Sophienstraße Autofrei!,25
2023-05-24 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,2
2023-05-25 00:00:00,,"für das Grundgesetz 
- für die Würde des Menschen 
- Intelligente Menschen schicken keine Granaten, sondern Diplomaten 
- lieber 100 Stunden verhandeln, statt 1 Sekunde schießen 
- nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte 
- nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren 
  und einsam ohne Angehörige + Freunde sterben lassen. 
- Die RichterInnen des BVG sollten endlich Ihre Aufgabe erfüllen + darüber urteilen, 
  ob manche Grundrechtseinschränkungen Grundgesetzwidrig waren. 
- vor kurzem war Gesundheit das höchste Gut 
- Waffenlieferungen in Kriegsgebiete sind schädlich für die Gesundheit. 
- keine Waffen in Kriegsgebiete liefern,  deren einziger Zweck ist, 
  Menschen zu verletzen, zu töten, zu zerfetzen. 
- lieber 100 Stunden verhandeln statt 1 Sekunde schiessen.
- Gute, würdevolle Arbeitsbedingungen für alle Menschen. 
- Wir sind Bürger mit unterschiedlichen politischen Präferenzen 
  und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49
2023-05-22 00:00:00,Letzte Generation,Letzte Generation vor den Kipppunkten,10
2023-05-24 00:00:00,Letzte Generation,Soli-Spontandemonstration gegen die Repression gegenüber der Letzten Generation,50
2023-05-18 00:00:00,Fridays for Future,"eine Veranstaltung von Fridays for Future Karsruhe, bei der es um die zukünftige Sophienstraße geht im Rahmen
eines Straßenfestes",300
2023-06-24 00:00:00,,Demo Radschnellweg Karlsruhe - Rastatt,200
2023-06-18 00:00:00,Fridays for Future,Veranstaltung von Fridays for Future zur zukünftigen Sophienstraße,300
2023-05-27 00:00:00,,Menschenrechtsverletzung im Iran,5
2023-05-31 00:00:00,Klimakollektiv Karlsruhe,Nicht die Klimaaktivist*innen sind kriminell sondern die Verantwortlichen für die Klimakatastrophe,100
2023-06-06 00:00:00,SIMAMA - STEH AUF e.V.,Sensibilisierung der Zivilgesellschaft für den Einsatz gegen Diskriminierung und Rassismus,50
