Versammlungen Potsdam 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2021-08-14 00:00:00,16:00 - 16:45,Potsdam,Wahlwerbung für Volt Deutschland,40,Innenstadt Potsdam
2021-08-10 00:00:00,09:00 - 23:00,Potsdam,Tarifauseinandersetzung mit der Spielbank Potsdam,5,Spielbank Potsdam
2021-08-13 00:00:00,18:30 - 00:00,Potsdam,Tarifauseinandersetzung mit der Spielbank Potsdam,10,Spielbank Potsdam / Schossstraße
2021-08-13 00:00:00,14:15 - 15:30,Potsdam,Klimakrise,10,Berliner Straße (Glienicker Brücke)
2021-08-17 00:00:00,10:30 - 14:30,Potsdam,Tarifauseinandersetzungen,50,Steinstraße 104-106
2021-09-01 00:00:00,17:00 - 18:30,Potsdam,Gedenken zum Weltfriedenstag,120,Vorplatz BRB-Tor
2021-08-17 00:00:00,19:00 - 20:30,Potsdam,zivile Luftbrücke jetzt - Afghanistan nicht im Stich lassen,200,"Alter Markt, Fortunaportal"
2021-09-09 00:00:00,18:00 - 21:00,Potsdam,"Abschiebung, Frontex, Bundespolizei, Lufthansa",500,Innenstadt Potsdam
2021-09-11 00:00:00,10:00 - 13:00,Potsdam,Energiepolitik des Landes Brandenburg,50,Vorplatz BRB-Tor
2021-09-18 00:00:00,09:00 - 18:00,Potsdam,Bundesweites Aktionswochenende Kidical Mass,50,Innenstadt Potsdam
2021-08-29 00:00:00,13:00 - 18:00,Potsdam,Gegen die Verfolgung und den Organraub an Falun Gong-Paktizierenden…,8,Innenstadt Potsdam
2021-09-25 00:00:00,12:00 - 15:00,Potsdam,"Der Schuh drückt, Entwicklung der Gesellschaft in der Coronazeit",100,Brandenburger Tor
2021-10-16 00:00:00,10:00 - 17:00,Potsdam,#StoppSklaverei,10,Brandenburger Str. 28
2021-09-03 00:00:00,07:00 - 10:00,Potsdam,Klimacamp,150,Freifläche am Park Babelsberg 15
2021-09-04 00:00:00,07:00 - 10:00,Potsdam,Klimacamp,150,Freifläche am Park Babelsberg 16
2021-09-05 00:00:00,07:00 - 10:00,Potsdam,Klimacamp,150,Freifläche am Park Babelsberg 17
2021-09-06 00:00:00,07:00 - 10:00,Potsdam,Klimacamp,150,Freifläche am Park Babelsberg 18
2021-09-07 00:00:00,07:00 - 10:00,Potsdam,Klimacamp,150,Freifläche am Park Babelsberg 19
2021-09-08 00:00:00,07:00 - 10:00,Potsdam,Klimacamp,150,Freifläche am Park Babelsberg 20
2021-09-09 00:00:00,07:00 - 10:00,Potsdam,Klimacamp,150,Freifläche am Park Babelsberg 21
2021-09-10 00:00:00,07:00 - 10:00,Potsdam,Klimacamp,150,Freifläche am Park Babelsberg 22
2021-09-11 00:00:00,07:00 - 10:00,Potsdam,Klimacamp,150,Freifläche am Park Babelsberg 23
2021-09-12 00:00:00,07:00 - 10:00,Potsdam,Klimacamp,150,Freifläche am Park Babelsberg 24
2021-09-13 00:00:00,07:00 - 10:00,Potsdam,Klimacamp,150,Freifläche am Park Babelsberg 25
2021-09-04 00:00:00,14:00 - 19:00,Potsdam,Menschenrechtsverletzungen und Hinrichtungen im Iran stoppen,10,Brandenburger Str/Dortustr. 0
2021-10-28 00:00:00,11:00 - 15:00,Potsdam,"Einkommensrunde der Beschäftigten der Länder/""Prozent-Lauf""",100,Alter Markt
2021-09-06 00:00:00,17:00 - 19:00,Potsdam,"Potsdamer Klimacamp begrüßt ""Ohne Kerosin nach Berlin""",150,Innenstadt Potsdam
2021-09-02 00:00:00,11:00 - 13:00,Potsdam,"Unterstützung der Arbeitskämpfe bei Eisenbahn, Gesundheitswesen und Einzelhandel",50,Innenstadt Potsdam
2021-09-13 00:00:00,15:30 - 18:00,Potsdam,Klimapolitik und Bundestagswahl,30,Alter Markt
2021-09-08 00:00:00,16:30 - 18:00,Potsdam,Erzeugen von Aufmerksamkeit auf die klimakrise…,30,Lange Brücke (Menschenkette Gehweg)
2021-09-09 00:00:00,16:00 - 19:00,Potsdam,Sichere Bildung an allen Brandenburger Bildungseinrichtungen,10,Alter Markt (am Obelisken)
2021-09-16 00:00:00,16:00 - 19:00,Potsdam,Sichere Bildung an allen Brandenburger Bildungseinrichtungen,10,Alter Markt (am Obelisken)
