Demonstrationen / Versammlungen / Aufzüge 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Lfd Nr.,Datum der Veranstaltung,,Art,Thema,Versammlungsort,Erwartete TN
,,Uhrzeit,,,,
61,2023-02-23 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
62,2023-02-02 00:00:00,15:30 - 16:15,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
63,2023-02-09 00:00:00,15:30 - 16:15,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
64,2023-02-16 00:00:00,15:30 - 16:15,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
65,2023-02-23 00:00:00,15:30 - 16:15,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
66,2023-02-13 00:00:00,18:30-20:30,Aufzug,63. MAINZER SCHILDERLAUF,Strecke,200
67,2023-02-25 00:00:00,13:00-16:00,Versammlung,Tierrechte / gegen Massentierhaltung,Leichhof oder Augustinerstraße/ Ecke Kirschgarten,8-10
68,2023-02-06 00:00:00,15:00 - 17:30,Versammlung,Freiheit für Ihsan Cibelik,Justizministerium,20-30
69,2023-02-07 00:00:00,09:00 - 10:00,Versammlung,Kleber-Klimaktivisten,Alice-Brücke /Ausfahrt Wallstraße,50
70,2023-03-25 00:00:00,13:00 - 19:00,Versammlung,Klar - statt querdenken,Park Ecke Goldgrube/Jägerstraße,50
71,2023-02-25 00:00:00,9:00 - 16:00,Versammlung,Stoppt die Schlächterei in der Ukraine,Gutenbergplatz,400
72,2023-02-08 00:00:00,18:00 - 19:00,Versammlung,Gedenkveranstaltung für die Erdbebenopfer in der Türkei und Syrien,Gutenbergplatz/Theaterseite ,150
73,2023-02-09 00:00:00,17:30-19:30,Versammlung,"Erdbeben in Nordkurdistan, Türkei und Syrien",Gutenbergplatz/Theaterseite ,40
74,2023-03-04 00:00:00,16:30 - 17:15,Versammlung,,Markt,70
75,2023-05-08 00:00:00,17:00 - 20:00,Versammlung,Omas gegen Rechts,Gutenbergplatz/Theaterseite ,200
