Demonstrationen / Versammlungen / Aufzüge 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Lfd Nr.,Datum der Veranstaltung,Art,Thema,Anmeldedatum,,Versammlungsort,Erwartete TN
,,,,,,,
105,2020-05-28 00:00:00,Versammlung,Konzert und Gruß an Flüchtlinge in Allianzhaus anläßlich Quarantäne,2020-05-26 00:00:00,,Flachsmarktstraße Allianzhaus,30
106,2020-06-05 00:00:00,Aufzug,FFF-Fahrradtour Startpunkt Mainz,2020-05-26 00:00:00,,Ernst-Ludwig-Platz,100
107,2020-05-30 00:00:00,Versammlung,Verfassungsschutz abschaffen!,2020-05-26 00:00:00,,Markt,50
108,2020-05-29 00:00:00,Versammlung,Verkehrswende jetzt!,2020-05-28 00:00:00,,Bahnhofplatz,30
109,2020-06-02 00:00:00,Versammlung,FFF-Kundgebung,2020-05-28 00:00:00,,Bahnhofplatz,30
110,2020-05-28 00:00:00,Aufzug,Landschwirtschaft,2020-05-25 00:00:00,,Strecke,20-40
111,2020-05-28 00:00:00,Aufzug,Landschwirtschaft,2020-05-27 00:00:00,,Strecke,100
112,2020-05-30 00:00:00,Versammlung,Unverhältnismäßigkeit der Corona-Auflagen,2020-05-28 00:00:00,,Bischofplatz,100
113,2020-06-03 00:00:00,Versammlung,Leerstand enteignen! Wohnungen für Alle,2020-05-29 00:00:00,,Dr.-Günter-Storch-Platz,30
114,2020-06-03 00:00:00,Versammlung,Situation der VHS-Dozenten,2020-05-29 00:00:00,,Gutenbergplatz,30
115,2020-06-06 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-05-29 00:00:00,,Bahnhofplatz,15
116,2020-06-06 00:00:00,Versammlung,Wir sagen NEIN zu Rassismus,2020-06-02 00:00:00,,"Rheinufer, Schlosstor",250
117,2020-06-14 00:00:00,Versammlung,Gegen Fahrverbote an Sonn- und Feiertagen,2020-05-27 00:00:00,,Rheinufer,500
118,2020-06-08 00:00:00,Versammlung,Solidarsemseter an dt. Universitäten,2020-06-04 00:00:00,,Ernst-Ludwig-Platz,20
119,2020-06-09 00:00:00,Versammlung,Situation der Hochzeitsbranche,2020-06-04 00:00:00,,Ernst-Ludwig-Platz,100
120,2020-06-06 00:00:00,Versammlung,Diktatur,2020-06-03 00:00:00,,Schillerplatz,15
121,2020-06-07 00:00:00,Versammlung,Diktatur,2020-06-04 00:00:00,,Schillerplatz,16
122,2020-06-13 00:00:00,Versammlung,Friedensmahnwache für Turgut Öker,2020-06-09 00:00:00,,Schillerplatz vor Osteiner Hof,30
123,2020-06-15 00:00:00,Versammlung,Flüchtlinge…,2020-06-09 00:00:00,,Schillerplatz und Integrationsministerium,30
124,2020-06-24 00:00:00,Versammlung,Künstler und Soloselbständige Nothilfe in der Corona Krise,2020-06-15 00:00:00,,Ernst-Ludwig-Platz,100
125,2020-06-16 00:00:00,Versammlung,Türkischer Angriff Sengal,2020-05-15 00:00:00,,Bahnhofplatz,50
126,2020-06-24 00:00:00,Versammlung,Bildung ,2020-06-16 00:00:00,,Dr.-Günter-Storch-Platz,10
127,2020-06-25 00:00:00,Versammlung,Bildung ,2020-06-16 00:00:00,,Dr.-Günter-Storch-Platz,10
128,2020-06-27 00:00:00,Versammlung,Bildung ,2020-06-16 00:00:00,,Strecke,10
129,2020-06-20 00:00:00,Versammlung,Kritik an Corona-Auflagen in  Schulen,2020-06-18 00:00:00,,Markt,100
130,2020-07-11 00:00:00,Versammlung,Mahnwache: Hundegrill-Aktion,2020-06-18 00:00:00,,Gutenbergplatz,5
131,2020-06-27 00:00:00,Versammlung,"""BLM""",2020-06-22 00:00:00,,"Rheinufer, Schlosstor",700
132,2020-07-02 00:00:00,Versammlung,Massaker in Sivas,2020-06-09 00:00:00,,Gutenbergplatz,10
133,2020-07-04 00:00:00,Versammlung ,Maria 2.0,2020-01-17 00:00:00,,Markt,ca. 50 -100
134,2020-07-03 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-06-24 00:00:00,,Bahnhofplatz,15
135,2020-07-04 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-06-24 00:00:00,,Bahnhofplatz,15
136,2020-07-11 00:00:00,Versammlung,Keine Entlassungen bei Galeria Kaufhof Karstadt! Benko zur Kasse bitten!,2020-06-24 00:00:00,,Karstadt,5
137,2020-07-03 00:00:00,Versammlung,Zoonosen - Schließung aller Schlachthäusern,2020-06-26 00:00:00,,Peter-Altmeier-Allee / Kurfürstliches Schloss,10
138,2020-07-01 00:00:00,Versammlung,Mahnwache gegen die Deponie in Mainz-Laubenheim,2020-06-25 00:00:00,,Jockel-Fuchs-Platz,20
139,2020-07-03 00:00:00,Aufzug,Sichtbarkeit von Radverkehr - während Covid19 und danach,2020-06-29 00:00:00,,Strecke,50 - 100
140,2020-09-01 00:00:00,Versammlung/Aufzug,Antikriegstag,2020-06-29 00:00:00,,Gutenbergplatz/ Strecke,50
140,2020-07-04 00:00:00,Versammlung,"""BLM""",2020-07-01 00:00:00,,"Rheinufer, Schlosstor",700
141,2020-07-25 00:00:00,Versammlung,Pflege geht uns alle an,2020-07-01 00:00:00,,Bahnhofplatz,100
142,2020-07-04 00:00:00,Versammlung ,"Alle Diktatoren sind gefährlich, wie das Corona-Virus",2020-07-01 00:00:00,,Alte Universität,10
143,2020-07-03 00:00:00,Versammlung,Angriff Sengal,2020-07-01 00:00:00,,Gutenbergplatz,30
144,2020-07-06 00:00:00,Versammlung,Werte unserer Gesellschaft,2020-06-30 00:00:00,,Römerpassage,20
145,2020-07-07 00:00:00,Versammlung,Werte unserer Gesellschaft,2020-06-30 00:00:00,,Römerpassage/Markt,20
146,2020-07-08 00:00:00,Versammlung,Werte unserer Gesellschaft,2020-06-30 00:00:00,,Markt,20
147,2020-08-06 00:00:00,Versammlung,Hiroshima-Gedenktag,2020-07-01 00:00:00,,Gutenbergplatz,20
148,2020-07-03 00:00:00,Versammlung,Kohlegesetz,2020-07-03 00:00:00,,Adenauer-Ufer,50
149,2020-07-15 00:00:00,Versammlung,Gedenken Opfer Putschversuch Türkei 15.07.16 Türkei,2020-07-08 00:00:00,,"Schillerplatz, Osteiner Hof",70
150,2020-07-28 00:00:00,Versammlung,Aufmerksammachen auf den Müll in MZ und der Welt,2020-07-09 00:00:00,,Gutenbergplatz,40
151,2020-07-13 00:00:00,Versammlung,Kundgebung zur geplanten Schließung von Kartstadt Mainz,2020-07-09 00:00:00,,Bischofplatz,80
152,2020-07-17 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-07-09 00:00:00,,Bahnhofplatz,15
153,2020-07-18 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-07-09 00:00:00,,Bahnhofplatz,15
154,2020-07-25 00:00:00,Aufzug,Polizeiproblematik in Mainz und Bundesweit,2020-05-26 00:00:00,,Strecke,450
155,2020-07-19 00:00:00,Versammlung,"""BLM""",2020-07-17 00:00:00,,"Rheinufer, Schlosstor",15
156,2020-07-24 00:00:00,Versammlung,Rettet die Jobs bei Karstatdt,2020-07-20 00:00:00,,Berliner Straße,10-15
157,2020-08-22 00:00:00,Versammlung,Pandemien stopen - Tierausbeutung beenden,2020-07-17 00:00:00,,Bahnhofplatz,5
