lfd. Nr. ,Datum,Ort,Angemeldete Teilnehmer:innen,Thema/Motto
651,2023-11-26 00:00:00,Ziegenmarkt,300,Kundgebung gegen das gemeinsame europäische Asylsystem
652,2023-11-26 00:00:00,Platz der deutschen Einheit – Breitenweg – Herdentor – Sögestraße – Schüsselkorb – Domsheide – Obernstraße – BGM-Smidt-Straße – Brillbrücke (zwischen Teerhof und Schlachte).,ca. 750,Palästina
653,2023-11-27 00:00:00,"Sammeln um 12:00 Uhr vor dem OTe Zentrum Tenever (Otto-Brenner-Allee 
44/46, 28325 Bremen)
Start um 12:30 Uhr entlang der St. Gotthard-Straße, 28325 Bremen in 
Richtung Züricher Straße, 28325 Bremen
Ende des Aufzugs an der Ecke St. Gotthard-Straße/ Züricher Straße mit 
kurzer Abschlussrede
",60-100,internationalen Gedenk- und Protesttages „Nein zu Gewalt gegen Frauen und Mädchen“
654,2023-11-28 00:00:00,"Vor der Kita „Bunte Weser“ (Lüssumer Straße 85, 28779 Bremen)",40,Tempo 30
655,2023-11-28 00:00:00,Hollerallee (Gehweg und Grünstreifen),30-40,Tierrechte
656,2023-11-30 00:00:00,Bereich vor dem neuen Rathauseingang,7,SOS Kita – Es donnert in den Kitas
657,2023-12-01 00:00:00,Domsheide,10,aktuelle Situation im Nahen Osten
658,2023-12-01 00:00:00,"Platz der Deutschen Einheit – Bahnhofstraße – Breitenweg – Herdentorstein weg – Schüsselkorb –Domsheide – Obernstraße – Hutfilterstraße – Bürger meister-Smidt-Straße – Abschlusskundgebung an der Brillbrücke zwischen 
Teerhof und Schlachte",500-600,Friedensmarsch
659,2023-12-01 00:00:00,Goetheplatz,100,Solidarisch gegen Repression
660,2023-12-01 00:00:00,Goetheplatz,250,Erinnerung an die von der Hamas entführten Geiseln
661,01.12..2023,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
662,2023-12-02 00:00:00,"Vor Kapitel 8/ Glocke, 28195 Bremen",10,Hoffnung
663,2023-12-02 00:00:00,"Auftaktkundgebung auf dem Hans-Koschnick-Platz (Lindenhofstraße/ 
Ecke Gröpelinger Heerstraße)
Lindenhofstraße – Liegnitzstraße – Goosestraße – Pastorenweg – Moor straße – Gröpelinger Heerstraße
Abschlusskundgebung auf dem Hans-Koschnick-Platz (Lindenhofstraße/ 
Ecke Gröpelinger Heerstraße)
",100,"„Klimakrise, Kriege und Armut bekämpfen - Nicht die Migration - People Power Solidarität“"
664,2023-12-02 00:00:00," Auftaktkundgebung auf dem Platz der Deutschen Einheit (Dauer: 30 Minuten)
–
Breitenweg – Rembertiring – Eduard-Grunow-Straße – Am Dobben –
Zwischenkundgebung auf der Straßenkreuzung am Sielwall/ Ostertorstein weg/ Vor dem Steintor/ Am Dobben (Dauer: 20 Minuten) –
Osterdeich –
Zwischenkundgebung an der Ecke Altenwall (vor dem Gebäude des Sena tors für Kultur) (Dauer: 30 Minuten) –
Tiefer – Martinistraße – Fauelenstraße – Doventorstraße – Doventor –
Doventorscontrescarpe –
Abschlusskundgebung an der Adresse Hans-Böckler-Straße 58, 28217 
Bremen (Dauer: 30 Minuten)",750,Save the Rave - Mehr Kulturförderung für die freie Szene
665,2023-12-02 00:00:00,"Vor Kapitel 8/ Glocke, 28195 Bremen",50 - 65,"gerechter Frieden im Nahen Osten, Gleichberechtigung und Selbstbestimmung auch für 
die Palästinenser"
666,2023-12-02 00:00:00,vor Kapitel 8,15,Aufstehen für Demokratie
667,2023-12-03 00:00:00,Hillmannplatz,150,Aktion Liebe deinen Nächsten e.V
668,2023-12-04 00:00:00,Lucie-Flechtmann-Platz,60,Solidarisch mit Obdachlosigkeit
669,2023-12-04 00:00:00,Domsheide (Kapitel 8/ bei der Glocke),20,Fragen der Sozialpolitik  
670,2023-12-05 00:00:00,"AOK Bremen-Bremerhaven, Bürgermeister Smidt-Straße 95, 28195 Bremen",50,Streikaktion
671,2023-12-05 00:00:00,"Universitäts-Boulevard 13, 28359 Bremen (vor der Universität Bremen)",bis 10,Gegen Tierversuche an der Universität Bremen
672,2023-12-06 00:00:00,"SC-Mitte (Start mit ca. 250 Teilnehmer:innen) – Carl-Ronning-Straße – Kno chenhauerstraße – Sögestraße – Herdentor – Herdentorsteinweg – DGB Haus (GEW schließt sich mit ca. 300 Teilnehmer:innen an) – Bahnhofsplatz – Her mann-Böse-Straße – Hohenlohnestraße (Anschluss an den Aufzug von Verdi)
",500-550,Warnstreiks zu den Tarifverhandlungen d
673,2023-12-06 00:00:00,"Start auf Höhe des Amts für Soziale Dienste (Breitenweg 29-33, 28195 Bremen)
– Friedrich-Rauers-Straße – Findorffstraße – Theodor-Heuss-Straße –
Bürgerweide (ZBV-Fläche)
",200,Tarifrunde TV-L 2023
674,2023-12-06 00:00:00,"Auftaktkundgebung auf der ZBV-Fläche (Dauer: 30-45 Minuten)
Gustav-Deetjen-Allee – Hohenlohestraße (Vereinigung mit Aufzug GEW und GdP 
im Reißverschluss-Verfahren) - Hermann-Böse-Straße – Am Stern (5 Minuten Zwi schenkundgebung) – Hollerallee – Schwachhauser Heerstraße – Ecke Bis markstraße (5 Minuten Zwischenkundgebung) – Dobbenweg – Am Dobben – Auf 
den Häfen – Eduard-Grunow-Straße - Rembertiring (5 Minuten Zwischenkund gebung) – Rembertistraße – An der Weide (5 Minuten Zwischenkundgebung) –
Bahnhofsplatz –
Abschlusskundgebung auf dem Platz der Deutschen Einheit",1000,Tarif- und Besoldungsrunde der Länder
675,2023-12-06 00:00:00,"Bürger- und Sozialzentrum Huchting,
Amersfoorter Straße 8, 28259 Bremen",30,"Erhalt des Unterbezirks der SPD in Bremen-Nord. Damit eine politische Beteiligung der 
Menschen in Bremen-Nord weiterhin erfolgen kann."
676,2023-12-06 00:00:00,Platz vor der Kunsthalle Bremen,50,"„Schutz und Asyl für Kriegsdienstverweiger:innen“ durchzuführen. Es handelt sich bei der 
Mahnwache um eine Aktion im Kontext des „Internationalen Tags der Menschenrechte“."
677,2023-12-07 00:00:00,"Aufzug: ArcelorMittal Bremen (Carl-Benz-Straße 30) – ArcelorMittal Bremen 
(Carl-Benz-Straße (Tor 1 - Hauptverwaltung) ca. 500 Meter. Versammlungsort: Gelände ArcelorMittal Bremen (Carl-Benz-Straße)
",700,Tarifrunde der Eisen- und Stahlindustrie
678,2023-12-07 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
679,2023-12-07 00:00:00,"Radio Bremen (Diepenau 10, 28195 Bremen)
",50,ver.di Informationsveranstaltung mit Pavillon
680,2023-12-07 00:00:00,Domsheide,10,aktuelle Situation im Nahen Osten
681,2023-12-07 00:00:00,Bereich vor dem neuen Rathauseingang,7,SOS Kita – Es donnert in den Kitas
682,2023-12-08 00:00:00,"Sammeln in der Straße ‚Zur Westpier‘ und ‚Am Werfttor‘ – Lindenstraße –
Kirchheide – Aumunder Heerweg – Uhthoffstraße – Vegesacker Heerstraße 
– Unter den Linden – Lesumer Heerstraße – Hindenburgstraße – Bremer 
Heerstraße – Burger Heerstraße – Grambker Heerstraße – Oslebshauser 
Heerstraße – Gröpelinger Heerstraße – Waller Heerstraße – Utbremer 
Straße – Breitenweg (Ortsfahrbahn) – Daniel-von-Büren-Straße – Doven torstraße – Doventor – Faulenstraße – Martinistraße - Wilhelm-Kaisen-Brü cke – Osterstraße – Westerstraße – Langemarckstraße - Bürgermeister Smidt-Brücke – Bürgermeister-Smidt-Straße – Am Wall – Herdentor – Bahn hofsplatz – An der Weide - Am Dobben – Dobbenweg – Bismarckstraße –
Graf-Moltke-Straße – Hollerallee – Am Stern – Parkallee",100,Ein Funken Hoffnung – Ohne Bauern geht es nicht. Wir bringen Licht ins Dunkel
683,2023-12-08 00:00:00,"Vorlesen der Verfügung und Durchführung von Gebeten auf dem Platz der 
Deutschen Einheit – Bahnhofsplatz – Breitenweg – Herdentorsteinweg – Her dentor – Sögestraße – Schüsselkorb – Violenstraße – Kundgebung an der 
Domsheide mit Ausgabe von Suppe und Tee (vor der Glocke/ Kapitel 8)
",400-500,Pro-Palästina
684,2023-12-08 00:00:00,"Vegesacker Bahnhofsplatz, 28757 Bremen
",25,Hoffnung schöpfen / Vertrauen wagen / Freundlichkeit leben
685,08.12..2023,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
686,2023-12-09 00:00:00,"Vor Kapitel 8/ Glocke, 28195 Bremen",12,"gerechter Frieden im Nahen Osten, Gleichberechtigung und Selbstbestimmung auch für 
die Palästinenser"
687,2023-12-09 00:00:00,Hillmannplatz,30,"„Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch, euer Herz erschrecke und fürchte sich nicht"
688,,,,
689,2023-12-09 00:00:00,Ecke Delmestraße / Pappelstraße,11232,Internationaler Umweltkampftag
690,2023-12-10 00:00:00,"Sammeln in der Straße ‚Am Herzogenkamp‘ – Leher Heerstraße - Oberneu lander Heerstraße – Oberneulander Landstraße – Am Lehester Deich –
Borgfelder Heerstraße (Geschäftsstraße) – Borgfelder Allee – (Übergabe an 
die niedersächsischen Kollegen der Polizei)",100,Ein Funken Hoffnung – Ohne Bauern geht es nicht. Wir bringen Licht ins Dunkel
691,2023-12-14 00:00:00,Bereich vor dem neuen Rathauseingang,7,SOS Kita – Es donnert in den Kitas
692,2023-12-14 00:00:00,"Fläche vor ArcelorMittal Bremen (Carl-Benz-Straße, 28237 Bremen)
",2000, 24-Stunden Streik
693,2023-12-14 00:00:00,"Domsheide – vor Kapitel 8/ Glocke
",10,aktuelle Situation im Nahen Osten
694,2023-12-14 00:00:00,"Fußweg/Grünfläche des Hochschulrings vor dem
biologischen Garten ",25,"Mahnwache gegen die Affenversuche an
der Universität Bremen"
695,2023-12-14 00:00:00,Platz an der Ecke Wartburgstr. / Bremerhavener Str.,40,Femizid“
696,2023-12-14 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
697,15.12..2023,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
698,2023-12-15 00:00:00,Platz der Deutschen Einheit,100,"„Stoppt das Massaker in Gaza, gemeinsam gegen Besatzung, Armut und Kapitalismus"
699,2023-12-15 00:00:00,Domsheide vor der Hausnummer 8,10,Abrüstung in Bremen
700,2023-12-16 00:00:00,"Vor Kapitel 8/ Glocke, 28195 Bremen",12,"gerechter Frieden im Nahen Osten, Gleichberechtigung und Selbstbestimmung auch für 
die Palästinenser"
701,2023-12-16 00:00:00,Ulrichsplatz,10,Evangelium
702,2023-12-16 00:00:00,Domsheide (Neben dem Verkehrsturm),5,Solidarität mit Israel
703,2023-12-16 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
704,2023-12-16 00:00:00,"Auftaktkundgebung an der Domsheide (vor der Glocke/ Kapitel 8) – Violen straße – Zwischenkundgebung am Schüsselkorb/ Höhe unterer Domshof –
Sögestraße – Herdentor – Herdentorsteinweg – Breitenweg – Bahnhofsplatz –
Abschlusskundgebung auf dem Platz der Deutschen Einheit ",50,"Frieden, Freiheit und Selbstbestimmung"
705,2023-12-17 00:00:00,"Waller Heerstraße - Utbremer Straße - (nicht Hochstraße, sondern unten) - Rembertiring - Eduard Grunow Straße - Am Dobben - Sielwall - vor dem Steintor - Lüneburgerstraße - Osterdeich - Tiefer - Martinistraße - Langemarckstraße - Pappelstraße - Gastfeldstraße - Kirchweg - ALECO Bio Markt Parkplatz",20-30,Tag der kurdischen Fahne
706,2023-12-17 00:00:00,"Vorlesen der Verfügung und Begrüßung am Hauptbahnhof/ Platz der Deut schen Einheit – Herdentor – Schüsselkorb -
 Zwischenkundgebung an der Domsheide (vor Kapitel 8/ Glocke) – Balgebrück straße - Martinistraße – Am Brill –
 Abschlusskundgebung auf der Bgm. Smidt Brücke, ggf. mit Ausgabe von 
Suppe.
",750-800,Pro-Palästina
707,2023-12-17 00:00:00,Hillmannplatz,80,Trauerzeremonie für Fatima
708,2023-12-18 00:00:00,Ulrichsplatz,10,Globaler Aktionstag zu Israel/Gaza
709,2023-12-18 00:00:00,"Bürgersteigfläche in der Ludwig-Plate-Straße/ Ecke AG-Weser-Straße
(28237 Bremen)",40,Tarifrunden Einzelhandel & Groß- & Außenhandel 2023
710,2023-12-19 00:00:00,"Hollerallee 77
",40,Tierrechte
711,2023-12-19 00:00:00,"Bürgersteigfläche in der Ludwig-Plate-Straße/ Ecke AG-Weser-Straße
(28237 Bremen)",40,Tarifrunden Einzelhandel & Groß- & Außenhandel 2023
712,2023-12-20 00:00:00,"Bürgersteigfläche in der Ludwig-Plate-Straße/ Ecke AG-Weser-Straße
(28237 Bremen)",40,Tarifrunden Einzelhandel & Groß- & Außenhandel 2023
713,2023-12-21 00:00:00,"Bürgersteigfläche in der Ludwig-Plate-Straße/ Ecke AG-Weser-Straße
(28237 Bremen)",40,Tarifrunden Einzelhandel & Groß- & Außenhandel 2023
714,2023-12-21 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
715,2023-12-21 00:00:00,Domsheide (Kapitel 8/ bei der Glocke),10,Situation im Nahen Osten
716,2023-12-21 00:00:00,Bereich vor dem neuen Rathauseingang,7,SOS Kita – Es donnert in den Kitas
717,2023-12-22 00:00:00,Nelson-Mandela-Park,40,Abschied von Wohnungslosigkeit
718,2023-12-22 00:00:00,"Bürgersteigfläche in der Ludwig-Plate-Straße/ Ecke AG-Weser-Straße
(28237 Bremen)",40,Tarifrunden Einzelhandel & Groß- & Außenhandel 2023
719,22.12..2023,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
720,2023-12-23 00:00:00,"Bürgersteigfläche in der Ludwig-Plate-Straße/ Ecke AG-Weser-Straße
(28237 Bremen)",40,Tarifrunden Einzelhandel & Groß- & Außenhandel 2023
721,2023-12-23 00:00:00,"Vor Kapitel 8/ Glocke, 28195 Bremen",12,"gerechter Frieden im Nahen Osten, Gleichberechtigung und Selbstbestimmung auch für 
die Palästinenser"
722,2023-12-23 00:00:00,Domsheide (vor Kapitel 8/ der Glocke),25,Gegen Menschenrechtverletzung im Iran
723,2023-12-23 00:00:00,Hillmannplatz,30,"„Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch, euer Herz erschrecke und fürchte sich nicht"
724,2023-12-23 00:00:00,Platz der Deutschen Einheit - Herdentor - Schüsselkorb - Martinistraße - Bgm. Smidt-Brücke,750-800,Pro-Palästina
725,2023-12-27 00:00:00,Vor den Domtreppen,12,Hoffnung
726,2023-12-28 00:00:00,Grasmarkt,10,Situation im nahen Osten
727,2023-12-28 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
728,29.12..2023,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
729,2023-12-30 00:00:00,Domsheide (vor Kapitel 8/ der Glocke),25,Gegen Menschenrechtverletzung im Iran
730,2023-12-30 00:00:00,Hbf - Brill - Obernstraße - Marktplatz,800,Pro-Palästina
