lfd. Nr. ,Datum,Ort,Angemeldete Teilnehmer:innen,Thema/Motto
131,2023-03-08 00:00:00,Rudolf-Hilferding Platz – An der Weide – Außer der Schleifmühle – Bismarckstraße – Eingangsbereich der Humboldtstraße – Vor dem Steintor – Ostertorsteinweg – Ostertorstraße – Marktplatz,500,(Frauen)Streik im Rahmen der Tarifrunde des öffentlichen Dienstes (TVöD)
132,2023-03-08 00:00:00,"Marktplatz, vor der Bürgerschaft",30,Gespräch mit Politiker*innen und Gewerkschafter*innen
133,2023-03-08 00:00:00,Ehlersdamm zwischen Nr. 62 und Nr. 70,30,Zebrastreifenaktion zwischen Kinderhaus St. Petri und dem Orange-House
134,2023-03-08 00:00:00,Marktplatz - Oberstraße - Langemarckstraße - Neustadtswallanlagen,1500,feminism fights every crisis
135,2023-03-08 00:00:00,Leibnizplatzpark - Wilhelm-Kaisen-Brücke - Marktplatz,500,Internationaler Frauentag / Internationale Solidarität und Freundschaft
136,2023-03-08 00:00:00,Aufzug durch Findorff,60,Ganz Bremen hasst die AfD
137,2023-03-08 00:00:00,Hemmstraße / Münchener Straße ,15,Omas gegen Rechts positionieren sich gegen die AfD
138,2023-03-08 00:00:00,Aufzug durch Findorff,50,"Frieden, Freiheit, Selbstbestimmung"
139,2023-03-09 00:00:00,Domshof beim Rathauseingang,100,Stahl ist Zukunft
140,2023-03-09 00:00:00,Marktplatz,20,"Mahnwache für Frieden, Versöhnung und Abrüstung"
141,2023-03-10 00:00:00,Marktplatz,20,64. Jahrestag des tibetischen Volksaufstandes
142,2023-03-10 00:00:00,Gerhard-Rohlfs-Straße,30,1.053. Friedenskundgebung
143,2023-03-11 00:00:00,Grasmarkt,4,Mahnwache zur Erinnerung an Fukushima
144,2023-03-11 00:00:00,Ulrichplatz,6,Mahnwache zu Menschenrechtsverletzungen an Frauen
145,2023-03-11 00:00:00,Gehwegfläche vor den Domtreppen,12,Mahnwache für einen gerechten Frieden in Palästina
146,2023-03-11 00:00:00,Goetheplatz,100,"Solidarität mit dem Iran, mit dem 
besonderen Bezug zu den Frauenrechten 
(da erster Samstag nach dem 8.3.) und der 
wirtschaftlichen Lage"
147,2023-03-11 00:00:00,Bahnhof - Hollerallee - Theodor-Heuss-Allee - Bahnhof,200,Friedensverhandlungen jetzt!
148,2023-03-11 00:00:00,Grasmarkt zwischen Rathaus und St. Petri-Dom,30,Fukushima-Gedenktag und gegen Atomkraft
149,2023-03-11 00:00:00,Oberer Domshof,80,Shiitische Imam
150,2023-03-11 00:00:00,Marktplatz,20-50,Kundgebung anlässlich des Gedenkens an die Atomkatastrophe in Fukushima
151,2023-03-14 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
152,2023-03-14 00:00:00,Große Sortillienstraße,200,Streik bei Ab Inbev
153,2023-03-15 00:00:00,Große Sortillienstraße,200,Streik bei Ab Inbev
154,2023-03-15 00:00:00,"Findorffmarkt – Eickedorfer Straße – Hemmstraße – unmittelbar rechts 
ab in die Münchener Straße – Würzburger Straße – Hemmstraße – Neu kirchstraße – Findorffmarkt",100,Ganz Bremen hasst die AfD
155,2023-03-16 00:00:00,Domshof,70,Gedenken an den Genozid in Halabja (Südkurdistan)
156,2023-03-16 00:00:00,Marktplatz,20,"Mahnwache für Frieden, Versöhnung und Abrüstung"
159,2023-03-17 00:00:00,Busbahnhof Bremen-Vegesack ,30,Hat Hoffnung noch Wert?!
157,2023-03-17 00:00:00,Marktplatz,400,Burkina-Faso-Aktion
158,2023-03-17 00:00:00,Domsheide vor Kapitel 8,10,Abrüstung in Bremen
160,2023-03-17 00:00:00,Gerhard-Rohlfs-Straße,30,1.054. Friedenskundgebung
161,2023-03-18 00:00:00,Marktplatz,10,Verfolgung von Falun-Dafa in China
162,2023-03-18 00:00:00,Kreuzung Bahnhofsstraße/ Breitenweg,20,"Der 
negative Einfluss von tierischen 
Lebensmitteln auf das Klima"
163,2023-03-18 00:00:00,Gehwegfläche vor den Domtreppen,12,Mahnwache für einen gerechten Frieden in Palästina
164,2023-03-18 00:00:00,Vor den Domtreppen,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
165,2023-03-18 00:00:00,Sögestraße bei den Schweinen,15,Tierrechte
166,2023-03-18 00:00:00,Bahnhofsvorplatz - Willy-Brandt-Platz - Bahnhofsvorplatz,100,Stoppt die rassistische Gewalt von Polizei und Securities!
167,2023-03-20 00:00:00,Leibnizplatzpark - Familie-Schwarz-Platz,400,Newroz
168,2023-03-20 00:00:00,Bahrsplate (Weserstrandstraße 28779),100,Newroz
169,2023-03-21 00:00:00,Rudolf-Hilferding Platz,15,Tarifrunde ÖD - Übergabe eines offenen Briefes an den SV Dr. Hagen
170,2023-03-21 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
171,2023-03-21 00:00:00,Hollerallee (Gehweg und Grünstreifen),20,Tierqual hinter der Produktion von Stopfleber
172,2023-03-22 00:00:00,Marktplatz,500,JA zu besserer Bildung! NEIN zur Ausbildungsumlage!
173,2023-03-22 00:00:00,Weserwehr - Weserstadion,100,Warnstreik Tarifverhandlungen TVÖD
174,2023-03-22 00:00:00,Weserstadion - Marktplatz,4000,Warnstreik Tarifverhandlungen TVÖD
