Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Datum,Uhrzeit,Thema,Standort,Personenzahl
2021-08-16 00:00:00,17.00-18.30,Entschlossn gegen das Abschiebegefängnis in Glückstadt,Bahnhof,25
2021-08-18 00:00:00,10.30-14.00,IG Metall gestaltet Zukunft - Perspektive und Sicherheit bei CATERPILLAR,An der Schanze/Julius Fürst-Weg,10
2021-08-19 00:00:00,12.00-15.00,IG Metall gestaltet Zukunft,Rendsburger Landstr. 187/191,10
2021-08-19 00:00:00,19.00-20.00,"Situation in Afghanistan, Forderung zur Rettung von Gefährdeten vor Ort",Rathausplatz,100
2021-08-19 00:00:00,15.15-16.45,Südspange stoppen - Antrag in der Ratsversammlung zum Thema Südspange,Kieler Schloss,200
2021-08-20 00:00:00,07.30-13.30,IG Metall gestaltet Zukunft,Dr. Hell-Straße 6,10
2021-08-20 00:00:00,14.00-16.00,"Klimakrise, IPCC-Report",Kiellinie/Landeshaus,15-50-
21.08.201,14.00-17.00,"Bundesweiter Aktionstag ""Wer hat der gibt"". Die Reichen sollen für die Krise zahlen.",Aufzug/Lessingplatz,500
2021-08-22 00:00:00,12.15-13.15,Ohne Kerosin nach Berlin,Flensburg/Berlin,50-80
2021-08-22 00:00:00,11.00-13.30,Luftbrücke jetzt! Solidarität mit Afghanistan,Aufzug/CDU Sophienblatt,500
2021-08-25 00:00:00,14.30-16.30,Annalena Baerbock,Platz der Kieler Matrosen,450
2021-08-25 00:00:00,13.30-14.30,"Forderungsübergabe zum Hochschulgesetz durch DGB-Jugend, junge GEW, Landesastenkonferenz und Sudents für Future",Landtag,30-150
2021-08-26 00:00:00,17.00-20.00,Wahlkampfauftakt Die Linke,Vinetaplatz,200
2021-08-26 00:00:00,11.30-13.00,Annalena Baerbock,Platz der Kieler Matrosen,300
2021-08-26 00:00:00,14.00-18.00,Studi-Vernetzungstreffen,Hiroshimapark,20-50
2021-08-27 00:00:00,19.00-21.30,Diskussion Luise Amtsberg/Ska Keller zur Europapolitik,Schevenbrücke,50
2021-08-27 00:00:00,14.00-16.00,"Bildung für nachhaltige Entwicklung, Forderungen von Students for Future und Friday for Futurre zum Hochschulgesetz und zur Landtagswahl",Kiellinie/Landtag,15-50
2021-08-27 00:00:00,11.45-13.00,Politische Rede von Annalena Baerbock,Platz der Kieler Matrosen,450
2021-08-28 00:00:00,12.00-02.00,Raven gegen Kreuzfahrt,Ostseekai,500
2021-08-30 00:00:00,17.00-18.30,Gedenken an die Toten in Abschiebehaft,Kiellinie/Landtag,25
2021-09-01 00:00:00,18.00-19.00,"Anti-Kriegstag, Friedenspolitik Deutschlands vor der Wahl",Schevenbrücke,50
2021-09-01 00:00:00,17.00-18.30,Gegen die wachsende Kriegsgefahr,Platz der Kieler Matrosen,20
2021-09-03 00:00:00,14-16.00,Klimakrise und Gegenmaßnahmen,Kiellinie/Landtag/LT vorne?,15-50
2021-09-03 00:00:00,14-16-00,Mahnwache fürs Klima - Nachhaltigkeit an Hochschulen,Kiellinie/Landtag,20-100
2021-09-04 00:00:00,14.00-18.00,"Lockdown für immer? Es endet nicht, wenn wir es nicht beenden!",Aufzug/Reventlouwiese,600-1.000
2021-09-08 00:00:00,09.00-12.00,Wir können auch anders! Warnstreik bei Voith Turbo Lokomotivtechnik,Uferstraße 80/Voith,50
2021-09-09 00:00:00,17.00-20.00,Lieber anders bleibt!,Vinetaplatz,10-15
2021-09-09 00:00:00,05.00-15.00,Streikversammlung/Demonstration,Städtisches Krankenhaus mit Aufzug,70
2021-09-10 00:00:00,05.00-15.00,Streikversammlung/Demonstration,Städtisches Krankenhaus mit Aufzug,70
2021-09-10 00:00:00,14.00-16.00,Klimakrise und Gegenmaßnahmen,Kiellinie/Landtag/LT vorne?,15-50
