Datum,Uhrzeit,Thema,Standort,Personenzahl
2022-06-23 00:00:00,15.45-18.15,Ukrainische Kultur vorstellen,Klosterplatz 1,50
2022-06-25 00:00:00,12.00-17.00,Ukrainische Kultur vorstellen,Klosterplatz 1,50
2022-06-25 00:00:00,12.00-18.00,"Für Frieden, Freiheit und ein selbstbestimmtes Leben",Aufzug/Forstbaumschule,300
2022-06-25 00:00:00,09.00-19.00,Frieden schaffen ohne Waffen,Kiellinie/Rudervereine,5-10
2022-06-25 00:00:00,14.00-16.00,Gegen die Militarisierung der Gesellschaft und der wachsenden Kriegsgefahr,Kiellinie 215 nördlich der Seglervereinigung Kiel,10
2022-06-26 00:00:00,13.00-22.00,Festval der Vielfalt,Aufzug/Werftpark,2.500-3.000
2022-07-05 00:00:00,18.00-20.00,Mahnwache zum Iuventa Prozess,Landtag,30
2022-07-09 00:00:00,12.00-14.00,CSD 2022,Aufzug/Rathausplatz,1.500
2022-07-16 00:00:00,18.30-19.30,Cosplayparade für die Charity Convention,Aufzug/Wunderino-Arena,150
2022-07-14 00:00:00,14.00-18.00,Ehrliche und ausgewogene Berichterstattung der öffentlich-rechtlichen Medien,NDR-Landesfunkhaus,100-2.000
2022-07-21 00:00:00,14.00-18.00,Aktion Leuchtturm ARD,NDR-Landesfunkhaus,100
2022-07-22 00:00:00,18.00-20.00,Massaker in Suruc/Türkei,Asmus Bremer-Platz,40-60
2022-07-23 00:00:00,12.00-15.00,"Solidarität mit der Ukraine, raus aus Öl und Gas, Ausbau der erneuerbare Energien  ",Aufzug/Platz der Kieler Matrosen,100-2.000
2022-07-23 00:00:00,14.00-14.15,Armut,Bahnhofsplatz,10
2022-07-23 00:00:00,16.00-18.30,Türkische Besatzung und Flugsperrung in Rojava,Aufzug/Platz der Kieler Matrosen,200
2022-07-26 00:00:00,14.30-15.30,Mahnwache wegen Repression gegen Gewerkschafter in Italien,Wilhelmplatz 2,10
2022-07-29 00:00:00,11:00-22.00,Parking Day Französisches Viertel,Metzstraße,400
2022-07-30 00:00:00,11.00-18.00,Bewahrung und Förderung der christlichen Grundwerte,Holstenstraße 38,13
2022-08-03 00:00:00,15.00-18.00,Massaker der Jesiden in Sindschar,Schevenbrücke,ca. 50
2022-08-04 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der öffentlich-rechtlichen Medien,NDR-Landesfunkhaus,<100
2022-08-06 00:00:00,12.00-14.00,Tierschutz/gegen Massentierhaltung,Berliner Platz/Wasserbecken,25
2022-08-06 00:00:00,14.00-14.30,Armut,Asmus Bremer-Platz,30
2022-08-06 00:00:00,17.00-22.00,Friedensritt: Aufbäumen gegen das Aufrüsten,"Hof Wittschap, Rendsburger Landstraße 510",ca. 30
2022-08-06 00:00:00,17.00-18.00,Verbot und Vernichting aller Atomwaffen,Ernst Busch-Platz,10
2022-08-11 00:00:00,10.00-13.00,Inklusion rockt und rollt,Aufzug(Fahrradkorso)/Halle 400,100
2022-08-11 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der öffentlich-rechtlichen Medien,NDR-Landesfunkhaus,<100
2022-08-14 00:00:00,15.00-18.00,Wir schauen nicht weg - Jahrestag der Taliban-Machtübernahme,Aufzug/Platz der Kieler Matrosen,500
2022-08-16 00:00:00,17.00-20.00,Active Love,Asmus Bremer-Platz,15
2022-08-18 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der öffentlich-rechtlichen Medien,NDR-Landesfunkhaus,<100
2022-08-20 00:00:00,14.00-14.30,                                                                                    ,Asmus Bremer-Platz,40
2022-08-20 00:00:00,17.00.18.30,Stoppt den Krieg der Türkei in Rojava,Platz der Kieler Matrosen,ca. 50
2022-08-24 00:00:00,13.00-14.00,Save Ukrainian Children,Kiellinie/Landeshaus,50
2022-08-24 00:00:00,18.00-20.00,Solidartät mit der Ukraine - Für eine freie und unabhängige Ukraine,Schevenbrücke,100-500
2022-08-25 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der öffentlich-rechtlichen Medien,NDR-Landesfunkhaus,<100
2022-08-25 00:00:00,16.00-19.00,Ausstellung von Straßenfotos der Verbrechen der Islamistischen Faschistischen Republik im Iran,"ggü. Haupteingang Hbf, Bahnhofsvorplatz, Platz der Kieler Matrosen",30
2022-08-26 00:00:00,16.00-17.00,#StandWithUkraine,Asmus Bremer-Platz,300
2022-08-28 00:00:00,12.00-20.00,Grau und eng wird grün und entspannt,Teichstraße,100
2022-08-30 00:00:00,17.00-18.30,Gedenktag der Toten in Abschiebehaft,Bahnhofsbrücke,20-30
2022-09-01 00:00:00,16.00-17.30,Gegen die wachsende Weltkriegsgefahr,Schevenbrücke,10
2022-09-01 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,NDR-Landesfunkhaus,20
2022-09-01 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,Kieler Nachrichten,20
2022-09-03 00:00:00,12.00-15.00,Silent Line - Abschaffung der Massentierhaltung,Kiellinie B6,20
2022-09-04 00:00:00,10.30-12.00,Gedenkfeier Todesmarsch Hamburg-Kiel 1945,AEL Nordmark,250
2022-09-05 00:00:00,15.30-19.00,Olympia-Terrormorde München 1972,Asmus Bremer-Platz,10-15
2022-09-05 00:00:00,17.30-19.00,Mahnwache für Malte/Solidarität mit allen von queerfeindlicher Gewalt Betroffenen,Rathausplatz,50
2022-09-08 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,NDR-Landesfunkhaus,20
2022-09-08 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,Kieler NachrichtenN,20
2022-09-09 00:00:00,09.00-09.30,Faire Honorare für freischaffende Berufsmusiker*innen,Bildungsministerium,50
2022-09-10 00:00:00,12.00-14.00,87.000 dead in Mariupol,Asmus Bremer-Platz,50
2022-09-15 00:00:00,13.00-15.00,Autokorso IGAP zum Tariftreuegesetz,Aufzug/Gaardener Ring,250
2022-09-15 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,NDR-Landesfunkhaus,20
2022-09-15 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,Kieler Nachrichten,20
2022-09-17 00:00:00,16.00-18.30,Queere Befreiung geht nur solidarisch,Aufzug/Sophienblatt 44,150
2022-09-17 00:00:00,09.00-13.00,Für bessere Arbeitsbedingungen im Sozial- und Erziehungsdienst,Berliner Platz/Wasserbecken,15
2022-09-17 00:00:00,12.00-16.00,"Parking Day Weg vom Auto, hin zum ÖPNV",Möllingstraße 24,3-5
2022-09-17 00:00:00,12.00-16.00,ParkingDay,Möllingstraße 22,2(!)-5
2022-09-17 00:00:00,12:05-13.00,Armut,Schevenbrücke,50
2022-09-20 00:00:00,09.30-11.30,Streik der Beschäftigten des privaten Omnibusgewerbes,Aufzug/Platz der Kieler Matrosen,ca. 500
2022-09-21 00:00:00,18.30-20.00,Gedenken für Masha Amini,Asmus Bremer-Platz,50
2022-09-22 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,NDR-Landesfunkhaus,20
2022-09-22 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,Kieler Nachrichten,20
2022-09-23 00:00:00,13.15-14.00,10. Globaler Klimastreik,Christian Albrechts-Platz,50
