Datum,Uhrzeit,Thema,Standort/Strecke,Personenzahl
01.04.,11.00-17.00,Verfolgung von Falun Dalfa und die Verbrechen der KP Chinas,Schevenbrücke,3-5
01.04.,09.00-13.00,Werbung Ostermarsch/Aktuelles Friedensbewegung,Exerzierplatz,ca. 20
01.04.,15.00-17.30,Diplomaten statt Waffen,Aufzug/Exerzierplatz,30
03.04.,18.00-19.40,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
06.04.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                    Wall-Brücke,20
06.04.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
08.04.,12.00-15.00,"traditioneller Ostermarsch, Aktuelles aus der Friedenspolitik","NDR-Landesfunkhaus
Wall-Brücke",ca. 200
08.04.,15.00-17.45,Gehen bald die Lichter aus?,Aufzug/Exerzierplatz,60
10.04.,18.00-20.00,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
13.04.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                    Wall-Brücke,20
13.04.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
13.04.,09:30-13.00,1.000 Kraniche für den Atomausstieg,Hiroshimapark,20
14.04.,12.00-13.00,Atomkraft,Europaplatz/Schevenbrücke,10
15.04.,15.00-17.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
17.04.,16.00-17.00,LEG-Mieter wehren sich,Tonberg 15/Güterbahnhof,25
17.04.,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
20.04.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                    Wall-Brücke,20
20.04.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
21.04.,18.00-20.00,Daniel Günther in Kiel,Holtenauer Str. 26,ca. 30
21.04.,10.45-12.00,"Beginnende Volksinitiative, direkte Demokratie auf kommunaler Ebene",Rathausplatz,20-30
21.04.,08.00-10.00,Warnstreik EVG,Bahnhofsplatz,40
22.04.,15.30-19.30,Sozial-ökologische Mobilitätswende,Aufzug/Exerzierplatz,300
22.04.,11.00-16.00,Menschenkette für den Frieden,Holstenstraße/Berliner Platz,3-20
22.04.,11.15-13.45,Gegen Krise und rechte Hetze,Langer Rehm 22/Rewe,15
22.04.,15.00-17.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
23.04.,13.30-17.30,"Umnutzung von Parkflächen, urbaner Raum, Mobilität, Flächenverbrauch, Vernetzung der Kielerinnen und Kieler",Parklplatz Bernhard Harms-Weg,3
24.04.,18.00-19.40,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
27.04.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                    Wall-Brücke,20
27.04.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
28.04.,18.30-20.15,"Danke für nichts, treten Sie bitte zurück, Herr Habeck",Kaistraße/Hafenstraße,40
