Datum,Ort,Art,ang. TN-Zahl
2022-03-15 00:00:00,Hörder Bahnhof 16,Stationär,3 - 10
2022-03-15 00:00:00,Köln-Berliner-Str. 1,Stationär,3 - 10
2022-03-16 00:00:00,Reinoldikirche,Stationär,10 - 20
2022-03-16 00:00:00,RKP,Stationär,20
2022-03-16 00:00:00,Huckarder Marktplatz (Rundweg),Aufzug,25  - 30
2022-03-17 00:00:00,Friedensplatz,Stationär,200
2022-03-18 00:00:00,Hiltropwall,Stationär,200
2022-03-19 00:00:00,Platz der Deutschen Einheit - Sonnenplatz,Aufzug,50
2022-03-19 00:00:00,Friedhof,Stationär,100
2022-03-19 00:00:00,Friedensplatz,Stationär,40 - 250
2022-03-19 00:00:00,Platz von Netanya,Stationär,5 - 10
2022-03-19 00:00:00,Platz von Buffalo - Reinoldikirche - DSW21-Kundencenter,Aufzug,80
2022-03-20 00:00:00,Platz von Xí'an - Bornstraße 166,Aufzug,150
2022-03-21 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-03-21 00:00:00,Friedensplatz - Schützenstraße - Friedensplatz,Aufzug,749
2022-03-21 00:00:00,Eving ggü Bergstraße,Stationär,50 - 60
2022-03-21 00:00:00,Willy-Brandt-Platz (Lünen) - Friedrichstraße - Willy-Brandt-Platz (Lünen),Aufzug,100-200
2022-03-21 00:00:00,Lünen Parkplatz Hilpert-Theater - Willy-Brandt-Platz,Aufzug,6 - 50
2022-03-21 00:00:00,Nordmarkt,Stationär,100
2022-03-22 00:00:00,Klosterstr. - Innenstadt - Klosterstr.,Aufzug,24 - 30
2022-03-22 00:00:00,Park der Partnerstädte,Stationär,50
2022-03-23 00:00:00,Reinoldikirche,Stationär,10 - 20
2022-03-23 00:00:00,RKP,Stationär,20
2022-03-23 00:00:00,Huckarder Marktplatz - Huckarder Bruch - Huckarder Marktplatz,Aufzug,30
2022-03-25 00:00:00,Europaplatz - Graf-Adolf-Straße - Europaplatz (Lünen),Aufzug,90
2022-03-25 00:00:00,Hansaplatz (Sternfahrt),Aufzug,800
2022-03-25 00:00:00,Willy-Brandt-Platz Lünen - Konrad-Adenauer-Straße - Willy-Brandt-Platz Lünen,Aufzug,500
2022-03-25 00:00:00,RKP ,Stationär,150
