Datum,Ort,Art,ang. TN-Zahl,Thema
2023-02-11 00:00:00,Platz der Deutschen Einheit,Stationär,10,"Glaube, Liebe, Hoffnung in Krisenzeiten"
2023-02-12 00:00:00,Friedensplatz,Stationär,2000,Gebet und Koranrezitation für die Erdbebenopfer in der Türkei und Syrien. Aufruf zur Solidarität und Wichtigkeit der Unterstützung für Betroffene
2023-02-13 00:00:00,Katharinenstraße ,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Corona Pandemie, Für den Weltfrieden"
2023-02-13 00:00:00,Untere Brinkstraße 81-89,Stationär,100 - 150,Tarifrunde öffentlicher Dienst (TVöD Bund/VKA) 
2023-02-13 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,25 - 35,"Schluss mit der Zerstörung unserer Wirtschaft, wir fordern den sofortigen Rücktritt der Bundesregierung!"
2023-02-14 00:00:00,Platz der Deutschen Einheit,Stationär,100 - 150,One Billion Rising
2023-02-15 00:00:00,DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-02-15 00:00:00,Missundestraße 71,Stationär,30,"Für die Bestrafung der Verantwortlichen, für den Tod von Mouhamed in Politik und Polizei! Gegen Polizeigewalt und Rassismus! Hoch die Internationale Solidarität"
2023-02-15 00:00:00,Cinestar-Vorplatz/Platz von Xí'an,Stationär,40 - 50,"Aufruf an die demokratischen Institutionen, sich für die Menschenrechte einzusetzen und gegen die internationale Rechtswidrigkeit gegen Herrn Öcalan und die Zerstörung der Menschenrechte am 15. Februar 1999 zu protestieren"
2023-02-15 00:00:00,Freiherr-vom-Stein-Platz,Stationär,200,Anklage im Fall des getöteten Mouhamed Drame
2023-02-16 00:00:00,Olpe 1,Stationär,120,Free Abdullohi S.
2023-02-16 00:00:00,Katharinenstraße ,Stationär,30,Infozelt - Solidarität mit den Erdbebenopfern in der Türkei und Syrien
2023-02-16 00:00:00,Friedensplatz,Stationär,500,Friedensgebet für die Opfer und Betroffenen des Erdbebens in der Türkei und Syrien
2023-02-18 00:00:00,Mengede Marktplatz (Rundweg),Aufzug,80,Keine Waffen in Kriegsgebiete! Es ist nicht unser Krieg !!!
2023-02-18 00:00:00,Katharinenstraße ,Stationär,15,Gegen Fleisch / Herz für Tiere zum Valentinstag
2023-02-18 00:00:00,Platz der Deutschen Einheit,Stationär,50,Gedenken der Opfer in Hanau
2023-02-22 00:00:00,DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-02-22 00:00:00,Huckarder Marktplatz (Rundweg),Aufzug,45,Keine Waffen in Kriegsgebiete!! Info!
2023-02-22 00:00:00,Körner Hellweg 142,Stationär,2 - 3,Rosenkranzgebet
2023-02-22 00:00:00,Königshof 1,Stationär,50,Tarifverhandlungen öffentlicher Dienst
2023-02-22 00:00:00,Körner Hellweg 132,Stationär,20,Kundgebung gegen die Abtreibungsgegner
2023-02-24 00:00:00,Vorplatz DSW-21 Kundencenter,Stationär,40 - 50,STOPP der KRIEGSTREIBER
2023-02-24 00:00:00,"Lange Straße, Lünen",Stationär,200 - 300,Friedensaktion zum Jahrestag des Krieges in der Ukraine
2023-02-24 00:00:00,Friedensplatz,Stationär,1000,1 Jahr Invasion Russlands in die Ukraine. Das Licht besiegt die Dunkelheit
2023-02-25 00:00:00,Mehmet-Kubasik-Platz,Stationär,40,Steigende Preise
2023-02-25 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,10,Gegen die Repression der Militärdiktatur in Algerien gegen politische Aktivisten
2023-02-25 00:00:00,Körner Hellweg 142,Stationär,5,Gebetswache gegen Abtreibung
2023-02-25 00:00:00,Körner Hellweg 132,Stationär,20,Kundgebung gegen die Abtreibungsgegner*innen
2023-02-27 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Corona Pandemie, Für den Weltfrieden"
2023-02-27 00:00:00,Deutsche Straße 4-6,Stationär,25 - 35,Haltestelle für den Frieden
2023-02-27 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen (Rundweg)",Aufzug,50 - 60,Wir fordern den sofortigen Rücktritt der Bundesregierung und zurück zur Volkssouveränität!
2023-02-28 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,30 - 50,"""Solidarität mit allen Streikenden"" 11 Millionen Lohnabhängige haben im Frühjahr ihre Tarifrunde"
2023-02-28 00:00:00,Katharinenstraße ,Stationär,20,"Unterfinanzierung des ÖPNV und des Bildungswesens, steigende Preise und Inflation"
2023-03-01 00:00:00,Stockholmer Allee 24,Stationär,25,Mittagspausenaktion Tarifrunde DOKOM 21
2023-03-01 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-03-02 00:00:00,Westenhellweg,Stationär,25,"Wir protestieren für die Freilassung der revolutionären Künstler, Pablo Hasel und Ishan Cibelik und fordern ihre Freilassung. Wir rufen alle dazu auf, uns zu vereinen und gemeinsam den Faschismus zu verurteilen"
2023-03-03 00:00:00,Friedensplatz (Rundweg),Aufzug,1200,Globaler Klimastreik 03.03.2023
2023-03-03 00:00:00,Deggingstraße 40 - Friedensplatz,Aufzug,1000,Warnstreik im ÖPNV im Rahmen der Tarifrunde für den öffentlichen Dienst
2023-03-03 00:00:00,Wambeler Hellweg 165 - Friedensplatz,Aufzug,50,Fahrradzubringer zur Klimastreikdemo am 03. März 2023
2023-03-03 00:00:00,Hörder Bahnhofstraße 10,Stationär,15 - 25,Der Streik im öffentlichen Nahverkehr
2023-03-03 00:00:00,Königswall 36 - Friedensplatz,Aufzug,100 - 150,Tarifrunde öffentlicher Dienst (TVöD Bund/VKA) 
2023-03-04 00:00:00,Möllerbrücke,Stationär,25,Wir machen die Möllerbrücke wieder schöner
2023-03-06 00:00:00,Kurt-Piehl-Platz - Missundestraße 71,Aufzug,22 - 30,Erinnern an Mouhamed und seinen Tod!
2023-03-06 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Corona Pandemie, Für den Weltfrieden"
2023-03-06 00:00:00,"Lange Straße, Lünen",Stationär,15 - 30,"Schluss mit dem Klima-Wahn, für den Erhalt des Bargelds!"
2023-03-08 00:00:00,Friedensplatz - Nordmarkt,Aufzug,500,Feministischer Kampftag
2023-03-08 00:00:00,Park der Partnerstädte,Stationär,35,Das System Prostitution verhindert die Gleichstellung der Geschlechter und fördert die Gewalt gegen Frauen
2023-03-08 00:00:00,Cinestar-Vorplatz - St. Josef Kirche,Aufzug,150,Internationaler Frauentag und Gewalt gegen Frauen im Iran
2023-03-08 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-03-08 00:00:00,Huckarder Marktplatz (Rundweg),Aufzug,45,Keine Waffen in Kriegsgebiete! Gemeinsam für den Frieden und ein bezahlbares Leben!
2023-03-08 00:00:00,Remydamm - Friedensplatz,Aufzug,2000 - 3000,Tarifrunde öffentlicher Dienst (TVöD Bund/VKA) 
2023-03-08 00:00:00,Marsbruchstraße 179,Stationär,20,Warnstreik Sozial- und Erziehungsdienst Öffentlicher Dienst
