Datum,Ort,Art
2019-06-02 00:00:00,Park der Partnerstädte,Stationär
2019-06-03 00:00:00,Europabrunnen,Stationär
2019-06-04 00:00:00,Niedersachsenweg 20,Stationär
2019-06-04 00:00:00,Wittekindstraße 99,Stationär
2019-06-05 00:00:00,Europabrunnen,Stationär
2019-06-06 00:00:00,Friedensplatz,Stationär
2019-06-07 00:00:00,Innenstadt,Aufzug
2019-06-08 00:00:00,Platz der Deutschen Einheit - RKP,Aufzug
2019-06-08 00:00:00,Platz von Netanya,Stationär
2019-06-08 00:00:00,St. Petrikirche,Stationär
2019-06-11 00:00:00,Platz von Netanya,Stationär
2019-06-11 00:00:00,Platz der Deutschen Einheit,Stationär
2019-06-13 00:00:00,Marktplatz Hombruch,Stationär
2019-06-14 00:00:00,Friedensplatz bis Friedensplatz,Aufzug
2019-06-14 00:00:00,Ritterstraße - Friedensplatz,Aufzug
2019-06-15 00:00:00,Reinoldikirchplatz,Stationär
2019-06-15 00:00:00,Aufzug Innenstadt,Aufzug
2019-06-17 00:00:00,Platz der Deutschen Einheit,Stationär
18.06.-22.06.2019,Willy-Brandt-Platz,Stationär
19.06.-22.06.2019,Willy-Brandt-Platz,Stationär
2019-06-19 00:00:00,Aufzug Unna Dortmund,Aufzug
2019-06-19 00:00:00,Steinwache ,Stationär
2019-06-20 00:00:00,Marktplatz Hombruch,Stationär
2019-06-20 00:00:00,Platz der Alten Synagoge - Hiltropwall,Aufzug
2019-06-20 00:00:00,Petergasse,Stationär
21.06.-22.06.2019,Aufzug Innenstadt,Aufzug
2019-06-21 00:00:00,Platz der Alten Synagoge - Hiltropwall,Aufzug
2019-06-21 00:00:00,Petergasse,Stationär
2019-06-21 00:00:00,Friedensplatz,Stationär
2019-06-22 00:00:00,Platz von Netanya,Stationär
2019-06-22 00:00:00,Westfalenhalle und Stadtgarten,Stationär
2019-06-22 00:00:00,Aufzug Innenstadt,Aufzug
2019-06-22 00:00:00,Hansaplatz,Stationär
2019-06-22 00:00:00,Platz der Alten Synagoge - Hiltropwall,Aufzug
2019-06-22 00:00:00,Platz der Deutschen Einheit,Stationär
2019-06-22 00:00:00,Kampstraße 38,Stationär
2019-06-22 00:00:00,Petergasse,Stationär
2019-06-22 00:00:00,Friedensplatz,Stationär
2019-06-23 00:00:00,Rennweg 70,Stationär
2019-06-24 00:00:00,Platz der Deutschen Einheit,Stationär
2019-06-25 00:00:00,Aufzug Betenstr. - Ritterstr. ,Aufzug
2019-06-26 00:00:00,Friedensplatz,Stationär
2019-06-27 00:00:00,Friedensplatz,Stationär
2019-06-28 00:00:00,Aufzug Lünen,Aufzug
2019-06-28 00:00:00,Lünen ,Aufzug
2019-06-28 00:00:00,Aufzug Friedensplatz - Nordstadt,Aufzug
2019-06-28 00:00:00,Friedensplatz - City - Friedensplatz,Aufzug
2019-06-28 00:00:00,Westenhellweg Potgasse Ruhrnachrichten,Stationär
2019-06-28 00:00:00,Westenhellweg Potgasse Ruhrnachrichten,Stationär
2019-06-29 00:00:00,Diverse in Dortmund,Stationär
2019-06-29 00:00:00,Cinestar Vorplatz,Stationär
2019-07-01 00:00:00,Kleppingstr./Ostenhellweg,Stationär
2019-07-03 00:00:00,Katharinenstraße,Stationär
2019-07-03 00:00:00,Goebenstraße 12-14 Ital. Konsulat,Stationär
2019-07-04 00:00:00,Sonnenplatz,Stationär
2019-07-04 00:00:00,Friedensplatz ,Stationär
2019-07-04 00:00:00,Friedensplatz,Stationär
2019-07-05 00:00:00,Friedensplatz - City - Friedensplatz,Aufzug
2019-07-06 00:00:00,Reinoldikirchplatz,Stationär
2019-07-06 00:00:00,Aufzug Innenstadt,Aufzug
2019-07-06 00:00:00,Europabrunnen,Aufzug
2019-07-06 00:00:00,Münsterstr. - RKP,Aufzug
2019-07-06 00:00:00,Westenhellweg ggü Saturn,Stationär
2019-07-08 00:00:00,Kleppingstr./Ostenhellweg,Stationär
2019-07-08 00:00:00,Betenstraße,Stationär
2019-07-11 00:00:00,Evinger Straße,Stationär
2019-07-11 00:00:00,Platz der Deutschen Einheit,Stationär
2019-07-12 00:00:00,Aufzug Innenstadt,Aufzug
2019-07-13 00:00:00,Platz von Netanya ,Stationär
2019-07-13 00:00:00,U-Turm - Friedensplatz,Aufzug
2019-07-13 00:00:00,Platz der Deutschen Einheit,Stationär
2019-07-15 00:00:00,Kleppingstr./Ostenhellweg,Stationär
2019-07-17 00:00:00,Platz von Netanya,Stationär
2019-07-18 00:00:00,Friedensplatz,Stationär
2019-07-18 00:00:00,Platz von Netanya,Stationär
2019-07-19 00:00:00,Aufzug Innnenstadt,Aufzug
2019-07-20 00:00:00,Platz von Netanya,Stationär
2019-07-20 00:00:00,Hbf - Hbf,Aufzug
2019-07-20 00:00:00,Kampstr./DSW21 Center,Stationär
2019-07-20 00:00:00,U-Bahn Westfalenhallen,Stationär
2019-07-20 00:00:00,Platz Rostow am Don,Stationär
2019-07-20 00:00:00,Europabrunnen RKP,Stationär
2019-07-20 00:00:00,Platz der Deutschen Einheit,Stationär
2019-07-21 00:00:00,Stadtgarten  ,Stationär
2019-07-21 00:00:00,U-Bahn Westfalenhallen,Stationär
2019-07-22 00:00:00,Kleppingstr./Ostenhellweg,Stationär
2019-07-22 00:00:00,Platz von Netanya,Stationär
2019-07-23 00:00:00,Kampstr. oder RKP,Stationär
2019-07-24 00:00:00,Platz von Netanya,Stationär
2019-07-25 00:00:00,Friedensplatz,Stationär
2019-07-25 00:00:00,Platz von Netanya,Stationär
2019-07-26 00:00:00,Friedensplatz,Stationär
2019-07-27 00:00:00,Platz von Netanya,Stationär
2019-07-28 00:00:00,Westfalenhalle,Stationär
2019-07-29 00:00:00,Kleppingstr./Ostenhellweg,Stationär
2019-07-30 00:00:00,Platz von Netanya,Stationär
2019-08-01 00:00:00,Hombrucher Marktplatz,Stationär
2019-08-02 00:00:00,Innenstadt,Aufzug
2019-08-02 00:00:00,Südwall 2- 4,Stationär
2019-08-02 00:00:00,Schwarze-Brüder-Str. 7,Stationär
2019-08-02 00:00:00,Kampstr. 102,Stationär
2019-08-02 00:00:00,Hansaplatz,Stationär
2019-08-02 00:00:00,Kampstr. 5,Stationär
2019-08-02 00:00:00,Betenstraße,Stationär
