region,city,date,organizer,topic,participants_registered,participants_actual
Baden-Württemberg,Karlsruhe,2023-03-03,,Warnstreik öffentlicher Dienst - zusammen mit Fridays for Future,1000.0,
Baden-Württemberg,Karlsruhe,2023-03-03,,Gehaltserhöhung im öffentlichen Dienst,100.0,
Baden-Württemberg,Karlsruhe,2023-03-03,,riedensmeditation für den inneren und äußeren Frieden bewegte Mahnwache,50.0,
Baden-Württemberg,Karlsruhe,2023-03-03,,Globaler Klimastreik von Fridays for Future zum Thema Verkehrswende in Kooperation mit Verdi,3500.0,
Baden-Württemberg,Karlsruhe,2023-03-04,,Iran im Aufruhr,200.0,
Baden-Württemberg,Karlsruhe,2023-03-04,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2023-03-04,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2023-03-04,,Iran im Aufruhr,200.0,
Baden-Württemberg,Karlsruhe,2023-03-06,,"Montagsdemo gegen die Hartz-Gesetze und Sozialabbau, Aktiver Widerstand für den Weltfrieden - gegen alle Kriegstreiber!",50.0,
Baden-Württemberg,Karlsruhe,2023-03-07,,Infoveranstaltung zum Equal Pay Day 7.3.2023,50.0,
Baden-Württemberg,Karlsruhe,2023-03-07,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",12.0,
Baden-Württemberg,Karlsruhe,2023-03-07,,Equal Pay Day,30.0,
Baden-Württemberg,Karlsruhe,2023-03-07,,Infoveranstaltung zum Equal Pay Day 7.3.2023,50.0,
Baden-Württemberg,Karlsruhe,2023-03-07,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",12.0,
Baden-Württemberg,Karlsruhe,2023-03-08,,Internationaler Frauentag ,500.0,
Baden-Württemberg,Karlsruhe,2023-03-08,,Campus Rally for the Brave Women of Iran on International Womens's Day,100.0,
Baden-Württemberg,Karlsruhe,2023-03-08,,Streikkundgebung zum Internationalen Frauentag,120.0,
Baden-Württemberg,Karlsruhe,2023-03-08,,Catcalls of Karlsruhe kreiden an,3.0,
Baden-Württemberg,Karlsruhe,2023-03-08,,Catcalls of Karlsruhe kreiden an,3.0,
Baden-Württemberg,Karlsruhe,2023-03-08,,Catcalls of Karlsruhe kreiden an,3.0,
Baden-Württemberg,Karlsruhe,2023-03-08,,Internationaler Frauentag ,500.0,
Baden-Württemberg,Karlsruhe,2023-03-09,,Unterschriftensammlung für das Bürgerbegehren Fuß- und Radentscheid,7.0,
Baden-Württemberg,Karlsruhe,2023-03-09,,für das Grundgesetz,49.0,
Baden-Württemberg,Karlsruhe,2023-03-10,,"Frieden in der Ukraine, Probleme im Gesundheitswesen, Wirtschafts- und Finanzkrise",120.0,
Baden-Württemberg,Karlsruhe,2023-03-11,,Klimaschutz,20.0,
Baden-Württemberg,Karlsruhe,2023-03-11,,Freiheit-Religion,4.0,
Baden-Württemberg,Karlsruhe,2023-03-11,,"Bilden einer Menschenkette für die Solidarität mit den vergifteten, jungen Mädchen in mehr als 100
Mädchenschulen im Iran",60.0,
Baden-Württemberg,Karlsruhe,2023-03-11,,Klimaschutz,20.0,
Baden-Württemberg,Karlsruhe,2023-03-14,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2023-03-15,,Streikdemonstrationen,500.0,
Baden-Württemberg,Karlsruhe,2023-03-15,,Demo der VBK Beschäftigten ,500.0,
Baden-Württemberg,Karlsruhe,2023-03-16,,Unterschriftensammlung für das Bürgerbegehren Fuß- und Radentscheid,7.0,
Baden-Württemberg,Karlsruhe,2023-03-16,,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Die RichterInnen des BVG sollten endlich Ihre Aufgabe erfüllen + darüber urteilen, ob manche Grundrechtseinschränkungen Grundgesetzwidrig waren - Frieden schaffen ohne Waffen - keine Waffen in Kriegsgebiete liefern, die gebaut wurden um Menschen zu verletzen, zu töten, zu zerfetzen - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49.0,
Baden-Württemberg,Karlsruhe,2023-03-17,,Wir bleiben widerständig! - Gegen die AfD!,200.0,
Baden-Württemberg,Karlsruhe,2023-03-17,,Für die Freiheit,100.0,
Baden-Württemberg,Karlsruhe,2023-03-18,,Tag der politischen Gefangenen,40.0,
Baden-Württemberg,Karlsruhe,2023-03-18,,Freiheit für alle politischen Gefangenen,30.0,
Baden-Württemberg,Karlsruhe,2023-03-18,,"Freiheit-Religion, mit Rede Musik",5.0,
Baden-Württemberg,Karlsruhe,2023-03-18,,Tag der politischen Gefangenen,40.0,
Baden-Württemberg,Karlsruhe,2023-03-19,,Freiheit - Religion,10.0,
Baden-Württemberg,Karlsruhe,2023-03-21,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2023-03-21,,21.03.23 ist Internationaler Tag der Sozialen Arbeit. Ver.di ruft einige Sozialeinrichtungen der Stadt Karlsruhe zu einem Freeze-Flashmob auf den Mein.,30.0,
Baden-Württemberg,Karlsruhe,2023-03-21,,Andenken an Opfer der iranischer Revolution und persisches Neujahr,5.0,
Baden-Württemberg,Karlsruhe,2023-03-22,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2023-03-22,,Warnstreik der Beschäftigten im öffentlichen Dienst,1000.0,
Baden-Württemberg,Karlsruhe,2023-03-22,,Warnstreik der Beschäftigten im öffentlichen Dienst,2500.0,
Baden-Württemberg,Karlsruhe,2023-03-22,,Warnstreik der Beschäftigten im öffentlichen Dienst,1000.0,
Baden-Württemberg,Karlsruhe,2023-03-22,,Warnstreik öffentlicher Dienst ,500.0,
Baden-Württemberg,Karlsruhe,2023-03-23,,Slow walk FOR PEACE,50.0,
Baden-Württemberg,Karlsruhe,2023-03-23,,"Flugblätter verteilen vor dem Hbf Karlsruhe auf der Gemarkung der Stadt Karlsruhe. Es handelt sich also nicht
um Privatgelände der Deutsche Bahn AG (DB Station&Service GmbH). Der Genaue Ort ist das Vordach zwischen
Haupteingang Karlsruhe Hbf und den Gleisen der Tram (Vordach ohne das Bahnhofsgebäude).",2.0,
Baden-Württemberg,Karlsruhe,2023-03-23,,für das Grundgesetz,49.0,
Baden-Württemberg,Karlsruhe,2023-03-24,,Rassismus,25.0,
Baden-Württemberg,Karlsruhe,2023-03-24,,Nouruz ist das Neujahrsfest,10.0,
Baden-Württemberg,Karlsruhe,2023-03-24,,"Frieden, Demokratie ",75.0,
