Anzahl Vers.,Datum ,SB,Thema,Versammlungen Ort,Uhrzeit,erwartete Teilnehmerzahl,Vermerk,interner Vermerk,Anzahl Aufzüge,Datum,SB.1,Thema.1,Anzahl Teilnehmer,Vermerk.1
103.0,2022-04-24 00:00:00,fo,Kriegsgeschehen in der Ukraine,Tbilisser Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,43,erl. 24.04.2022,fo,Autokorso gegen die Diskriminierung der Russisch Sprachigen,,verschoben auf den 08.05.2022
104.0,2022-04-25 00:00:00,fo,,Landtag,,,,Umweltschutzbewegung hat laut SZ vor dem Landtag in SB für mehr Klimaschutz protestiert. Polizeibeericht nicht vorhanden.,,,,,,
105.0,2022-04-25 00:00:00,fo,Eilvrammllung Angriff der türkei gegen das kurdische Volk im Nordirak mittels Giftgas/chemischer Waffen,vor ECE,18:00 Uhr - 18:45 Uhr,40,Eilversammlung/über PI,,,,,,,
106.0,2022-04-26 00:00:00,sa,Justice for Kurds,ECE an der Mauer,14:00 Uhr - 17:00 Uhr,20,,erl.,,,,,,
107.0,2022-04-26 00:00:00,fo,Wanrstreik Tarifrunde 2022 im Sozial- und Erziehungsdienst mit Kundgebung,Tbilisser Platz,10:00 Uhr - 12:30 Uhr,300,abgesagt,erl.,,,,,,
,,,,,,,,,44,erl. 30.04.2022,fo,Wohltätigkeitsorganisation,100,abgesagt
,,,,,,,,,45,erl. 30.04.2022,fo,Kein Schlussstrich - 31 Jahre nach de Mord an Saumeul Yeboah,100-200,
108.0,2022-05-01 00:00:00,fo,Kriegsgeschehen in der Ukraine,Tbilisser Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,46,erl. 01.05.2022,fo,"1. Mai, Tag der Arbeit",3500,
109.0,2022-05-02 00:00:00,fo,Montagsdemo gegen die Hartz IV Gesetze,vor Thalia,18:00 Uhr - 19:00 Uhr,20,,erl.,,,,,,
110.0,2022-05-02 00:00:00,fo,Eilversammlung - Irakische Armee Raus aus Sengal!,Vor ECE,18:30 Uhr - 19:30 Uhr,,Eilversammlung über Polizei,,,,,,,
111.0,2022-05-03 00:00:00,fo,Für Frieden und Pressefreiheit,SJM,12:00 Uhr - 14:00 Uhr,fünf bis fünfzig,,erl.,,,,,,
112.0,2022-05-04 00:00:00,fo,Menschen über 60 Perspektiven aufzeigen,vor Thalia,13:30 - 15:00 Uhr,15-20,,erl.,,,,,,
113.0,2022-05-04 00:00:00,fo,Sozial- und Erziehungsdienst mit Kundgebung,Tbilisser Platz,12:00 Uhr - 14:00 Uhr,300,,erl.,,,,,,
114.0,2022-05-05 00:00:00,fo,Aktionstag Inklusion,Landwehrplatz ,15:00 Uhr - 19:00 Uhr,100,,erl.,47,erl. 05.05.2022,fo,30 Jahre Europäischer Protesttag zur Lgeichstellung von Menschen mit Behinderung. 30 Jahre und nur ein bisschen weiter?,150,
115.0,2022-05-05 00:00:00,fo,Menschen über 60 Perspektiven aufzeigen,vor Thalia,13:30 - 15:00 Uhr,15-20,,erl.,,,,,,
116.0,2022-05-06 00:00:00,fo,Justice for Kurds,vor ECE,12:00 Uhr - 16:00 Uhr,25,,erl.,,,,,,
117.0,2022-05-06 00:00:00,fo,Menschen über 60 Perspektiven aufzeigen,vor Thalia,13:30 - 15:00 Uhr,15-20,,erl.,,,,,,
118.0,2022-05-06 00:00:00,sa,Anerkennung des Völkermordes an den Tamilen,vor Primarkt,14:30 Uhr - 16:30 Uhr,50,,erl.,,,,,,
119.0,2022-05-07 00:00:00,fo,Menschen über 60 Perspektiven aufzeigen,vor Thalia,13:30 - 15:00 Uhr,15-20,,erl.,,,,,,
120.0,2022-05-07 00:00:00,fo,"Mahnwache - Tierrechte, Veganismus",ECE3,14:00 Uhr - 18:00 Uhr,,,erl.,,,,,,
