Anzahl Vers.,Datum ,Versammlungen Ort,Vermerk,Unnamed: 4,Anzahl Aufzüge,Datum,Vermerk.1,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,47.0,2019-06-03 00:00:00,,,,
,,,,,48.0,2019-06-03 00:00:00,,,,
,,,,,49.0,2019-06-07 00:00:00,,,,
,,,,,50.0,2019-06-08 00:00:00,,,,
72.0,2019-06-08 00:00:00,Heinestraße 2-4,,,,2019-06-08 00:00:00,Flohmarkt Franz-Josef-Röder-Straße 8-16 Uhr,,,
73.0,2019-06-09 00:00:00,abgesagt,Stichwahl OB-Wahl,,51.0,2019-06-09 00:00:00,,,,
74.0,2019-06-15 00:00:00,vor Europagalerie,,,,,,,,
75.0,2019-06-15 00:00:00,Bahnhofstraße 72/74 - 77/79,,,,,,,,
76.0,2019-06-18 00:00:00,St. Johanner Markt,Eilversammlung,,,,,,,
77.0,2019-06-19 00:00:00,Haupteingang DFG,abgesagt,,52.0,2019-06-19 00:00:00,,,,
78.0,2019-06-22 00:00:00,Bahnhofstraße  ,,,,,,,,
79.0,2019-06-24 00:00:00,verschiedene Orte,,,,,,,,
80.0,2019-06-25 00:00:00,verschiedene Orte,,,,,,,,
81.0,2019-06-26 00:00:00,verschiedene Orte,,,,,,,,
82.0,2019-06-24 00:00:00,ECE bzw. Bahnhofstraße (Alternativfläche),,,,,,,,
83.0,2019-06-25 00:00:00,ECE bzw. Bahnhofstraße (Alternativfläche),,,,,,,,
84.0,2019-06-25 00:00:00,St. Johanner Markt,,,,,,,,
,26.06.-27.06,SJM ist belegt,,,,26.06.-27.06,SJM ist belegt,,,
,28.06.-30.06.,SJM ist belegt,,,,28.06.-30.06.,SJM ist belegt,,,
,01.07.-02.07.,SJM ist belegt,,,,01.07.-02.07.,SJM ist belegt,,,
85.0,2019-06-28 00:00:00,vor ECE ,,,53.0,2019-06-28 00:00:00,nicht angemeldet,,,
86.0,2019-06-29 00:00:00,Bahnhofstraße 72/74 - 77/79,,,,,,,,
87.0,2019-06-29 00:00:00,vor Europagalerie,,,,,,,,
88.0,2019-06-29 00:00:00,vor Kaufhof Galerie,,,,,,,,
,,,,,54.0,2019-07-01 00:00:00,,,,
,,,,,55.0,2019-07-03 00:00:00,,,,
89.0,2019-07-05 00:00:00,St. Johanner Markt/Brunnen,,,56.0,2019-07-05 00:00:00,ohne Anmeldung,,,
90.0,2019-07-05 00:00:00,vor ECE,,,,,,,,
,,, ,,57.0,2019-07-11 00:00:00,,,,
91.0,2019-07-13 00:00:00,Heinestraße 2-4,,,,,,,,
92.0,2019-07-13 00:00:00,Bahnhofstraße 72/74 - 77/79,,,,,,,,
93.0,2019-07-13 00:00:00,vor ECE,,,,,,,,
,,,,,,,,,,
,26.-28.07.19,,Veransaltung,,,26.-28.07.19,,,,
,,,,,58.0,2019-07-26 00:00:00,nicht angemeldet,,,
