Anzahl Vers.,Datum ,Thema der Versammlung,Uhrzeit,erwartete Teilnehmerzahl,Anzahl Aufzüge,Datum,Thema des Aufzuges
109.0,2023-06-04 00:00:00,"Standkundgebung gegen den Krieg, gegen Putin,zur Unterstützung russischer politischer Gefangener",14:00 Uhr bis 16:00,fünf bis zwanzig,,,
,,,,,33.0,2023-06-05 00:00:00,Montagsdemo Saarbrücken gegen Armut durch Bürgergeld
110.0,2023-06-08 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,,,
111.0,2023-06-09 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,,,
112.0,2023-06-10 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,,,
113.0,2023-06-10 00:00:00,Ukrainefreunde Saar e.V. - Unterstützung der der Einheit der souveränen Ukraine,13:00 Uhr - 15:00 Uhr,300-500,,,
114.0,2023-06-11 00:00:00,Verkehrswende,11:30 Uhr - 14:00 Uhr,200-400,34.0,2023-06-11 00:00:00,CSD
,,,,,35.0,2023-06-13 00:00:00,"""Aufwärmen zum Fackellauf"""
115.0,2023-06-14 00:00:00,"Versorgungsauftrag der Apotheke muss kostendeckend erfolgen können - Unterstützung durch Politik erforderlich, Info der Bevölkerung zu möglichen und wahrscheinlichen Apothekenschließungen",08:00 Uhr - 19:00 Uhr,20,,,
116.0,2023-06-15 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:30 Uhr - 18.30 Uhr,5 bis 8,,,
117.0,2023-06-17 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,,,
118.0,2023-06-17 00:00:00,Sühne- und Bittgebet für die Ungeborenen,11:00 Uhr - 11:30 Uhr,14-24,,,
119.0,2023-06-17 00:00:00,Die Bibel noch aktuell? Gibt es verlässliche Prophetie? Evangeliumsverkündnung,10:00 Uhr bis 15:00 Uhr,fünf bis zehn,,,
120.0,2023-06-17 00:00:00,Gemeinsam durch die Krisen der heutigen Zeit,14:00 Uhr - 18:00 Uhr,10,,,
121.0,2023-06-17 00:00:00,Organraub an lebenenden Falun Gong-Praktizierenden in China,12:00 Uhr - 17:00 Uhr,15,,,
122.0,2023-06-18 00:00:00,"Unterstützung für russische politische Gefangene, die wegen Kriegs- und Putin-Gegnern im Gefängnis sitzen. ""Tag des freien Russlands""",14:00 Uhr - 16:00 Uhr,5-20,,,
123.0,2023-06-22 00:00:00,Mahnwachen im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr- 19:00 Uhr,4 bis 8 ,,,
124.0,2023-06-23 00:00:00,Schließung der Schliefanlagen im Saarland,9:00 Uhr - 12:00 Uhr,40,,,
125.0,2023-06-24 00:00:00,Türkische angriffe auf Rosava,15:00 Uhr - 16:00 Uhr,60,,,
126.0,2023-06-24 00:00:00,Aktion gegen Tierversuche,14:30 Uhr bis 17:30 Uhr,8,,,
127.0,2023-06-24 00:00:00,Christliche Werte sind wertvoll für die Gesellschaft ?! Wo ist die Lieb in der Gesellschaft?!,11:30 Uhr bis 16:00 Uhr,50-80,,,
128.0,2023-06-25 00:00:00,Protestaktion anlässlich des Pferderennens in Saarbrücken,12:15 Uhr bis 15:15 Uhr,15,,,
129.0,2023-06-30 00:00:00,Auftaktveranstaltung Afrika-Wochen,16:00 Uhr bis 20:00 Uhr,300,,,
