Datum,Von,Bis,Thema,Strasse,Nr,PLZ,Aufzugsstrecke,Teilnehmende (angemeldet),Teilnehmende (tatsächlich)
2023-01-05,0 days 18:00:00,0 days 20:00:00,"""FREIHEIT FÜR JULIAN ASSANGE! Presse- und Meinungsfreiheit als Grundlage für Demokratie und Frieden."" (vom 05.01. bis 20.04.2023 - jeweils Do.)",,,,Pariser Platz (AK vor der US Botschaft) - Unter den Linden - Unter den Linden / Wilhelmstr. (ZK Nahe der britischen Botschaft) - Unter den Linden - Pariser Platz (EK),35.0,5.0
2023-01-05,0 days 18:00:00,0 days 20:00:00,"""Mahnwache für Rundfunkfreiheit"" (vom 05.01. bis 29.06.2023 - jeweils Do.)",Masurenallee,,14057.0,,20.0,3.0
2023-01-06,0 days 00:00:00,0 days 23:59:00,"""Revolutionsgarden des Islamischen Regime auf die Terrorliste der EU einsetzen"" (vom 23.12.2022 bis 20.01.2023 - täglich)",Platz der Republik,1,10557.0,,4.0,
2023-01-06,0 days 00:00:00,1 days 00:00:00,"""Zuschließung der Iranischen Botschaft"" sic! (vom 17.11.2022 bis 15.01.2023 - täglich)",Podbielskiallee,67,14195.0,,2.0,5.0
2023-01-06,0 days 10:00:00,0 days 12:00:00,Im Rahmen von #FridaysForFuture Fortsetzung der wöchentlichen Klimamahnwache jeweils Freitag von 10 bis 12.00 Uhr. (vom 04.11.2022 bis 28.04.2023 - jeweils Fr.),Platz der Republik,1,10557.0,,12.0,1.0
2023-01-06,0 days 10:30:00,0 days 13:00:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden und anderen unschuldigen Menschen in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2023 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,60.0
2023-01-06,0 days 11:00:00,0 days 12:30:00,"""Mahnwache anlässlich der andauernden Menschenrechtsverletzungen im Iran""",Podbielskiallee,67,14195.0,,200.0,7.0
2023-01-06,0 days 12:00:00,0 days 18:00:00,"""Wir sind für die Freiheit von Julian Assange, der seit über drei Jahren ohne Urteil im Hochsicherheitsgefängnis Belmarsh sitzt und gegen seine Auslieferung an die USA wegen journalistischer Tätigkeiten."" (vom 06.01. bis 24.02.2023 - jeweils Fr.)",Pariser Platz,,10117.0,,8.0,20.0
2023-01-06,0 days 13:00:00,0 days 16:00:00,"""Gedenken an Ermordete im Iran""",Podbielskiallee,67,14195.0,,100.0,8.0
2023-01-06,0 days 15:00:00,0 days 16:00:00,"""Mahnwache gegen rechtsextremistische Tendenzen in Politik und Gesellschaft""",Alexanderplatz,,10178.0,,15.0,8.0
2023-01-06,0 days 15:30:00,0 days 16:30:00,"""Verkehrsbehindernde Maßnahmen des Senats""",Schloßstr.,58,12165.0,,10.0,75.0
2023-01-06,0 days 17:00:00,0 days 19:00:00,"""Auftakt des Wahlkampfes der CDU Wuhletal""",Frans-Hals-Platz,,12623.0,,75.0,
